,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1275325000.0,1364756000.0,1535968000.0,1583944000.0
Cash Flow From Continuing Operating Activities,1275325000.0,1364756000.0,1535968000.0,1583944000.0
Net Income From Continuing Operations,374479000.0,1038852000.0,1330410000.0,829750000.0
Operating Gains Losses,-169901000.0,-1022274000.0,-710719000.0,-402853000.0
Gain Loss On Investment Securities,-242708000.0,-1077406000.0,-752440000.0,-419591000.0
Earnings Losses From Equity Investments,22933000.0,8083000.0,-42434000.0,641000.0
Depreciation Amortization Depletion,1053178000.0,1049780000.0,1043224000.0,970067000.0
Depreciation And Amortization,1053178000.0,1049780000.0,1043224000.0,970067000.0
Depreciation,1037566000.0,1038437000.0,1027073000.0,950459000.0
Amortization Cash Flow,15612000.0,11343000.0,16151000.0,19608000.0
Amortization Of Intangibles,15612000.0,11343000.0,16151000.0,19608000.0
Asset Impairment Charge,51107000.0,135608000.0,28133000.0,115579000.0
Provisionand Write Offof Assets,7270000.0,94436000.0,18690000.0,0.0
Stock Based Compensation,17812000.0,28318000.0,25047000.0,27646000.0
Other Non Cash Items,-30820000.0,60254000.0,-106331000.0,-32857000.0
Change In Working Capital,-44563000.0,-31819000.0,-92486000.0,76591000.0
Change In Receivables,-122117000.0,-54583000.0,-63418000.0,5829000.0
Change In Payables And Accrued Expense,77554000.0,22764000.0,-29068000.0,70762000.0
Change In Accrued Expense,77554000.0,22764000.0,-29068000.0,70762000.0
Dividend Received Cfo,16763000.0,11601000.0,0.0,21000.0
Investing Cash Flow,-4516268000.0,2347928000.0,-2048791000.0,-2386471000.0
Cash Flow From Continuing Investing Activities,-4516268000.0,2347928000.0,-2048791000.0,-2386471000.0
Capital Expenditure Reported,-19352000.0,-17472000.0,-15272000.0,-7905000.0
Net Business Purchase And Sale,-4480194000.0,-1314910000.0,-4239314000.0,-3697214000.0
Purchase Of Business,-4480194000.0,-1314910000.0,-4239314000.0,-3697214000.0
Net Investment Properties Purchase And Sale,369771000.0,3853703000.0,1998338000.0,1114981000.0
Purchase Of Investment Properties,-700551000.0,-446325000.0,-652312000.0,-426889000.0
Sale Of Investment Properties,1070322000.0,4300028000.0,2650650000.0,1541870000.0
Net Investment Purchase And Sale,-19076000.0,-5593000.0,-16781000.0,14969000.0
Purchase Of Investment,-26595000.0,-13319000.0,,
Sale Of Investment,7519000.0,7726000.0,,
Dividends Received Cfi,286772000.0,48195000.0,216231000.0,90916000.0
Interest Received Cfi,,-17472000.0,-15272000.0,-7905000.0
Net Other Investing Changes,-654189000.0,-215995000.0,8007000.0,97782000.0
Financing Cash Flow,1567664000.0,-2080858000.0,577150000.0,818368000.0
Cash Flow From Continuing Financing Activities,1567664000.0,-2080858000.0,577150000.0,818368000.0
Net Issuance Payments Of Debt,1854512000.0,-631988000.0,4474419000.0,2934782000.0
Net Long Term Debt Issuance,1854512000.0,-631988000.0,4033822000.0,2506782000.0
Long Term Debt Issuance,2052130000.0,1650604000.0,4318255000.0,2869623000.0
Long Term Debt Payments,-197618000.0,-2282592000.0,-284433000.0,-362841000.0
Net Short Term Debt Issuance,,,440597000.0,428000000.0
Net Common Stock Issuance,2348201000.0,587657000.0,1056125000.0,789575000.0
Common Stock Issuance,2348201000.0,595313000.0,1056125000.0,789575000.0
Common Stock Payments,0.0,-7656000.0,,
Net Preferred Stock Issuance,,,0.0,0.0
Preferred Stock Payments,,,0.0,0.0
Cash Dividends Paid,-1035906000.0,-1119232000.0,-1400712000.0,-1348863000.0
Net Other Financing Charges,-1599143000.0,-917295000.0,-3552682000.0,-1557126000.0
End Cash Position,346755000.0,2021043000.0,385766000.0,316129000.0
Changes In Cash,-1673279000.0,1631826000.0,64327000.0,15841000.0
Effect Of Exchange Rate Changes,-1009000.0,3451000.0,5310000.0,-9015000.0
Beginning Cash Position,2021043000.0,385766000.0,316129000.0,309303000.0
Income Tax Paid Supplemental Data,,13671000.0,14338000.0,2250000.0
Interest Paid Supplemental Data,492742000.0,508454000.0,574536000.0,501404000.0
Capital Expenditure,-19352000.0,-17472000.0,-15272000.0,-7905000.0
Issuance Of Capital Stock,2348201000.0,595313000.0,1056125000.0,789575000.0
Issuance Of Debt,2052130000.0,1650604000.0,4318255000.0,2869623000.0
Repayment Of Debt,-197618000.0,-2282592000.0,-284433000.0,-362841000.0
Repurchase Of Capital Stock,0.0,-7656000.0,0.0,0.0
Free Cash Flow,1255973000.0,1347284000.0,1520696000.0,1576039000.0
