,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,48129000000.0,14668000000.0,29716000000.0,36014000000.0
Cash Flow From Continuing Operating Activities,48129000000.0,14668000000.0,29716000000.0,36014000000.0
Net Income From Continuing Operations,23598000000.0,-23251000000.0,14774000000.0,21421000000.0
Operating Gains Losses,754000000.0,498000000.0,109000000.0,1070000000.0
Earnings Losses From Equity Investments,,,-936000000.0,-1684000000.0
Pension And Employee Benefit Expense,754000000.0,498000000.0,109000000.0,1070000000.0
Depreciation Amortization Depletion,20607000000.0,46009000000.0,18998000000.0,18745000000.0
Depreciation And Amortization,,,,18745000000.0
Depreciation,,,,18745000000.0
Deferred Tax,303000000.0,-8856000000.0,-944000000.0,-60000000.0
Deferred Income Tax,303000000.0,-8856000000.0,-944000000.0,-60000000.0
Provisionand Write Offof Assets,50000000.0,-1269000000.0,-3038000000.0,-68000000.0
Other Non Cash Items,-677000000.0,2211000000.0,-170000000.0,-2054000000.0
Change In Working Capital,4162000000.0,-1653000000.0,923000000.0,-1356000000.0
Change In Receivables,-12098000000.0,5384000000.0,-2640000000.0,-545000000.0
Change In Inventory,-489000000.0,-315000000.0,72000000.0,-3107000000.0
Change In Payables And Accrued Expense,16820000000.0,-7142000000.0,3725000000.0,2321000000.0
Change In Payable,16820000000.0,-7142000000.0,3725000000.0,2321000000.0
Change In Other Current Assets,-71000000.0,420000000.0,-234000000.0,-25000000.0
Dividend Paid Cfo,-668000000.0,,-936000000.0,-1684000000.0
Dividend Received Cfo,-668000000.0,979000000.0,-936000000.0,-1684000000.0
Investing Cash Flow,-10235000000.0,-18459000000.0,-23084000000.0,-16446000000.0
Cash Flow From Continuing Investing Activities,-10235000000.0,-18459000000.0,-23084000000.0,-16446000000.0
Net PPE Purchase And Sale,-12076000000.0,-17282000000.0,-24361000000.0,-19574000000.0
Purchase Of PPE,-12076000000.0,-17282000000.0,-24361000000.0,-19574000000.0
Net Business Purchase And Sale,,999000000.0,3692000000.0,4123000000.0
Sale Of Business,,999000000.0,3692000000.0,4123000000.0
Net Investment Purchase And Sale,-2817000000.0,-4857000000.0,-3905000000.0,-1981000000.0
Purchase Of Investment,-2817000000.0,-4857000000.0,-3905000000.0,-1981000000.0
Net Other Investing Changes,4658000000.0,2681000000.0,1490000000.0,986000000.0
Financing Cash Flow,-35423000000.0,5285000000.0,-6618000000.0,-19446000000.0
Cash Flow From Continuing Financing Activities,-35423000000.0,5285000000.0,-6618000000.0,-19446000000.0
Net Issuance Payments Of Debt,-19654000000.0,20141000000.0,8662000000.0,-4925000000.0
Net Long Term Debt Issuance,38000000.0,23178000000.0,7051000000.0,46000000.0
Long Term Debt Issuance,46000000.0,23186000000.0,7052000000.0,46000000.0
Long Term Debt Payments,-8000000.0,-8000000.0,-1000000.0,
Net Short Term Debt Issuance,-19692000000.0,-3037000000.0,1611000000.0,-4971000000.0
Short Term Debt Issuance,12687000000.0,,5654000000.0,0.0
Short Term Debt Payments,-32379000000.0,-3037000000.0,-4043000000.0,-4971000000.0
Net Common Stock Issuance,-155000000.0,-405000000.0,-594000000.0,-626000000.0
Common Stock Issuance,,,,0.0
Common Stock Payments,-155000000.0,-405000000.0,-594000000.0,-626000000.0
Cash Dividends Paid,-14924000000.0,-14865000000.0,-14652000000.0,-13798000000.0
Common Stock Dividend Paid,-14924000000.0,-14865000000.0,-14652000000.0,-13798000000.0
Net Other Financing Charges,-690000000.0,414000000.0,-34000000.0,-97000000.0
End Cash Position,6802000000.0,4364000000.0,3089000000.0,3042000000.0
Changes In Cash,2471000000.0,1494000000.0,14000000.0,122000000.0
Effect Of Exchange Rate Changes,-33000000.0,-219000000.0,33000000.0,-257000000.0
Beginning Cash Position,4364000000.0,3089000000.0,3042000000.0,3177000000.0
Capital Expenditure,-12076000000.0,-17282000000.0,-24361000000.0,-19574000000.0
Issuance Of Capital Stock,,,,0.0
Issuance Of Debt,12733000000.0,23186000000.0,12706000000.0,46000000.0
Repayment Of Debt,-32387000000.0,-3045000000.0,-4044000000.0,-4971000000.0
Repurchase Of Capital Stock,-155000000.0,-405000000.0,-594000000.0,-626000000.0
Free Cash Flow,36053000000.0,-2614000000.0,5355000000.0,16440000000.0
