,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,538000000.0,824000000.0,839000000.0,586000000.0
Cash Flow From Continuing Operating Activities,538000000.0,824000000.0,839000000.0,586000000.0
Net Income From Continuing Operations,427000000.0,254000000.0,401000000.0,549000000.0
Operating Gains Losses,-2000000.0,,-1000000.0,-41000000.0
Gain Loss On Sale Of Business,-2000000.0,0.0,-1000000.0,
Pension And Employee Benefit Expense,,,,-41000000.0
Depreciation Amortization Depletion,245000000.0,251000000.0,257000000.0,261000000.0
Depreciation And Amortization,245000000.0,251000000.0,257000000.0,261000000.0
Depreciation,118000000.0,117000000.0,117000000.0,117000000.0
Amortization Cash Flow,127000000.0,134000000.0,140000000.0,144000000.0
Amortization Of Intangibles,127000000.0,134000000.0,140000000.0,144000000.0
Deferred Tax,10000000.0,-31000000.0,-77000000.0,-47000000.0
Deferred Income Tax,10000000.0,-31000000.0,-77000000.0,-47000000.0
Asset Impairment Charge,0.0,58000000.0,148000000.0,
Stock Based Compensation,33000000.0,26000000.0,29000000.0,30000000.0
Other Non Cash Items,-39000000.0,58000000.0,23000000.0,-31000000.0
Change In Working Capital,-136000000.0,208000000.0,59000000.0,-176000000.0
Change In Receivables,-70000000.0,109000000.0,-23000000.0,-103000000.0
Change In Inventory,-167000000.0,-5000000.0,47000000.0,-97000000.0
Change In Payables And Accrued Expense,79000000.0,82000000.0,31000000.0,45000000.0
Change In Payable,72000000.0,-19000000.0,16000000.0,51000000.0
Change In Tax Payable,-9000000.0,20000000.0,-13000000.0,0.0
Change In Income Tax Payable,-9000000.0,20000000.0,-13000000.0,0.0
Change In Account Payable,81000000.0,-39000000.0,29000000.0,51000000.0
Change In Accrued Expense,7000000.0,101000000.0,15000000.0,-6000000.0
Change In Other Working Capital,22000000.0,22000000.0,4000000.0,-21000000.0
Investing Cash Flow,-183000000.0,-169000000.0,-231000000.0,-643000000.0
Cash Flow From Continuing Investing Activities,-183000000.0,-169000000.0,-231000000.0,-643000000.0
Capital Expenditure Reported,-208000000.0,-183000000.0,-226000000.0,-237000000.0
Net PPE Purchase And Sale,,,0.0,0.0
Sale Of PPE,,,0.0,0.0
Net Business Purchase And Sale,10000000.0,0.0,-18000000.0,-411000000.0
Purchase Of Business,0.0,0.0,-18000000.0,-433000000.0
Sale Of Business,10000000.0,0.0,0.0,22000000.0
Net Investment Purchase And Sale,17000000.0,12000000.0,13000000.0,0.0
Purchase Of Investment,0.0,-200000000.0,-7000000.0,-11000000.0
Sale Of Investment,17000000.0,212000000.0,20000000.0,11000000.0
Net Other Investing Changes,-2000000.0,2000000.0,9000000.0,5000000.0
Financing Cash Flow,-855000000.0,473000000.0,-177000000.0,-40000000.0
Cash Flow From Continuing Financing Activities,-855000000.0,473000000.0,-177000000.0,-40000000.0
Net Issuance Payments Of Debt,-600000000.0,704000000.0,27000000.0,164000000.0
Net Long Term Debt Issuance,-600000000.0,985000000.0,0.0,-119000000.0
Long Term Debt Issuance,0.0,985000000.0,0.0,1000000.0
Long Term Debt Payments,-600000000.0,0.0,0.0,-120000000.0
Net Short Term Debt Issuance,0.0,-281000000.0,27000000.0,283000000.0
Short Term Debt Issuance,0.0,359000000.0,281000000.0,335000000.0
Short Term Debt Payments,0.0,-640000000.0,-254000000.0,-52000000.0
Net Common Stock Issuance,-68000000.0,-61000000.0,-40000000.0,-59000000.0
Common Stock Payments,-68000000.0,-61000000.0,-40000000.0,-59000000.0
Cash Dividends Paid,-203000000.0,-188000000.0,-174000000.0,-152000000.0
Common Stock Dividend Paid,,-188000000.0,-174000000.0,-152000000.0
Proceeds From Stock Option Exercised,19000000.0,20000000.0,13000000.0,7000000.0
Net Other Financing Charges,-3000000.0,-2000000.0,-3000000.0,
End Cash Position,1349000000.0,1875000000.0,724000000.0,296000000.0
Changes In Cash,-500000000.0,1128000000.0,431000000.0,-97000000.0
Effect Of Exchange Rate Changes,-26000000.0,23000000.0,-3000000.0,-21000000.0
Beginning Cash Position,1875000000.0,724000000.0,296000000.0,414000000.0
Income Tax Paid Supplemental Data,83000000.0,41000000.0,107000000.0,75000000.0
Interest Paid Supplemental Data,99000000.0,77000000.0,77000000.0,78000000.0
Capital Expenditure,-208000000.0,-183000000.0,-226000000.0,-237000000.0
Issuance Of Debt,0.0,1344000000.0,281000000.0,336000000.0
Repayment Of Debt,-600000000.0,-640000000.0,-254000000.0,-172000000.0
Repurchase Of Capital Stock,-68000000.0,-61000000.0,-40000000.0,-59000000.0
Free Cash Flow,330000000.0,641000000.0,613000000.0,349000000.0
