Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-10-16 00:00:00-04:00,3.747147324321034,3.747147324321034,3.5859796974685163,3.6665635108947754,7436400,0.0,0.0
1997-10-17 00:00:00-04:00,3.6464131597700065,3.706850946948515,3.485245727293984,3.606121301651001,3390400,0.0,0.0
1997-10-20 00:00:00-04:00,3.5456854825639454,3.626269243531308,3.525539542322105,3.565831422805786,3068000,0.0,0.0
1997-10-21 00:00:00-04:00,3.585975372591498,3.6665590888295094,3.5456835144724925,3.606121301651001,2382400,0.0,0.0
1997-10-22 00:00:00-04:00,3.6665617911542046,3.706853678969086,3.6061239594318826,3.6867077350616455,1525200,0.0,0.0
1997-10-23 00:00:00-04:00,3.6665590888295094,3.6665590888295094,3.5658294435319955,3.606121301651001,1622400,0.0,0.0
1997-10-24 00:00:00-04:00,3.646415847246764,3.6867077350616455,3.585978015524442,3.6867077350616455,813600,0.0,0.0
1997-10-27 00:00:00-05:00,3.646417594436953,3.7068554551182284,3.4651040123931267,3.4953229427337646,1507200,0.0,0.0
1997-10-28 00:00:00-05:00,3.38451608199647,3.6665590888295094,3.1830567914014423,3.606121301651001,2955600,0.0,0.0
1997-10-29 00:00:00-05:00,3.6665626125441073,3.6867085609646795,3.6061247672823913,3.646416664123535,1859200,0.0,0.0
1997-10-30 00:00:00-05:00,3.5658307508988814,3.5859766873446377,3.465101068670099,3.545684814453125,856000,0.0,0.0
1997-10-31 00:00:00-05:00,3.505392941561612,3.6363415284590284,3.505392941561612,3.545684814453125,561600,0.0,0.0
1997-11-03 00:00:00-05:00,3.626269410676463,3.767290998869436,3.565831587165188,3.696780204772949,1004000,0.0,0.0
1997-11-04 00:00:00-05:00,3.7068526293780355,3.7874363821906014,3.6665607529717525,3.7269985675811768,364000,0.0,0.0
1997-11-05 00:00:00-05:00,3.747145032125806,3.9083125603892817,3.7269990910928716,3.8075828552246094,324400,0.0,0.0
1997-11-06 00:00:00-05:00,3.7874373149871827,4.029188632965088,3.7874373149871827,4.029188632965088,361600,0.0,0.0
1997-11-07 00:00:00-05:00,3.988897374532755,4.270940623237092,3.8881676428526353,4.150064945220947,662400,0.0,0.0
1997-11-10 00:00:00-05:00,4.06947945096166,4.190355078217947,3.968749761581421,3.968749761581421,266800,0.0,0.0
1997-11-11 00:00:00-05:00,3.82773054142793,3.8680224418640132,3.7068548401196795,3.8680224418640137,618000,0.0,0.0
1997-11-12 00:00:00-05:00,3.8680230444604224,3.8680230444604224,3.5859796974685163,3.6665635108947754,314800,0.0,0.0
1997-11-13 00:00:00-05:00,3.5859766873446377,3.6262685602361504,3.5255388780073686,3.545684814453125,500000,0.0,0.0
1997-11-14 00:00:00-05:00,3.5053932666778564,3.5456851433063377,3.4248095134208945,3.5053932666778564,438000,0.0,0.0
1997-11-17 00:00:00-05:00,3.5456864346740065,3.7672918368411317,3.5456864346740065,3.747145891189575,284000,0.0,0.0
1997-11-18 00:00:00-05:00,3.787437454598849,3.787437454598849,3.6665617911542046,3.6867077350616455,1429600,0.0,0.0
1997-11-19 00:00:00-05:00,3.686706280440427,3.7471440883164995,3.5859766006469727,3.5859766006469727,148400,0.0,0.0
1997-11-20 00:00:00-05:00,3.6262684725643544,3.6262684725643544,3.424809112977446,3.5859766006469727,1268000,0.0,0.0
1997-11-21 00:00:00-05:00,3.585977363047627,3.626269243531308,3.5456854825639454,3.565831422805786,640800,0.0,0.0
1997-11-24 00:00:00-05:00,3.5456854825639454,3.6061233032894675,3.5456854825639454,3.565831422805786,64400,0.0,0.0
1997-11-25 00:00:00-05:00,3.5859788294892136,3.6262707264497664,3.5456869325286604,3.555759906768799,326800,0.0,0.0
1997-11-26 00:00:00-05:00,3.5456864295646517,3.565832375187178,3.374445891773177,3.3870368003845215,463200,0.0,0.0
1997-11-28 00:00:00-05:00,3.4046640878631957,3.4248100292114985,3.3845181465148926,3.3845181465148926,212800,0.0,0.0
1997-12-01 00:00:00-05:00,3.3845176470385816,3.4651014005395,3.3845176470385816,3.3945906162261963,475200,0.0,0.0
1997-12-02 00:00:00-05:00,3.465101286681772,3.5456850375348363,3.4046634735419734,3.444955348968506,1280800,0.0,0.0
1997-12-03 00:00:00-05:00,3.505392941561612,3.545684814453125,3.444955132224343,3.545684814453125,934400,0.0,0.0
1997-12-04 00:00:00-05:00,3.5456859319982397,3.626269703180018,3.485248103611906,3.5759048461914062,681600,0.0,0.0
1997-12-05 00:00:00-05:00,3.545687790755387,3.7068554176079047,3.5053958840422577,3.6665635108947754,282800,0.0,0.0
1997-12-08 00:00:00-05:00,3.6665617911542046,3.706853678969086,3.646415847246764,3.6867077350616455,227600,0.0,0.0
1997-12-09 00:00:00-05:00,3.706850946948515,3.7471428050675204,3.606121301651001,3.606121301651001,124000,0.0,0.0
1997-12-10 00:00:00-05:00,3.636020255643268,3.636020255643268,3.434019130329753,3.474419355392456,269600,0.015,0.0
1997-12-11 00:00:00-05:00,3.3936169792624082,3.474417383530561,3.333016676061294,3.4340171813964844,400800,0.0,0.0
1997-12-12 00:00:00-05:00,3.474418830871582,3.474418830871582,3.3330180644989014,3.3330180644989014,412400,0.0,0.0
1997-12-15 00:00:00-05:00,3.393617721374877,3.474418143312374,3.3431174576639413,3.373417615890503,289200,0.0,0.0
1997-12-16 00:00:00-05:00,3.31281729943738,3.4340179323436257,3.31281729943738,3.373417615890503,190800,0.0,0.0
1997-12-17 00:00:00-05:00,3.3330184554461364,3.353218567297325,3.252218008041382,3.252218008041382,584800,0.0,0.0
1997-12-18 00:00:00-05:00,3.292618817090988,3.292618817090988,3.211818355321884,3.23201847076416,272400,0.0,0.0
1997-12-19 00:00:00-05:00,3.252218306819095,3.252218306819095,3.191617965698242,3.191617965698242,921600,0.0,0.0
