,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,10997989000.0,10106321000.0,9709003000.0,9580554000.0
Operating Revenue,10997989000.0,10106321000.0,9709003000.0,9580554000.0
Cost Of Revenue,6069241000.0,5624707000.0,5454257000.0,5361141000.0
Gross Profit,4928748000.0,4481614000.0,4254746000.0,4219413000.0
Operating Expense,4090031000.0,3731707000.0,3577566000.0,3615138000.0
Selling General And Administration,4090031000.0,3731707000.0,3577566000.0,3615138000.0
Operating Income,838717000.0,749907000.0,677180000.0,604275000.0
Net Non Operating Interest Income Expense,-37791000.0,-46886000.0,-39898000.0,-56588000.0
Interest Expense Non Operating,37791000.0,46886000.0,39898000.0,56588000.0
Other Income Expense,4999000.0,-52006000.0,464000.0,7577000.0
Special Income Charges,0.0,-48022000.0,,
Other Special Charges,,48022000.0,,
Other Non Operating Income Expenses,4999000.0,-3984000.0,464000.0,7577000.0
Pretax Income,805925000.0,651015000.0,637746000.0,555264000.0
Tax Provision,189817000.0,157994000.0,150850000.0,131417000.0
Net Income Common Stockholders,616108000.0,493021000.0,486896000.0,423847000.0
Net Income,616108000.0,493021000.0,486896000.0,423847000.0
Net Income Including Noncontrolling Interests,616108000.0,493021000.0,486896000.0,423847000.0
Net Income Continuous Operations,616108000.0,493021000.0,486896000.0,423847000.0
Diluted NI Availto Com Stockholders,616108000.0,493021000.0,486896000.0,423847000.0
Basic EPS,9.62,7.17,6.87,5.75
Diluted EPS,9.55,7.14,6.84,5.73
Basic Average Shares,64028000.0,68748000.0,70869000.0,73728000.0
Diluted Average Shares,64509000.0,69003000.0,71165000.0,73991000.0
Total Operating Income As Reported,838717000.0,749907000.0,677180000.0,604275000.0
Total Expenses,10159272000.0,9356414000.0,9031823000.0,8976279000.0
Net Income From Continuing And Discontinued Operation,616108000.0,493021000.0,486896000.0,423847000.0
Normalized Income,616108000.0,529373654.0,486896000.0,423847000.0
Interest Expense,37791000.0,46886000.0,39898000.0,56588000.0
Net Interest Income,-37791000.0,-46886000.0,-39898000.0,-56588000.0
EBIT,843716000.0,697901000.0,677644000.0,611852000.0
Reconciled Cost Of Revenue,6069241000.0,5624707000.0,5454257000.0,5361141000.0
Reconciled Depreciation,259933000.0,250081000.0,238371000.0,238184000.0
Net Income From Continuing Operation Net Minority Interest,616108000.0,493021000.0,486896000.0,423847000.0
Total Unusual Items Excluding Goodwill,0.0,-48022000.0,,
Total Unusual Items,0.0,-48022000.0,,
Normalized EBITDA,1103649000.0,996004000.0,916015000.0,850036000.0
Tax Rate For Calcs,0.236,0.243,0.237,0.237
Tax Effect Of Unusual Items,0.0,-11669346.0,0.0,0.0
