,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,16792000000.0,14918500000.0,15561400000.0,16195700000.0
Operating Revenue,16424600000.0,14612900000.0,15286500000.0,15927100000.0
Cost Of Revenue,6588100000.0,5380100000.0,6320000000.0,7033900000.0
Gross Profit,10203900000.0,9538400000.0,9241400000.0,9161800000.0
Operating Expense,6781000000.0,6550700000.0,6492700000.0,6408500000.0
Depreciation Amortization Depletion Income Statement,2825700000.0,2682800000.0,2514500000.0,2286600000.0
Depreciation And Amortization In Income Statement,2825700000.0,2682800000.0,2514500000.0,2286600000.0
Other Taxes,1407600000.0,1295500000.0,1234500000.0,1142700000.0
Other Operating Expenses,2547700000.0,2572400000.0,2743700000.0,2979200000.0
Operating Income,3422900000.0,2987700000.0,2748700000.0,2753300000.0
Net Non Operating Interest Income Expense,-1199100000.0,-1165700000.0,-1072500000.0,-972800000.0
Interest Income Non Operating,,,,11600000.0
Interest Expense Non Operating,1199100000.0,1165700000.0,1072500000.0,984400000.0
Other Income Expense,288100000.0,324100000.0,158600000.0,193000000.0
Special Income Charges,128100000.0,148100000.0,12000000.0,68500000.0
Impairment Of Capital Assets,11600000.0,0.0,156400000.0,70600000.0
Write Off,11600000.0,0.0,156400000.0,70600000.0
Other Special Charges,-139700000.0,-148100000.0,-168400000.0,-139100000.0
Gain On Sale Of Business,,,0.0,0.0
Gain On Sale Of Ppe,,,0.0,0.0
Other Non Operating Income Expenses,160000000.0,176000000.0,146600000.0,124500000.0
Pretax Income,2511900000.0,2146100000.0,1834800000.0,1973500000.0
Tax Provision,115500000.0,40500000.0,-12900000.0,115300000.0
Earnings From Equity Interest Net Of Tax,91700000.0,91100000.0,72100000.0,73100000.0
Net Income Common Stockholders,2488100000.0,2200100000.0,1921100000.0,1923800000.0
Net Income,2488100000.0,2200100000.0,1921100000.0,1923800000.0
Net Income Including Noncontrolling Interests,2488100000.0,2196700000.0,1919800000.0,1931300000.0
Net Income Continuous Operations,2488100000.0,2196700000.0,1919800000.0,1931300000.0
Net Income Discontinuous Operations,,,,0.0
Minority Interests,0.0,3400000.0,1300000.0,-7500000.0
Diluted NI Availto Com Stockholders,2488100000.0,2200100000.0,1921100000.0,1923800000.0
Basic EPS,4.97,4.44,3.89,3.9
Diluted EPS,4.96,4.42,3.88,3.9
Basic Average Shares,500522177.0,495718223.0,493694345.0,492774600.0
Diluted Average Shares,501784032.0,497226867.0,495306238.0,493758277.0
Total Operating Income As Reported,3411300000.0,2987700000.0,2592300000.0,2682700000.0
Total Expenses,13369100000.0,11930800000.0,12812700000.0,13442400000.0
Net Income From Continuing And Discontinued Operation,2488100000.0,2200100000.0,1921100000.0,1923800000.0
Normalized Income,2365890182.730204,2054794860.444527,1912340000.0,1859302052.191538
Interest Income,,,,11600000.0
Interest Expense,1199100000.0,1165700000.0,1072500000.0,984400000.0
Net Interest Income,-1199100000.0,-1165700000.0,-1072500000.0,-972800000.0
EBIT,3711000000.0,3311800000.0,2907300000.0,2957900000.0
Reconciled Cost Of Revenue,6367400000.0,5156100000.0,6094400000.0,6920100000.0
Reconciled Depreciation,3046400000.0,2906800000.0,2740100000.0,2400400000.0
Net Income From Continuing Operation Net Minority Interest,2488100000.0,2200100000.0,1921100000.0,1923800000.0
Total Unusual Items Excluding Goodwill,128100000.0,148100000.0,12000000.0,68500000.0
Total Unusual Items,128100000.0,148100000.0,12000000.0,68500000.0
Normalized EBITDA,6629300000.0,6070500000.0,5635400000.0,5289800000.0
Tax Rate For Calcs,0.045981,0.018871,0.27,0.058424
Tax Effect Of Unusual Items,5890182.730204,2794860.444527,3240000.0,4002052.191538
