,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,21923000000.0,22114000000.0,22223000000.0,21689000000.0
Operating Revenue,21923000000.0,22114000000.0,22223000000.0,21689000000.0
Other Operating Expenses,-183000000.0,-33000000.0,-84000000.0,-69000000.0
Net Non Operating Interest Income Expense,-238000000.0,-242000000.0,-228000000.0,-222000000.0
Interest Expense Non Operating,238000000.0,242000000.0,228000000.0,222000000.0
Pretax Income,5322000000.0,4159000000.0,4445000000.0,3983000000.0
Tax Provision,997000000.0,-619000000.0,1141000000.0,1063000000.0
Net Income Common Stockholders,4325000000.0,4778000000.0,3304000000.0,2920000000.0
Net Income,4325000000.0,4778000000.0,3304000000.0,2920000000.0
Net Income Including Noncontrolling Interests,4325000000.0,4778000000.0,3304000000.0,2920000000.0
Net Income Continuous Operations,4325000000.0,4778000000.0,3304000000.0,2920000000.0
Diluted NI Availto Com Stockholders,4325000000.0,4778000000.0,3304000000.0,2920000000.0
Basic EPS,6.42,6.69,4.45,3.79
Diluted EPS,6.39,6.67,4.43,3.77
Basic Average Shares,673617000.0,713702000.0,742414000.0,769588000.0
Diluted Average Shares,676729000.0,716192000.0,746430000.0,774650000.0
Total Expenses,16601000000.0,17955000000.0,17778000000.0,17706000000.0
Net Income From Continuing And Discontinued Operation,4325000000.0,4778000000.0,3304000000.0,2920000000.0
Normalized Income,4325000000.0,4778000000.0,3304000000.0,2920000000.0
Interest Expense,238000000.0,242000000.0,228000000.0,222000000.0
Net Interest Income,-238000000.0,-242000000.0,-228000000.0,-222000000.0
EBIT,5560000000.0,4401000000.0,4673000000.0,4205000000.0
Net Income From Continuing Operation Net Minority Interest,4325000000.0,4778000000.0,3304000000.0,2920000000.0
Tax Rate For Calcs,0.187,0.27,0.257,0.267
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
