,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,51885000000.0,43839000000.0,49792000000.0,47481000000.0
Operating Revenue,51885000000.0,43839000000.0,49792000000.0,47481000000.0
Selling General And Administration,8790000000.0,8396000000.0,8537000000.0,9302000000.0
General And Administrative Expense,8790000000.0,8396000000.0,8537000000.0,9302000000.0
Other Gand A,8790000000.0,8396000000.0,8537000000.0,9302000000.0
Other Operating Expenses,-172000000.0,103000000.0,46000000.0,92000000.0
Net Non Operating Interest Income Expense,-1305000000.0,-1457000000.0,-1417000000.0,-1309000000.0
Interest Expense Non Operating,1305000000.0,1457000000.0,1417000000.0,1309000000.0
Other Income Expense,,903000000.0,919000000.0,1638000000.0
Special Income Charges,2655000000.0,-8537000000.0,-107000000.0,31000000.0
Write Off,,,0.0,0.0
Other Special Charges,-2655000000.0,8537000000.0,107000000.0,-31000000.0
Pretax Income,12099000000.0,-7293000000.0,5287000000.0,257000000.0
Tax Provision,2176000000.0,-1460000000.0,1166000000.0,154000000.0
Net Income Common Stockholders,9359000000.0,-5973000000.0,3326000000.0,-6000000.0
Net Income,9388000000.0,-5944000000.0,3348000000.0,-6000000.0
Net Income Including Noncontrolling Interests,9923000000.0,-5829000000.0,4169000000.0,61000000.0
Net Income Continuous Operations,9923000000.0,-5833000000.0,4121000000.0,103000000.0
Net Income Discontinuous Operations,0.0,4000000.0,48000000.0,-42000000.0
Minority Interests,-535000000.0,-115000000.0,-821000000.0,-67000000.0
Preferred Stock Dividends,29000000.0,29000000.0,22000000.0,
Diluted NI Availto Com Stockholders,9359000000.0,-5973000000.0,3326000000.0,-6000000.0
Basic EPS,10.95,-6.88,3.79,-0.01
Diluted EPS,10.82,-6.88,3.74,-0.01
Basic Average Shares,854320449.0,869309458.0,876750264.0,898405537.0
Diluted Average Shares,864884879.0,869309458.0,889511946.0,910141242.0
Total Expenses,39786000000.0,51132000000.0,44505000000.0,47224000000.0
Net Income From Continuing And Discontinued Operation,9388000000.0,-5944000000.0,3348000000.0,-6000000.0
Normalized Income,7210900000.0,881600000.0,3383353000.0,13370000.0
Interest Income,1952000000.0,1989000000.0,2030000000.0,
Interest Expense,1305000000.0,1457000000.0,1417000000.0,1309000000.0
Net Interest Income,-1305000000.0,-1457000000.0,-1417000000.0,-1309000000.0
EBIT,13404000000.0,-5836000000.0,6704000000.0,1566000000.0
Reconciled Depreciation,4633000000.0,4120000000.0,5006000000.0,5362000000.0
Net Income From Continuing Operation Net Minority Interest,9388000000.0,-5948000000.0,3300000000.0,36000000.0
Total Unusual Items Excluding Goodwill,2655000000.0,-8537000000.0,-107000000.0,31000000.0
Total Unusual Items,2655000000.0,-8537000000.0,-107000000.0,31000000.0
Tax Rate For Calcs,0.18,0.2,0.221,0.27
Tax Effect Of Unusual Items,477900000.0,-1707400000.0,-23647000.0,8370000.0
