,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,10187600000.0,10084100000.0,10072500000.0,8000700000.0
Operating Revenue,10187600000.0,10084100000.0,10072500000.0,8000700000.0
Selling General And Administration,7076400000.0,6639400000.0,6572600000.0,5281200000.0
Other Operating Expenses,,-10700000.0,-14300000.0,-56900000.0
Net Non Operating Interest Income Expense,-111800000.0,-104500000.0,-110600000.0,-100300000.0
Interest Expense Non Operating,111800000.0,104500000.0,110600000.0,100300000.0
Special Income Charges,-20700000.0,-137800000.0,-31400000.0,0.0
Impairment Of Capital Assets,,137800000.0,,
Other Special Charges,20700000.0,,31400000.0,
Pretax Income,783000000.0,515300000.0,554500000.0,333500000.0
Tax Provision,169500000.0,72600000.0,167700000.0,80900000.0
Net Income Common Stockholders,1367700000.0,423100000.0,363900000.0,236800000.0
Net Income,1372400000.0,441800000.0,382600000.0,251000000.0
Net Income Including Noncontrolling Interests,1372400000.0,442700000.0,386800000.0,252600000.0
Net Income Continuous Operations,613500000.0,442700000.0,386800000.0,252600000.0
Net Income Discontinuous Operations,758900000.0,-77700000.0,,
Minority Interests,0.0,-900000.0,-4200000.0,-1600000.0
Preferred Stock Dividends,4700000.0,18700000.0,18700000.0,14200000.0
Diluted NI Availto Com Stockholders,1367700000.0,423100000.0,363900000.0,236800000.0
Basic EPS,10.29,7.038215,5.87,4.0
Diluted EPS,10.2,6.99,5.84,3.98
Basic Average Shares,59140861.0,60114670.0,61942969.0,59239608.0
Diluted Average Shares,60123694.0,63179938.0,62313468.0,59545524.0
Total Expenses,9404600000.0,9568800000.0,9518000000.0,7667200000.0
Net Income From Continuing And Discontinued Operation,1372400000.0,441800000.0,382600000.0,251000000.0
Normalized Income,629728800.0,560170200.0,404517200.0,251000000.0
Interest Expense,111800000.0,104500000.0,110600000.0,100300000.0
Net Interest Income,-111800000.0,-104500000.0,-110600000.0,-100300000.0
EBIT,894800000.0,619800000.0,665100000.0,433800000.0
Reconciled Depreciation,171600000.0,144300000.0,125800000.0,126900000.0
Net Income From Continuing Operation Net Minority Interest,613500000.0,441800000.0,382600000.0,251000000.0
Total Unusual Items Excluding Goodwill,-20700000.0,-137800000.0,-31400000.0,0.0
Total Unusual Items,-20700000.0,-137800000.0,-31400000.0,0.0
Tax Rate For Calcs,0.216,0.141,0.302,0.243
Tax Effect Of Unusual Items,-4471200.0,-19429800.0,-9482800.0,0.0
