,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,3327957000.0,3128909000.0,3589427000.0,3374950000.0
Operating Revenue,3327957000.0,3128909000.0,3589427000.0,3374950000.0
Cost Of Revenue,2329986000.0,2134056000.0,2331649000.0,2157694000.0
Gross Profit,997971000.0,994853000.0,1257778000.0,1217256000.0
Operating Expense,495508000.0,489041000.0,591655000.0,516144000.0
Selling General And Administration,441482000.0,429827000.0,533368000.0,446090000.0
Research And Development,54026000.0,59214000.0,58287000.0,70054000.0
Operating Income,502463000.0,505812000.0,666123000.0,701112000.0
Net Non Operating Interest Income Expense,-61476000.0,-73116000.0,-57695000.0,-52405000.0
Interest Expense Non Operating,61476000.0,73116000.0,57695000.0,52405000.0
Other Income Expense,-307369000.0,-59177000.0,-45478000.0,145994000.0
Special Income Charges,295971000.0,0.0,0.0,210428000.0
Restructuring And Mergern Acquisition,,,,0.0
Gain On Sale Of Business,295971000.0,0.0,0.0,210428000.0
Other Non Operating Income Expenses,-603340000.0,-59177000.0,-45478000.0,-64434000.0
Pretax Income,133618000.0,373519000.0,562950000.0,794701000.0
Tax Provision,29446000.0,54425000.0,88161000.0,144826000.0
Earnings From Equity Interest Net Of Tax,95770000.0,127521000.0,129568000.0,89264000.0
Net Income Common Stockholders,123672000.0,375764000.0,533228000.0,693562000.0
Net Income,123672000.0,375764000.0,533228000.0,693562000.0
Net Income Including Noncontrolling Interests,199942000.0,446615000.0,604357000.0,739139000.0
Net Income Continuous Operations,199942000.0,446615000.0,604357000.0,739139000.0
Net Income Discontinuous Operations,,,,0.0
Minority Interests,-76270000.0,-70851000.0,-71129000.0,-45577000.0
Diluted NI Availto Com Stockholders,123672000.0,375764000.0,533228000.0,693562000.0
Basic EPS,1.07,3.53,5.03,6.4
Diluted EPS,1.06,3.52,5.02,6.34
Basic Average Shares,115841000.0,106402000.0,105949000.0,108427000.0
Diluted Average Shares,116536000.0,106808000.0,106321000.0,109458000.0
Total Operating Income As Reported,798434000.0,505812000.0,666123000.0,911540000.0
Total Expenses,2825494000.0,2623097000.0,2923304000.0,2673838000.0
Net Income From Continuing And Discontinued Operation,123672000.0,375764000.0,533228000.0,693562000.0
Normalized Income,-107185380.0,375764000.0,533228000.0,521431896.0
Interest Expense,61476000.0,73116000.0,57695000.0,52405000.0
Net Interest Income,-61476000.0,-73116000.0,-57695000.0,-52405000.0
EBIT,195094000.0,446635000.0,620645000.0,847106000.0
Reconciled Cost Of Revenue,2329986000.0,2134056000.0,2331649000.0,2157694000.0
Reconciled Depreciation,254000000.0,231984000.0,213484000.0,200698000.0
Net Income From Continuing Operation Net Minority Interest,123672000.0,375764000.0,533228000.0,693562000.0
Total Unusual Items Excluding Goodwill,295971000.0,0.0,0.0,210428000.0
Total Unusual Items,295971000.0,0.0,0.0,210428000.0
Normalized EBITDA,153123000.0,678619000.0,834129000.0,837376000.0
Tax Rate For Calcs,0.22,0.146,0.157,0.182
Tax Effect Of Unusual Items,65113620.0,0.0,0.0,38297896.0
