,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,6176000000.0,3566000000.0,8781000000.0,8264000000.0
Operating Revenue,5499000000.0,3019000000.0,8095000000.0,7632000000.0
Cost Of Revenue,4822000000.0,3980000000.0,6802000000.0,6591000000.0
Gross Profit,1354000000.0,-414000000.0,1979000000.0,1673000000.0
Operating Expense,680000000.0,508000000.0,872000000.0,898000000.0
Selling General And Administration,173000000.0,101000000.0,313000000.0,326000000.0
Selling And Marketing Expense,173000000.0,101000000.0,313000000.0,326000000.0
Other Operating Expenses,507000000.0,407000000.0,559000000.0,572000000.0
Operating Income,674000000.0,-922000000.0,1107000000.0,775000000.0
Net Non Operating Interest Income Expense,-92000000.0,-56000000.0,-21000000.0,-35000000.0
Interest Income Non Operating,25000000.0,31000000.0,42000000.0,38000000.0
Interest Expense Non Operating,117000000.0,87000000.0,63000000.0,73000000.0
Other Income Expense,47000000.0,-862000000.0,-70000000.0,-155000000.0
Special Income Charges,11000000.0,-853000000.0,-44000000.0,-132000000.0
Restructuring And Mergern Acquisition,-10000000.0,226000000.0,44000000.0,87000000.0
Impairment Of Capital Assets,-1000000.0,627000000.0,,
Other Special Charges,,,,45000000.0
Other Non Operating Income Expenses,36000000.0,-9000000.0,-26000000.0,-23000000.0
Pretax Income,629000000.0,-1840000000.0,1016000000.0,585000000.0
Tax Provision,151000000.0,-516000000.0,247000000.0,148000000.0
Net Income Common Stockholders,478000000.0,-1324000000.0,769000000.0,437000000.0
Net Income,478000000.0,-1324000000.0,769000000.0,437000000.0
Net Income Including Noncontrolling Interests,478000000.0,-1324000000.0,769000000.0,437000000.0
Net Income Continuous Operations,478000000.0,-1324000000.0,769000000.0,437000000.0
Diluted NI Availto Com Stockholders,478000000.0,-1324000000.0,769000000.0,437000000.0
Basic EPS,3.82,-10.59,6.24,3.55
Diluted EPS,3.77,-10.59,6.19,3.52
Basic Average Shares,125063000.0,123450000.0,123279000.0,123230000.0
Diluted Average Shares,126775000.0,123450000.0,124289000.0,123975000.0
Total Operating Income As Reported,685000000.0,-1775000000.0,1063000000.0,643000000.0
Rent Expense Supplemental,809000000.0,716000000.0,862000000.0,814000000.0
Total Expenses,5502000000.0,4488000000.0,7674000000.0,7489000000.0
Net Income From Continuing And Discontinued Operation,478000000.0,-1324000000.0,769000000.0,437000000.0
Normalized Income,469640000.0,-709840000.0,802308000.0,535604000.0
Interest Income,25000000.0,31000000.0,42000000.0,38000000.0
Interest Expense,117000000.0,87000000.0,63000000.0,73000000.0
Net Interest Income,-92000000.0,-56000000.0,-21000000.0,-35000000.0
EBIT,746000000.0,-1753000000.0,1079000000.0,658000000.0
Reconciled Cost Of Revenue,4822000000.0,3980000000.0,6802000000.0,6591000000.0
Reconciled Depreciation,394000000.0,420000000.0,423000000.0,398000000.0
Net Income From Continuing Operation Net Minority Interest,478000000.0,-1324000000.0,769000000.0,437000000.0
Total Unusual Items Excluding Goodwill,11000000.0,-853000000.0,-44000000.0,-132000000.0
Total Unusual Items,11000000.0,-853000000.0,-44000000.0,-132000000.0
Normalized EBITDA,1129000000.0,-480000000.0,1546000000.0,1188000000.0
Tax Rate For Calcs,0.24,0.28,0.243,0.253
Tax Effect Of Unusual Items,2640000.0,-238840000.0,-10692000.0,-33396000.0
