,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,13431000000.0,11899000000.0,12754000000.0,12835000000.0
Operating Revenue,13431000000.0,11899000000.0,12754000000.0,12835000000.0
Selling General And Administration,8450000000.0,7179000000.0,7097000000.0,6808000000.0
General And Administrative Expense,3435000000.0,3120000000.0,3287000000.0,3171000000.0
Other Gand A,3435000000.0,3120000000.0,3287000000.0,3171000000.0
Selling And Marketing Expense,5015000000.0,4059000000.0,3810000000.0,3637000000.0
Net Non Operating Interest Income Expense,-191000000.0,-162000000.0,-214000000.0,-245000000.0
Interest Expense Non Operating,191000000.0,162000000.0,214000000.0,245000000.0
Other Income Expense,382000000.0,283000000.0,1279000000.0,1249000000.0
Special Income Charges,0.0,0.0,213000000.0,
Other Special Charges,,,-213000000.0,
Pretax Income,3350000000.0,1831000000.0,2232000000.0,2484000000.0
Tax Provision,590000000.0,297000000.0,339000000.0,386000000.0
Net Income Common Stockholders,2760000000.0,1534000000.0,1893000000.0,2098000000.0
Net Income,2760000000.0,1534000000.0,1893000000.0,2098000000.0
Net Income Including Noncontrolling Interests,2760000000.0,1534000000.0,1893000000.0,2098000000.0
Net Income Continuous Operations,2760000000.0,1534000000.0,1893000000.0,2098000000.0
Diluted NI Availto Com Stockholders,2760000000.0,1534000000.0,1893000000.0,2098000000.0
Basic EPS,23.53,12.39,14.12,14.41
Diluted EPS,23.0,12.2,13.92,14.2
Basic Average Shares,110861010.0,123800000.0,134100000.0,145600000.0
Diluted Average Shares,110861010.0,125700000.0,136000000.0,147700000.0
Total Expenses,10081000000.0,10068000000.0,10522000000.0,10351000000.0
Net Income From Continuing And Discontinued Operation,2760000000.0,1534000000.0,1893000000.0,2098000000.0
Normalized Income,2760000000.0,1534000000.0,1712376000.0,2098000000.0
Interest Income,-12000000.0,-59000000.0,-136000000.0,-89000000.0
Interest Expense,191000000.0,162000000.0,214000000.0,245000000.0
Net Interest Income,-191000000.0,-162000000.0,-214000000.0,-245000000.0
EBIT,3541000000.0,1993000000.0,2446000000.0,2729000000.0
Reconciled Depreciation,98000000.0,207000000.0,183000000.0,198000000.0
Net Income From Continuing Operation Net Minority Interest,2760000000.0,1534000000.0,1893000000.0,2098000000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,213000000.0,
Total Unusual Items,0.0,0.0,213000000.0,
Tax Rate For Calcs,0.176,0.162,0.152,0.155
Tax Effect Of Unusual Items,0.0,0.0,32376000.0,0.0
