,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,2948037000.0,2317512000.0,2410706000.0,2151369000.0
Operating Revenue,2948037000.0,2317512000.0,2410706000.0,2151369000.0
Cost Of Revenue,1067258000.0,835626000.0,866368000.0,777992000.0
Gross Profit,1880779000.0,1481886000.0,1544338000.0,1373377000.0
Operating Expense,956040000.0,782202000.0,738564000.0,695030000.0
Selling General And Administration,369288000.0,295608000.0,275805000.0,252562000.0
General And Administrative Expense,83117000.0,66242000.0,61898000.0,65420000.0
Other Gand A,83117000.0,66242000.0,61898000.0,65420000.0
Selling And Marketing Expense,286171000.0,229366000.0,213907000.0,187142000.0
Research And Development,586752000.0,486594000.0,462759000.0,442468000.0
Operating Income,924739000.0,699684000.0,805774000.0,678347000.0
Net Non Operating Interest Income Expense,7215000.0,27139000.0,51144000.0,28965000.0
Interest Income Non Operating,7215000.0,27139000.0,51144000.0,31666000.0
Interest Expense Non Operating,,0.0,,2701000.0
Other Income Expense,-1075000.0,12040000.0,5352000.0,-418511000.0
Gain On Sale Of Security,,13596000.0,5427000.0,-13800000.0
Special Income Charges,,0.0,0.0,-405000000.0
Other Special Charges,,,,405000000.0
Other Non Operating Income Expenses,-1075000.0,-1556000.0,-75000.0,289000.0
Pretax Income,930879000.0,738863000.0,862270000.0,288801000.0
Tax Provision,90025000.0,104306000.0,2403000.0,-39314000.0
Net Income Common Stockholders,840854000.0,634557000.0,859444000.0,327926000.0
Net Income,840854000.0,634557000.0,859867000.0,328115000.0
Net Income Including Noncontrolling Interests,840854000.0,634557000.0,859867000.0,328115000.0
Net Income Continuous Operations,840854000.0,634557000.0,859867000.0,328115000.0
Otherunder Preferred Stock Dividend,,0.0,423000.0,189000.0
Average Dilution Earnings,,0.0,24000.0,15000.0
Diluted NI Availto Com Stockholders,840854000.0,634557000.0,859468000.0,327941000.0
Basic EPS,2.74,2.0875,2.815,1.0975
Diluted EPS,2.63,1.9975,2.6575,1.015
Basic Average Shares,306512000.0,303936000.0,305248000.0,299000000.0
Diluted Average Shares,319238000.0,317860000.0,323516000.0,323376000.0
Total Operating Income As Reported,924739000.0,699684000.0,805774000.0,273347000.0
Total Expenses,2023298000.0,1617828000.0,1604932000.0,1473022000.0
Net Income From Continuing And Discontinued Operation,840854000.0,634557000.0,859867000.0,328115000.0
Normalized Income,840854000.0,622878036.0,854455195.6,633839000.0
Interest Income,7215000.0,27139000.0,51144000.0,31666000.0
Interest Expense,,0.0,,2701000.0
Net Interest Income,7215000.0,27139000.0,51144000.0,28965000.0
EBIT,924739000.0,738863000.0,805774000.0,291502000.0
Reconciled Cost Of Revenue,1067258000.0,835626000.0,866368000.0,777992000.0
Reconciled Depreciation,50334000.0,44590000.0,32849000.0,27671000.0
Net Income From Continuing Operation Net Minority Interest,840854000.0,634557000.0,859867000.0,328115000.0
Total Unusual Items Excluding Goodwill,,13596000.0,5427000.0,-418800000.0
Total Unusual Items,,13596000.0,5427000.0,-418800000.0
Normalized EBITDA,975073000.0,769857000.0,833196000.0,737973000.0
Tax Rate For Calcs,0.0967,0.141,0.0028,0.27
Tax Effect Of Unusual Items,0.0,1917036.0,15195.6,-113076000.0
