,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,8803000000.0,8086000000.0,6489000000.0,7500000000.0
Operating Revenue,8803000000.0,8086000000.0,6489000000.0,7500000000.0
Cost Of Revenue,2317000000.0,2260000000.0,2094000000.0,2517000000.0
Gross Profit,6486000000.0,5826000000.0,4395000000.0,4983000000.0
Operating Expense,3150000000.0,2998000000.0,2656000000.0,2995000000.0
Selling General And Administration,1813000000.0,1848000000.0,1658000000.0,1894000000.0
General And Administrative Expense,788000000.0,784000000.0,732000000.0,832000000.0
Other Gand A,788000000.0,784000000.0,732000000.0,832000000.0
Selling And Marketing Expense,1025000000.0,1064000000.0,926000000.0,1062000000.0
Research And Development,1337000000.0,1150000000.0,998000000.0,1101000000.0
Operating Income,3336000000.0,2828000000.0,1739000000.0,1988000000.0
Net Non Operating Interest Income Expense,-103000000.0,-78000000.0,-11000000.0,-71000000.0
Interest Income Non Operating,5000000.0,21000000.0,79000000.0,
Interest Expense Non Operating,108000000.0,99000000.0,90000000.0,
Total Other Finance Cost,95000000.0,87000000.0,-26000000.0,71000000.0
Other Income Expense,-69000000.0,-134000000.0,-95000000.0,-40000000.0
Gain On Sale Of Security,28000000.0,3000000.0,38000000.0,
Earnings From Equity Interest,28000000.0,,,
Special Income Charges,-77000000.0,-125000000.0,-132000000.0,-40000000.0
Restructuring And Mergern Acquisition,77000000.0,94000000.0,132000000.0,
Other Special Charges,,31000000.0,,40000000.0
Other Non Operating Income Expenses,-20000000.0,-12000000.0,-1000000.0,
Pretax Income,3164000000.0,2616000000.0,1633000000.0,1877000000.0
Tax Provision,465000000.0,419000000.0,130000000.0,64000000.0
Net Income Common Stockholders,2699000000.0,2197000000.0,1503000000.0,1813000000.0
Net Income,2699000000.0,2197000000.0,1503000000.0,1813000000.0
Net Income Including Noncontrolling Interests,2699000000.0,2197000000.0,1503000000.0,1813000000.0
Net Income Continuous Operations,2699000000.0,2197000000.0,1503000000.0,1813000000.0
Diluted NI Availto Com Stockholders,2699000000.0,2197000000.0,1503000000.0,1813000000.0
Basic EPS,3.47,2.85,1.96,2.38
Diluted EPS,3.44,2.82,1.95,2.35
Basic Average Shares,777000000.0,771000000.0,767000000.0,762000000.0
Diluted Average Shares,784000000.0,778000000.0,771000000.0,771000000.0
Total Operating Income As Reported,3259000000.0,2734000000.0,1607000000.0,1988000000.0
Total Expenses,5467000000.0,5258000000.0,4750000000.0,5512000000.0
Net Income From Continuing And Discontinued Operation,2699000000.0,2197000000.0,1503000000.0,1813000000.0
Normalized Income,2764450000.0,2299480000.0,1589480000.0,1851800000.0
Interest Income,5000000.0,21000000.0,79000000.0,
Interest Expense,108000000.0,99000000.0,90000000.0,
Net Interest Income,-103000000.0,-78000000.0,-11000000.0,-71000000.0
EBIT,3272000000.0,2715000000.0,1723000000.0,1988000000.0
Reconciled Cost Of Revenue,2317000000.0,2260000000.0,2094000000.0,2517000000.0
Reconciled Depreciation,440000000.0,446000000.0,553000000.0,998000000.0
Net Income From Continuing Operation Net Minority Interest,2699000000.0,2197000000.0,1503000000.0,1813000000.0
Total Unusual Items Excluding Goodwill,-77000000.0,-122000000.0,-94000000.0,-40000000.0
Total Unusual Items,-77000000.0,-122000000.0,-94000000.0,-40000000.0
Normalized EBITDA,3789000000.0,3283000000.0,2370000000.0,3026000000.0
Tax Rate For Calcs,0.15,0.16,0.08,0.03
Tax Effect Of Unusual Items,-11550000.0,-19520000.0,-7520000.0,-1200000.0
