,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,3930000000.0,3777000000.0,3610000000.0,3440000000.0
Operating Revenue,3930000000.0,3777000000.0,3610000000.0,3440000000.0
Cost Of Revenue,1777000000.0,1622000000.0,1544000000.0,1479000000.0
Gross Profit,2153000000.0,2155000000.0,2066000000.0,1961000000.0
Operating Expense,957000000.0,907000000.0,862000000.0,822000000.0
Depreciation Amortization Depletion Income Statement,636000000.0,604000000.0,582000000.0,545000000.0
Depreciation And Amortization In Income Statement,636000000.0,604000000.0,582000000.0,545000000.0
Other Taxes,321000000.0,303000000.0,280000000.0,277000000.0
Operating Income,1196000000.0,1248000000.0,1204000000.0,1139000000.0
Net Non Operating Interest Income Expense,-399000000.0,-395000000.0,-382000000.0,-350000000.0
Interest Income Non Operating,4000000.0,,,
Interest Expense Non Operating,403000000.0,,,
Total Other Finance Cost,,395000000.0,382000000.0,350000000.0
Other Income Expense,843000000.0,71000000.0,11000000.0,-2000000.0
Special Income Charges,747000000.0,0.0,-38000000.0,-41000000.0
Impairment Of Capital Assets,,0.0,0.0,57000000.0
Write Off,,,,57000000.0
Other Special Charges,,,4000000.0,4000000.0
Gain On Sale Of Ppe,747000000.0,0.0,-34000000.0,20000000.0
Other Non Operating Income Expenses,96000000.0,71000000.0,49000000.0,39000000.0
Pretax Income,1640000000.0,924000000.0,833000000.0,787000000.0
Tax Provision,377000000.0,215000000.0,212000000.0,222000000.0
Net Income Common Stockholders,1263000000.0,709000000.0,621000000.0,567000000.0
Net Income,1263000000.0,709000000.0,621000000.0,567000000.0
Net Income Including Noncontrolling Interests,1263000000.0,709000000.0,621000000.0,565000000.0
Net Income Continuous Operations,1263000000.0,709000000.0,621000000.0,565000000.0
Minority Interests,,0.0,0.0,2000000.0
Diluted NI Availto Com Stockholders,1263000000.0,709000000.0,621000000.0,567000000.0
Basic EPS,6.96,3.91,3.44,3.16
Diluted EPS,6.95,3.91,3.43,3.15
Basic Average Shares,182000000.0,181000000.0,181000000.0,180000000.0
Diluted Average Shares,182000000.0,182000000.0,181000000.0,180000000.0
Total Operating Income As Reported,1196000000.0,1248000000.0,1170000000.0,1102000000.0
Total Expenses,2734000000.0,2529000000.0,2406000000.0,2301000000.0
Net Income From Continuing And Discontinued Operation,1263000000.0,709000000.0,621000000.0,567000000.0
Normalized Income,687810000.0,709000000.0,649348000.0,596438000.0
Interest Income,4000000.0,,,
Interest Expense,403000000.0,,,
Net Interest Income,-399000000.0,-395000000.0,-382000000.0,-350000000.0
EBIT,2043000000.0,1248000000.0,1204000000.0,1139000000.0
Reconciled Cost Of Revenue,1777000000.0,1622000000.0,1544000000.0,1479000000.0
Reconciled Depreciation,636000000.0,604000000.0,582000000.0,545000000.0
Net Income From Continuing Operation Net Minority Interest,1263000000.0,709000000.0,621000000.0,567000000.0
Total Unusual Items Excluding Goodwill,747000000.0,0.0,-38000000.0,-41000000.0
Total Unusual Items,747000000.0,0.0,-38000000.0,-41000000.0
Normalized EBITDA,1932000000.0,1852000000.0,1824000000.0,1725000000.0
Tax Rate For Calcs,0.23,0.233,0.254,0.282
Tax Effect Of Unusual Items,171810000.0,0.0,-9652000.0,-11562000.0
