,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,13811000000.0,11781000000.0,11474000000.0,11635000000.0
Operating Revenue,13811000000.0,11781000000.0,11474000000.0,11635000000.0
Cost Of Revenue,11085000000.0,9323000000.0,9203000000.0,9329000000.0
Gross Profit,2726000000.0,2458000000.0,2271000000.0,2306000000.0
Operating Expense,1293000000.0,1193000000.0,1095000000.0,1180000000.0
Selling General And Administration,593000000.0,525000000.0,417000000.0,478000000.0
Depreciation Amortization Depletion Income Statement,700000000.0,668000000.0,678000000.0,702000000.0
Depreciation And Amortization In Income Statement,700000000.0,668000000.0,678000000.0,702000000.0
Operating Income,1433000000.0,1265000000.0,1176000000.0,1126000000.0
Net Non Operating Interest Income Expense,-283000000.0,-316000000.0,-324000000.0,-302000000.0
Interest Expense Non Operating,270000000.0,275000000.0,317000000.0,301000000.0
Total Other Finance Cost,13000000.0,41000000.0,7000000.0,1000000.0
Other Income Expense,-142000000.0,-262000000.0,-244000000.0,-191000000.0
Special Income Charges,-142000000.0,-262000000.0,-244000000.0,-191000000.0
Restructuring And Mergern Acquisition,142000000.0,262000000.0,244000000.0,191000000.0
Pretax Income,1008000000.0,687000000.0,608000000.0,633000000.0
Tax Provision,156000000.0,99000000.0,71000000.0,185000000.0
Earnings From Equity Interest Net Of Tax,26000000.0,-6000000.0,-1000000.0,5000000.0
Net Income Common Stockholders,878000000.0,585000000.0,566000000.0,454000000.0
Net Income,878000000.0,585000000.0,566000000.0,454000000.0
Net Income Including Noncontrolling Interests,878000000.0,582000000.0,536000000.0,453000000.0
Net Income Continuous Operations,878000000.0,582000000.0,536000000.0,453000000.0
Minority Interests,0.0,3000000.0,30000000.0,1000000.0
Diluted NI Availto Com Stockholders,878000000.0,585000000.0,566000000.0,454000000.0
Basic EPS,2.69,1.79,1.71,1.32
Diluted EPS,2.65,1.76,1.66,1.29
Basic Average Shares,325989000.0,326260000.0,331102000.0,344796000.0
Diluted Average Shares,331615000.0,332815000.0,340121000.0,352321000.0
Total Expenses,12378000000.0,10516000000.0,10298000000.0,10509000000.0
Net Income From Continuing And Discontinued Operation,878000000.0,585000000.0,566000000.0,454000000.0
Normalized Income,997990000.0,809272000.0,781452000.0,589228000.0
Interest Expense,270000000.0,275000000.0,317000000.0,301000000.0
Net Interest Income,-283000000.0,-316000000.0,-324000000.0,-302000000.0
EBIT,1278000000.0,962000000.0,925000000.0,934000000.0
Reconciled Cost Of Revenue,11085000000.0,9323000000.0,9203000000.0,9329000000.0
Reconciled Depreciation,700000000.0,668000000.0,678000000.0,702000000.0
Net Income From Continuing Operation Net Minority Interest,878000000.0,585000000.0,566000000.0,454000000.0
Total Unusual Items Excluding Goodwill,-142000000.0,-262000000.0,-244000000.0,-191000000.0
Total Unusual Items,-142000000.0,-262000000.0,-244000000.0,-191000000.0
Normalized EBITDA,2120000000.0,1892000000.0,1847000000.0,1827000000.0
Tax Rate For Calcs,0.155,0.144,0.117,0.292
Tax Effect Of Unusual Items,-22010000.0,-37728000.0,-28548000.0,-55772000.0
