,2022-01-31,2021-01-31,2020-01-31,2019-01-31
Total Revenue,51761000000.0,47262000000.0,43638000000.0,42879000000.0
Operating Revenue,51761000000.0,47262000000.0,43638000000.0,42879000000.0
Cost Of Revenue,40121000000.0,36689000000.0,33590000000.0,32918000000.0
Gross Profit,11640000000.0,10573000000.0,10048000000.0,9961000000.0
Operating Expense,8635000000.0,7928000000.0,7998000000.0,8015000000.0
Selling General And Administration,8635000000.0,7928000000.0,7998000000.0,8015000000.0
Operating Income,3005000000.0,2645000000.0,2050000000.0,1946000000.0
Net Non Operating Interest Income Expense,-25000000.0,-52000000.0,-64000000.0,-73000000.0
Interest Expense Non Operating,25000000.0,52000000.0,64000000.0,73000000.0
Other Income Expense,44000000.0,-216000000.0,7000000.0,15000000.0
Gain On Sale Of Security,10000000.0,38000000.0,48000000.0,61000000.0
Special Income Charges,34000000.0,-254000000.0,-41000000.0,-46000000.0
Restructuring And Mergern Acquisition,-34000000.0,254000000.0,41000000.0,46000000.0
Pretax Income,3024000000.0,2377000000.0,1993000000.0,1888000000.0
Tax Provision,574000000.0,579000000.0,452000000.0,424000000.0
Earnings From Equity Interest Net Of Tax,4000000.0,,,
Net Income Common Stockholders,2454000000.0,1798000000.0,1541000000.0,1464000000.0
Net Income,2454000000.0,1798000000.0,1541000000.0,1464000000.0
Net Income Including Noncontrolling Interests,2454000000.0,1798000000.0,1541000000.0,1464000000.0
Net Income Continuous Operations,2454000000.0,1798000000.0,1541000000.0,1464000000.0
Net Income Discontinuous Operations,,,0.0,0.0
Diluted NI Availto Com Stockholders,2454000000.0,1798000000.0,1541000000.0,1464000000.0
Basic EPS,9.94,6.93,5.82,5.3
Diluted EPS,9.84,6.84,5.75,5.2
Basic Average Shares,246800000.0,259600000.0,264900000.0,276400000.0
Diluted Average Shares,249300000.0,263000000.0,268100000.0,281400000.0
Total Operating Income As Reported,3039000000.0,2391000000.0,2009000000.0,1900000000.0
Total Expenses,48756000000.0,44617000000.0,41588000000.0,40933000000.0
Net Income From Continuing And Discontinued Operation,2454000000.0,1798000000.0,1541000000.0,1464000000.0
Normalized Income,2418360000.0,1961512000.0,1535589000.0,1452360000.0
Interest Expense,25000000.0,52000000.0,64000000.0,73000000.0
Net Interest Income,-25000000.0,-52000000.0,-64000000.0,-73000000.0
EBIT,3049000000.0,2429000000.0,2057000000.0,1961000000.0
Reconciled Cost Of Revenue,40121000000.0,36689000000.0,33590000000.0,32918000000.0
Reconciled Depreciation,869000000.0,839000000.0,812000000.0,770000000.0
Net Income From Continuing Operation Net Minority Interest,2454000000.0,1798000000.0,1541000000.0,1464000000.0
Total Unusual Items Excluding Goodwill,44000000.0,-216000000.0,7000000.0,15000000.0
Total Unusual Items,44000000.0,-216000000.0,7000000.0,15000000.0
Normalized EBITDA,3874000000.0,3484000000.0,2862000000.0,2716000000.0
Tax Rate For Calcs,0.19,0.243,0.227,0.224
Tax Effect Of Unusual Items,8360000.0,-52488000.0,1589000.0,3360000.0
