,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,19374000000.0,16205000000.0,14539000000.0,14198000000.0
Operating Revenue,19374000000.0,16205000000.0,14270000000.0,13905000000.0
Cost Of Revenue,9556000000.0,7939000000.0,7133000000.0,6993000000.0
Gross Profit,9818000000.0,8266000000.0,7406000000.0,7205000000.0
Operating Expense,2330000000.0,1953000000.0,1771000000.0,1607000000.0
Selling General And Administration,2183000000.0,1847000000.0,1674000000.0,1557000000.0
General And Administrative Expense,1945000000.0,1618000000.0,1324000000.0,1196000000.0
Rent And Landing Fees,364000000.0,319000000.0,307000000.0,293000000.0
Other Gand A,1581000000.0,1299000000.0,1017000000.0,903000000.0
Selling And Marketing Expense,238000000.0,229000000.0,350000000.0,361000000.0
Depreciation Amortization Depletion Income Statement,147000000.0,106000000.0,97000000.0,50000000.0
Depreciation And Amortization In Income Statement,147000000.0,106000000.0,97000000.0,50000000.0
Amortization,147000000.0,106000000.0,97000000.0,50000000.0
Amortization Of Intangibles Income Statement,147000000.0,106000000.0,97000000.0,50000000.0
Operating Income,7488000000.0,6313000000.0,5635000000.0,5598000000.0
Net Non Operating Interest Income Expense,-118000000.0,-143000000.0,-106000000.0,-80000000.0
Interest Income Non Operating,87000000.0,62000000.0,97000000.0,104000000.0
Interest Expense Non Operating,205000000.0,205000000.0,203000000.0,184000000.0
Other Income Expense,803000000.0,354000000.0,258000000.0,-140000000.0
Gain On Sale Of Security,837000000.0,966000000.0,311000000.0,-15000000.0
Special Income Charges,-34000000.0,-612000000.0,-53000000.0,-125000000.0
Restructuring And Mergern Acquisition,34000000.0,23000000.0,53000000.0,125000000.0
Other Special Charges,,589000000.0,,
Pretax Income,8173000000.0,6524000000.0,5787000000.0,5378000000.0
Tax Provision,1968000000.0,1238000000.0,1261000000.0,1076000000.0
Net Income Common Stockholders,5901000000.0,4932000000.0,4476000000.0,4305000000.0
Net Income,5901000000.0,4932000000.0,4476000000.0,4305000000.0
Net Income Including Noncontrolling Interests,6205000000.0,5286000000.0,4526000000.0,4302000000.0
Net Income Continuous Operations,6205000000.0,5286000000.0,4526000000.0,4302000000.0
Minority Interests,-304000000.0,-354000000.0,-50000000.0,3000000.0
Diluted NI Availto Com Stockholders,5901000000.0,4932000000.0,4476000000.0,4305000000.0
Basic EPS,38.60496,32.00148,28.57524,26.75256
Diluted EPS,38.06712,31.7226,28.31628,26.47368
Basic Average Shares,152847435.0,154105843.0,156640905.0,160944893.0
Diluted Average Shares,155024453.0,155462430.0,158091912.0,162599126.0
Total Operating Income As Reported,7450000000.0,5695000000.0,5551000000.0,5457000000.0
Rent Expense Supplemental,364000000.0,319000000.0,307000000.0,293000000.0
Total Expenses,11886000000.0,9892000000.0,8904000000.0,8600000000.0
Net Income From Continuing And Discontinued Operation,5901000000.0,4932000000.0,4476000000.0,4305000000.0
Normalized Income,5298750000.0,4649154000.0,4274760000.0,4417000000.0
Interest Income,87000000.0,62000000.0,97000000.0,104000000.0
Interest Expense,205000000.0,205000000.0,203000000.0,184000000.0
Net Interest Income,-118000000.0,-143000000.0,-106000000.0,-80000000.0
EBIT,8378000000.0,6729000000.0,5990000000.0,5562000000.0
Reconciled Cost Of Revenue,9288000000.0,7687000000.0,6825000000.0,6823000000.0
Reconciled Depreciation,415000000.0,358000000.0,405000000.0,220000000.0
Net Income From Continuing Operation Net Minority Interest,5901000000.0,4932000000.0,4476000000.0,4305000000.0
Total Unusual Items Excluding Goodwill,803000000.0,354000000.0,258000000.0,-140000000.0
Total Unusual Items,803000000.0,354000000.0,258000000.0,-140000000.0
Normalized EBITDA,7990000000.0,6733000000.0,6137000000.0,5922000000.0
Tax Rate For Calcs,0.25,0.201,0.22,0.2
Tax Effect Of Unusual Items,200750000.0,71154000.0,56760000.0,-28000000.0
