,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,354636000000.0,286256000000.0,327223000000.0,225382000000.0
Operating Revenue,354636000000.0,286256000000.0,327223000000.0,225382000000.0
Selling General And Administration,23044000000.0,23329000000.0,23325000000.0,22299000000.0
General And Administrative Expense,4201000000.0,3520000000.0,4003000000.0,4061000000.0
Other Gand A,4201000000.0,3520000000.0,4003000000.0,4061000000.0
Selling And Marketing Expense,18843000000.0,19809000000.0,19322000000.0,18238000000.0
Other Operating Expenses,148189000000.0,130645000000.0,137775000000.0,137664000000.0
Net Non Operating Interest Income Expense,-4172000000.0,-4083000000.0,-3961000000.0,-3853000000.0
Interest Expense Non Operating,4172000000.0,4083000000.0,3961000000.0,3853000000.0
Other Income Expense,193099000000.0,168543000000.0,179555000000.0,178326000000.0
Special Income Charges,0.0,-10671000000.0,,
Impairment Of Capital Assets,0.0,10671000000.0,,
Pretax Income,111686000000.0,55693000000.0,102696000000.0,4001000000.0
Tax Provision,20879000000.0,12440000000.0,20904000000.0,-321000000.0
Net Income Common Stockholders,89795000000.0,42521000000.0,81417000000.0,4021000000.0
Net Income,89795000000.0,42521000000.0,81417000000.0,4021000000.0
Net Income Including Noncontrolling Interests,90807000000.0,43253000000.0,81792000000.0,4322000000.0
Net Income Continuous Operations,90807000000.0,43253000000.0,81792000000.0,4322000000.0
Minority Interests,-1012000000.0,-732000000.0,-375000000.0,-301000000.0
Diluted NI Availto Com Stockholders,89795000000.0,42521000000.0,81417000000.0,4021000000.0
Basic EPS,39.64002,17.778676,33.218683,1.630667
Diluted EPS,39.64002,17.778676,33.218683,1.630667
Basic Average Shares,2265268867.0,2391702304.0,2450917775.0,2465691267.0
Diluted Average Shares,2265268867.0,2391702304.0,2450917775.0,2465691267.0
Rent Expense Supplemental,4201000000.0,3520000000.0,4003000000.0,4061000000.0
Total Expenses,242950000000.0,230563000000.0,224527000000.0,221381000000.0
Net Income From Continuing And Discontinued Operation,89795000000.0,42521000000.0,81417000000.0,4021000000.0
Normalized Income,89795000000.0,50812367000.0,81417000000.0,4021000000.0
Interest Income,7465000000.0,8092000000.0,9240000000.0,7678000000.0
Interest Expense,4172000000.0,4083000000.0,3961000000.0,3853000000.0
Net Interest Income,-4172000000.0,-4083000000.0,-3961000000.0,-3853000000.0
EBIT,115858000000.0,59776000000.0,106657000000.0,7854000000.0
Reconciled Depreciation,10718000000.0,10596000000.0,10064000000.0,9779000000.0
Net Income From Continuing Operation Net Minority Interest,89795000000.0,42521000000.0,81417000000.0,4021000000.0
Total Unusual Items Excluding Goodwill,0.0,-10671000000.0,,
Total Unusual Items,0.0,-10671000000.0,,
Tax Rate For Calcs,0.187,0.223,0.203552,0.27
Tax Effect Of Unusual Items,0.0,-2379633000.0,0.0,0.0
