,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,11888000000.0,9913000000.0,10735000000.0,9823000000.0
Operating Revenue,11888000000.0,9913000000.0,10735000000.0,9823000000.0
Cost Of Revenue,3760000000.0,3510000000.0,3181000000.0,2883000000.0
Gross Profit,8128000000.0,6403000000.0,7554000000.0,6940000000.0
Operating Expense,6304000000.0,5719000000.0,5814000000.0,5281000000.0
Selling General And Administration,4359000000.0,3787000000.0,3941000000.0,3569000000.0
Research And Development,1204000000.0,1143000000.0,1174000000.0,1113000000.0
Depreciation Amortization Depletion Income Statement,741000000.0,789000000.0,699000000.0,599000000.0
Depreciation And Amortization In Income Statement,741000000.0,789000000.0,699000000.0,599000000.0
Amortization,741000000.0,789000000.0,699000000.0,599000000.0
Amortization Of Intangibles Income Statement,741000000.0,789000000.0,699000000.0,599000000.0
Other Operating Expenses,,45000000.0,65000000.0,70000000.0
Operating Income,1824000000.0,684000000.0,1740000000.0,1659000000.0
Net Non Operating Interest Income Expense,-337000000.0,-358000000.0,-443000000.0,-238000000.0
Interest Income Non Operating,4000000.0,3000000.0,30000000.0,3000000.0
Interest Expense Non Operating,341000000.0,361000000.0,473000000.0,241000000.0
Other Income Expense,-412000000.0,-405000000.0,-612000000.0,-1000000.0
Gain On Sale Of Security,223000000.0,351000000.0,-388000000.0,166000000.0
Special Income Charges,-626000000.0,-763000000.0,-223000000.0,-153000000.0
Restructuring And Mergern Acquisition,-96000000.0,-48000000.0,3000000.0,15000000.0
Impairment Of Capital Assets,370000000.0,533000000.0,105000000.0,35000000.0
Other Special Charges,430000000.0,278000000.0,115000000.0,103000000.0
Gain On Sale Of Business,78000000.0,,,
Other Non Operating Income Expenses,-9000000.0,7000000.0,-1000000.0,-14000000.0
Pretax Income,1076000000.0,-79000000.0,687000000.0,1422000000.0
Tax Provision,36000000.0,2000000.0,-4013000000.0,-249000000.0
Net Income Common Stockholders,985000000.0,-115000000.0,4700000000.0,1671000000.0
Net Income,1041000000.0,-82000000.0,4700000000.0,1671000000.0
Net Income Including Noncontrolling Interests,1041000000.0,-82000000.0,4700000000.0,1671000000.0
Net Income Continuous Operations,1041000000.0,-82000000.0,4700000000.0,1671000000.0
Preferred Stock Dividends,55000000.0,33000000.0,,
Diluted NI Availto Com Stockholders,985000000.0,-115000000.0,4700000000.0,1671000000.0
Basic EPS,0.69,-0.12,3.38,1.21
Diluted EPS,0.69,-0.12,3.33,1.19
Basic Average Shares,1422300000.0,1416700000.0,1391500000.0,1381000000.0
Diluted Average Shares,1433800000.0,1416700000.0,1410600000.0,1401400000.0
Total Operating Income As Reported,1199000000.0,-80000000.0,1518000000.0,1506000000.0
Total Expenses,10064000000.0,9229000000.0,8995000000.0,8164000000.0
Net Income From Continuing And Discontinued Operation,1041000000.0,-82000000.0,4700000000.0,1671000000.0
Normalized Income,1430701000.0,318052000.0,5146030000.0,1661510000.0
Interest Income,4000000.0,3000000.0,30000000.0,3000000.0
Interest Expense,341000000.0,361000000.0,473000000.0,241000000.0
Net Interest Income,-337000000.0,-358000000.0,-443000000.0,-238000000.0
EBIT,1417000000.0,282000000.0,1160000000.0,1663000000.0
Reconciled Cost Of Revenue,3408000000.0,3176000000.0,2869000000.0,2588000000.0
Reconciled Depreciation,1093000000.0,1123000000.0,1011000000.0,894000000.0
Net Income From Continuing Operation Net Minority Interest,1041000000.0,-82000000.0,4700000000.0,1671000000.0
Total Unusual Items Excluding Goodwill,-403000000.0,-412000000.0,-611000000.0,13000000.0
Total Unusual Items,-403000000.0,-412000000.0,-611000000.0,13000000.0
Normalized EBITDA,2913000000.0,1817000000.0,2782000000.0,2544000000.0
Tax Rate For Calcs,0.033,0.029,0.27,0.27
Tax Effect Of Unusual Items,-13299000.0,-11948000.0,-164970000.0,3510000.0
