,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,2888621000.0,2765686000.0,2960562000.0,2717076000.0
Operating Revenue,2876134000.0,2754060000.0,2950176000.0,2707486000.0
Cost Of Revenue,1046636000.0,1041970000.0,1094400000.0,1022604000.0
Gross Profit,1841985000.0,1723716000.0,1866162000.0,1694472000.0
Operating Expense,868909000.0,816863000.0,818541000.0,767371000.0
Selling General And Administration,151573000.0,133112000.0,140777000.0,121722000.0
General And Administrative Expense,151573000.0,133112000.0,140777000.0,121722000.0
Other Gand A,151573000.0,133112000.0,140777000.0,121722000.0
Depreciation Amortization Depletion Income Statement,717336000.0,683751000.0,677764000.0,645649000.0
Depreciation And Amortization In Income Statement,717336000.0,683751000.0,677764000.0,645649000.0
Operating Income,973076000.0,906853000.0,1047621000.0,927101000.0
Net Non Operating Interest Income Expense,-417642000.0,-425764000.0,-393778000.0,-367345000.0
Interest Income Non Operating,5704000.0,5953000.0,18939000.0,10823000.0
Interest Expense Non Operating,423346000.0,431717000.0,412717000.0,378168000.0
Other Income Expense,76498000.0,537602000.0,-1844000.0,152807000.0
Gain On Sale Of Security,129286000.0,624243000.0,7126000.0,180491000.0
Earnings From Equity Interest,-2570000.0,-85110000.0,46592000.0,2222000.0
Special Income Charges,-50218000.0,-1531000.0,-55562000.0,-29906000.0
Restructuring And Mergern Acquisition,5036000.0,1531000.0,1984000.0,1604000.0
Impairment Of Capital Assets,0.0,0.0,24038000.0,11812000.0
Other Special Charges,45182000.0,,29540000.0,16490000.0
Gain On Sale Of Business,,,,0.0
Pretax Income,631932000.0,1018691000.0,651999000.0,712563000.0
Net Income Common Stockholders,496223000.0,861479000.0,511034000.0,572246000.0
Net Income,505195000.0,872727000.0,521534000.0,582847000.0
Net Income Including Noncontrolling Interests,631932000.0,1018691000.0,651999000.0,712563000.0
Net Income Continuous Operations,631932000.0,1018691000.0,651999000.0,712563000.0
Minority Interests,-126737000.0,-145964000.0,-130465000.0,-129716000.0
Preferred Stock Dividends,8972000.0,10500000.0,10500000.0,10500000.0
Otherunder Preferred Stock Dividend,6412000.0,748000.0,,101000.0
Average Dilution Earnings,,0.0,0.0,0.0
Diluted NI Availto Com Stockholders,496223000.0,861479000.0,511034000.0,572246000.0
Basic EPS,3.178418,5.544866,3.31,3.706281
Diluted EPS,3.17,5.54,3.3,3.7
Basic Average Shares,156120750.0,155432250.0,154582000.0,154426750.0
Diluted Average Shares,156459000.0,155518000.0,154883000.0,154681750.0
Total Operating Income As Reported,,,,913685000.0
Total Expenses,1915545000.0,1858833000.0,1912941000.0,1789975000.0
Net Income From Continuing And Discontinued Operation,505195000.0,872727000.0,521534000.0,582847000.0
Normalized Income,447475360.0,418147240.0,556892280.0,472919950.0
Interest Income,5704000.0,5953000.0,18939000.0,10823000.0
Interest Expense,423346000.0,431717000.0,412717000.0,378168000.0
Net Interest Income,-417642000.0,-425764000.0,-393778000.0,-367345000.0
EBIT,1055278000.0,1450408000.0,1064716000.0,1090731000.0
Reconciled Cost Of Revenue,1043120000.0,1039736000.0,1091988000.0,1022604000.0
Reconciled Depreciation,720852000.0,685985000.0,680176000.0,645649000.0
Net Income From Continuing Operation Net Minority Interest,505195000.0,872727000.0,521534000.0,582847000.0
Total Unusual Items Excluding Goodwill,79068000.0,622712000.0,-48436000.0,150585000.0
Total Unusual Items,79068000.0,622712000.0,-48436000.0,150585000.0
Normalized EBITDA,1697062000.0,1513681000.0,1793328000.0,1585795000.0
Tax Rate For Calcs,0.27,0.27,0.27,0.27
Tax Effect Of Unusual Items,21348360.0,168132240.0,-13077720.0,40657950.0
