,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,6340000000.0,5840000000.0,5763000000.0,5423000000.0
Operating Revenue,6340000000.0,5840000000.0,5763000000.0,5423000000.0
Cost Of Revenue,1993000000.0,1969000000.0,1986000000.0,1847000000.0
Gross Profit,4347000000.0,3871000000.0,3777000000.0,3576000000.0
Operating Expense,2324000000.0,1924000000.0,2186000000.0,2091000000.0
Selling General And Administration,680000000.0,678000000.0,614000000.0,563000000.0
General And Administrative Expense,,,,563000000.0
Other Gand A,,,,563000000.0
Depreciation Amortization Depletion Income Statement,1644000000.0,1608000000.0,1572000000.0,1528000000.0
Depreciation And Amortization In Income Statement,1644000000.0,1608000000.0,1572000000.0,1528000000.0
Other Operating Expenses,,-362000000.0,,
Operating Income,2023000000.0,1947000000.0,1591000000.0,1485000000.0
Net Non Operating Interest Income Expense,-656000000.0,-687000000.0,-677000000.0,-637000000.0
Interest Income Non Operating,1000000.0,2000000.0,6000000.0,5000000.0
Interest Expense Non Operating,632000000.0,666000000.0,662000000.0,620000000.0
Total Other Finance Cost,25000000.0,23000000.0,21000000.0,22000000.0
Other Income Expense,-188000000.0,-184000000.0,-33000000.0,-158000000.0
Special Income Charges,-167000000.0,-179000000.0,-34000000.0,-159000000.0
Restructuring And Mergern Acquisition,1000000.0,10000000.0,13000000.0,27000000.0
Impairment Of Capital Assets,21000000.0,74000000.0,19000000.0,26000000.0
Write Off,,,19000000.0,26000000.0
Other Special Charges,145000000.0,95000000.0,2000000.0,106000000.0
Other Non Operating Income Expenses,-21000000.0,-5000000.0,1000000.0,1000000.0
Pretax Income,1179000000.0,1076000000.0,881000000.0,690000000.0
Tax Provision,21000000.0,20000000.0,21000000.0,19000000.0
Net Income Common Stockholders,1096000000.0,999000000.0,747000000.0,558000000.0
Net Income,1096000000.0,1056000000.0,860000000.0,671000000.0
Net Income Including Noncontrolling Interests,1096000000.0,1056000000.0,860000000.0,671000000.0
Net Income Continuous Operations,1158000000.0,1056000000.0,860000000.0,671000000.0
Net Income Discontinuous Operations,-62000000.0,,,
Preferred Stock Dividends,,57000000.0,113000000.0,113000000.0
Diluted NI Availto Com Stockholders,1096000000.0,999000000.0,747000000.0,558000000.0
Basic EPS,2.54,2.36,1.8,1.35
Diluted EPS,2.53,2.35,1.8,1.34
Basic Average Shares,432000000.0,423000000.0,416000000.0,413000000.0
Diluted Average Shares,434000000.0,425000000.0,418000000.0,415000000.0
Total Operating Income As Reported,2001000000.0,1863000000.0,1559000000.0,1432000000.0
Total Expenses,4317000000.0,3893000000.0,4172000000.0,3938000000.0
Net Income From Continuing And Discontinued Operation,1096000000.0,1056000000.0,860000000.0,671000000.0
Normalized Income,1322025445.292621,1231672862.453532,893189557.321226,825621739.130435
Interest Income,1000000.0,2000000.0,6000000.0,5000000.0
Interest Expense,632000000.0,666000000.0,662000000.0,620000000.0
Net Interest Income,-656000000.0,-687000000.0,-677000000.0,-637000000.0
EBIT,1811000000.0,1742000000.0,1543000000.0,1310000000.0
Reconciled Cost Of Revenue,1993000000.0,1969000000.0,1986000000.0,1847000000.0
Reconciled Depreciation,1644000000.0,1608000000.0,1572000000.0,1528000000.0
Net Income From Continuing Operation Net Minority Interest,1158000000.0,1056000000.0,860000000.0,671000000.0
Total Unusual Items Excluding Goodwill,-167000000.0,-179000000.0,-34000000.0,-159000000.0
Total Unusual Items,-167000000.0,-179000000.0,-34000000.0,-159000000.0
Normalized EBITDA,3622000000.0,3529000000.0,3149000000.0,2997000000.0
Tax Rate For Calcs,0.017812,0.018587,0.023837,0.027536
Tax Effect Of Unusual Items,-2974554.707379,-3327137.546468,-810442.678774,-4378260.869565
