,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,2988244000.0,2682891000.0,2336319000.0,2138022000.0
Operating Revenue,2988244000.0,2682891000.0,2336319000.0,2138022000.0
Cost Of Revenue,307006000.0,305498000.0,266357000.0,258747000.0
Gross Profit,2681238000.0,2377393000.0,2069962000.0,1879275000.0
Operating Expense,1903197000.0,1722626000.0,1569545000.0,1471977000.0
Selling General And Administration,749280000.0,670885000.0,621479000.0,573075000.0
General And Administrative Expense,189018000.0,154425000.0,139806000.0,133406000.0
Other Gand A,189018000.0,154425000.0,139806000.0,133406000.0
Selling And Marketing Expense,560262000.0,516460000.0,481673000.0,439669000.0
Research And Development,1134277000.0,1033732000.0,935938000.0,884816000.0
Depreciation Amortization Depletion Income Statement,19640000.0,18009000.0,12128000.0,14086000.0
Depreciation And Amortization In Income Statement,19640000.0,18009000.0,12128000.0,14086000.0
Amortization,19640000.0,18009000.0,12128000.0,14086000.0
Amortization Of Intangibles Income Statement,19640000.0,18009000.0,12128000.0,14086000.0
Operating Income,778041000.0,654767000.0,500417000.0,407298000.0
Net Non Operating Interest Income Expense,-14346000.0,-16932000.0,-9320000.0,-15069000.0
Interest Income Non Operating,2634000.0,3817000.0,9509000.0,8070000.0
Interest Expense Non Operating,16980000.0,20749000.0,18829000.0,23139000.0
Other Income Expense,4740000.0,-5087000.0,-12129000.0,-15839000.0
Gain On Sale Of Security,3954000.0,4356000.0,-2798000.0,-4279000.0
Special Income Charges,1048000.0,-9215000.0,-8621000.0,-11089000.0
Restructuring And Mergern Acquisition,-1048000.0,9215000.0,8621000.0,11089000.0
Gain On Sale Of Ppe,,,,0.0
Other Non Operating Income Expenses,-262000.0,-228000.0,-710000.0,-471000.0
Pretax Income,768435000.0,632748000.0,478968000.0,376390000.0
Tax Provision,72480000.0,42104000.0,-510011000.0,30613000.0
Net Income Common Stockholders,695955000.0,590644000.0,988979000.0,345777000.0
Net Income,695955000.0,590644000.0,988979000.0,345777000.0
Net Income Including Noncontrolling Interests,695955000.0,590644000.0,988979000.0,345777000.0
Net Income Continuous Operations,695955000.0,590644000.0,988979000.0,345777000.0
Diluted NI Availto Com Stockholders,695955000.0,590644000.0,988979000.0,345777000.0
Basic EPS,2.54,2.16,3.62,1.26
Diluted EPS,2.5,2.11,3.53,1.23
Basic Average Shares,273504000.0,273728000.0,273239000.0,273729000.0
Diluted Average Shares,278858000.0,279641000.0,280515000.0,281144000.0
Total Operating Income As Reported,779089000.0,645552000.0,491796000.0,396209000.0
Total Expenses,2210203000.0,2028124000.0,1835902000.0,1730724000.0
Net Income From Continuing And Discontinued Operation,695955000.0,590644000.0,988979000.0,345777000.0
Normalized Income,691423188.0,595177447.0,997314870.0,359900192.0
Interest Income,2634000.0,3817000.0,9509000.0,8070000.0
Interest Expense,16980000.0,20749000.0,18829000.0,23139000.0
Net Interest Income,-14346000.0,-16932000.0,-9320000.0,-15069000.0
EBIT,785415000.0,653497000.0,497797000.0,399529000.0
Reconciled Cost Of Revenue,195944000.0,173371000.0,155134000.0,154112000.0
Reconciled Depreciation,130702000.0,150136000.0,123351000.0,118721000.0
Net Income From Continuing Operation Net Minority Interest,695955000.0,590644000.0,988979000.0,345777000.0
Total Unusual Items Excluding Goodwill,5002000.0,-4859000.0,-11419000.0,-15368000.0
Total Unusual Items,5002000.0,-4859000.0,-11419000.0,-15368000.0
Normalized EBITDA,911115000.0,808492000.0,632567000.0,533618000.0
Tax Rate For Calcs,0.094,0.067,0.27,0.081
Tax Effect Of Unusual Items,470188.0,-325553.0,-3083130.0,-1244808.0
