,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,5190100000.0,4895800000.0,4357700000.0,4145900000.0
Operating Revenue,5190100000.0,4895800000.0,4357700000.0,4145900000.0
Cost Of Revenue,2926600000.0,2681600000.0,2373700000.0,2305100000.0
Gross Profit,2263500000.0,2214200000.0,1984000000.0,1840800000.0
Operating Expense,1184400000.0,1184500000.0,1143800000.0,1049100000.0
Selling General And Administration,1184400000.0,1184500000.0,1143800000.0,1049100000.0
General And Administrative Expense,606700000.0,593300000.0,628800000.0,565900000.0
Other Gand A,606700000.0,593300000.0,628800000.0,565900000.0
Selling And Marketing Expense,577700000.0,591200000.0,515000000.0,483200000.0
Operating Income,1079100000.0,1029700000.0,840200000.0,791700000.0
Net Non Operating Interest Income Expense,-54500000.0,-61000000.0,-73600000.0,-79400000.0
Interest Expense Non Operating,54500000.0,61000000.0,73600000.0,79400000.0
Other Income Expense,7100000.0,5100000.0,7100000.0,7200000.0
Gain On Sale Of Security,,500000.0,1600000.0,1900000.0
Earnings From Equity Interest,9400000.0,6700000.0,6600000.0,9200000.0
Other Non Operating Income Expenses,-2300000.0,-2100000.0,-1100000.0,-3900000.0
Pretax Income,1031700000.0,973800000.0,773700000.0,719500000.0
Tax Provision,204200000.0,187900000.0,157800000.0,150900000.0
Net Income Common Stockholders,827500000.0,785900000.0,615900000.0,568600000.0
Net Income,827500000.0,785900000.0,615900000.0,568600000.0
Net Income Including Noncontrolling Interests,827500000.0,785900000.0,615900000.0,568600000.0
Net Income Continuous Operations,827500000.0,785900000.0,615900000.0,568600000.0
Diluted NI Availto Com Stockholders,827500000.0,785900000.0,615900000.0,568600000.0
Basic EPS,3.38,3.18,2.5,2.32
Diluted EPS,3.32,3.12,2.44,2.27
Basic Average Shares,244900000.0,246800000.0,246200000.0,245500000.0
Diluted Average Shares,249600000.0,252200000.0,252100000.0,250700000.0
Total Operating Income As Reported,1079100000.0,1029700000.0,840200000.0,791700000.0
Total Expenses,4111000000.0,3866100000.0,3517500000.0,3354200000.0
Net Income From Continuing And Discontinued Operation,827500000.0,785900000.0,615900000.0,568600000.0
Normalized Income,827500000.0,785496500.0,614626400.0,567099000.0
Interest Expense,54500000.0,61000000.0,73600000.0,79400000.0
Net Interest Income,-54500000.0,-61000000.0,-73600000.0,-79400000.0
EBIT,1086200000.0,1034800000.0,847300000.0,798900000.0
Reconciled Cost Of Revenue,2926600000.0,2681600000.0,2373700000.0,2305100000.0
Reconciled Depreciation,219100000.0,189700000.0,176400000.0,141100000.0
Net Income From Continuing Operation Net Minority Interest,827500000.0,785900000.0,615900000.0,568600000.0
Total Unusual Items Excluding Goodwill,,500000.0,1600000.0,1900000.0
Total Unusual Items,,500000.0,1600000.0,1900000.0
Normalized EBITDA,1305300000.0,1224000000.0,1022100000.0,938100000.0
Tax Rate For Calcs,0.198,0.193,0.204,0.21
Tax Effect Of Unusual Items,0.0,96500.0,326400.0,399000.0
