,2022-07-31,2021-07-31,2020-07-31,2019-07-31
Total Revenue,3500921000.0,2692511000.0,2205583000.0,2041957000.0
Operating Revenue,3500921000.0,2692511000.0,2205583000.0,2041957000.0
Cost Of Revenue,1894700000.0,1349420000.0,1197781000.0,1143615000.0
Gross Profit,1606221000.0,1343091000.0,1007802000.0,898342000.0
Operating Expense,231224000.0,206665000.0,191703000.0,181867000.0
Selling General And Administration,231224000.0,206665000.0,191703000.0,181867000.0
General And Administrative Expense,231224000.0,206665000.0,191703000.0,181867000.0
Salaries And Wages,33838000.0,35633000.0,17567000.0,18254000.0
Other Gand A,231224000.0,206665000.0,191703000.0,181867000.0
Depreciation Amortization Depletion Income Statement,20072000.0,21054000.0,24391000.0,21728000.0
Depreciation And Amortization In Income Statement,20072000.0,21054000.0,24391000.0,21728000.0
Operating Income,1374997000.0,1136426000.0,816099000.0,716475000.0
Net Non Operating Interest Income Expense,-16688000.0,-20247000.0,-18871000.0,-17585000.0
Interest Income Non Operating,,,1359000.0,2225000.0
Interest Expense Non Operating,16688000.0,20247000.0,20230000.0,19810000.0
Other Income Expense,-17355000.0,5667000.0,3611000.0,6061000.0
Special Income Charges,-16759000.0,,0.0,0.0
Impairment Of Capital Assets,,,0.0,0.0
Other Special Charges,16759000.0,,,
Other Non Operating Income Expenses,-596000.0,5667000.0,3611000.0,6061000.0
Pretax Income,1340954000.0,1121846000.0,800839000.0,704951000.0
Tax Provision,250824000.0,185351000.0,100932000.0,113258000.0
Net Income Common Stockholders,1090130000.0,936495000.0,699907000.0,591693000.0
Net Income,1090130000.0,936495000.0,699907000.0,591693000.0
Net Income Including Noncontrolling Interests,1090130000.0,936495000.0,699907000.0,591693000.0
Net Income Continuous Operations,1090130000.0,936495000.0,699907000.0,591693000.0
Minority Interests,,,0.0,0.0
Diluted NI Availto Com Stockholders,1090130000.0,936495000.0,699907000.0,591693000.0
Basic EPS,2.295,1.98,1.5,1.285
Diluted EPS,2.26,1.95,1.465,1.23
Basic Average Shares,474838000.0,472504000.0,466404000.0,460978000.0
Diluted Average Shares,482302000.0,480580000.0,477312000.0,480906000.0
Total Operating Income As Reported,1374997000.0,1136426000.0,816099000.0,716475000.0
Total Expenses,2125924000.0,1556085000.0,1389484000.0,1325482000.0
Net Income From Continuing And Discontinued Operation,1090130000.0,936495000.0,699907000.0,591693000.0
Normalized Income,1103755067.0,936495000.0,699907000.0,591693000.0
Interest Income,,,1359000.0,2225000.0
Interest Expense,16688000.0,20247000.0,20230000.0,19810000.0
Net Interest Income,-16688000.0,-20247000.0,-18871000.0,-17585000.0
EBIT,1357642000.0,1142093000.0,821069000.0,724761000.0
Reconciled Cost Of Revenue,1894700000.0,1349420000.0,1197781000.0,1143615000.0
Reconciled Depreciation,138605000.0,123084000.0,104257000.0,85334000.0
Net Income From Continuing Operation Net Minority Interest,1090130000.0,936495000.0,699907000.0,591693000.0
Total Unusual Items Excluding Goodwill,-16759000.0,,0.0,0.0
Total Unusual Items,-16759000.0,,0.0,0.0
Normalized EBITDA,1513006000.0,1265177000.0,925326000.0,810095000.0
Tax Rate For Calcs,0.187,0.165,0.126,0.161
Tax Effect Of Unusual Items,-3133933.0,0.0,0.0,0.0
