,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,1143585000.0,1043837000.0,1028461000.0,954505000.0
Operating Revenue,1143585000.0,1043837000.0,1028461000.0,842047000.0
Cost Of Revenue,447875000.0,422981000.0,397396000.0,373611000.0
Gross Profit,695710000.0,620856000.0,631065000.0,580894000.0
Operating Expense,469528000.0,409986000.0,380779000.0,344450000.0
Selling General And Administration,59368000.0,53624000.0,53201000.0,50735000.0
General And Administrative Expense,59368000.0,53624000.0,53201000.0,50735000.0
Salaries And Wages,,0.0,0.0,0.0
Other Gand A,59368000.0,53624000.0,53201000.0,50735000.0
Depreciation Amortization Depletion Income Statement,420692000.0,367162000.0,336274000.0,300946000.0
Depreciation And Amortization In Income Statement,420692000.0,367162000.0,336274000.0,300946000.0
Other Operating Expenses,-10532000.0,-10800000.0,-8696000.0,-7231000.0
Operating Income,226182000.0,210870000.0,250286000.0,236444000.0
Net Non Operating Interest Income Expense,-96074000.0,-88577000.0,-77616000.0,-82162000.0
Interest Income Non Operating,1223000.0,2949000.0,3090000.0,2101000.0
Interest Expense Non Operating,97297000.0,91526000.0,80706000.0,84263000.0
Other Income Expense,184161000.0,8258000.0,52689000.0,7836000.0
Gain On Sale Of Security,174384000.0,,49901000.0,
Earnings From Equity Interest,9777000.0,8052000.0,14783000.0,7836000.0
Special Income Charges,0.0,206000.0,-11995000.0,0.0
Other Special Charges,,176000.0,11995000.0,
Gain On Sale Of Ppe,174384000.0,382000.0,49901000.0,0.0
Other Non Operating Income Expenses,10532000.0,10800000.0,8696000.0,7231000.0
Pretax Income,314269000.0,130551000.0,225359000.0,162118000.0
Tax Provision,1893000.0,1972000.0,1089000.0,1424000.0
Net Income Common Stockholders,303362000.0,123650000.0,219084000.0,155021000.0
Net Income,303907000.0,123911000.0,219623000.0,156128000.0
Net Income Including Noncontrolling Interests,312376000.0,128579000.0,224270000.0,160694000.0
Net Income Continuous Operations,312376000.0,128579000.0,224270000.0,160694000.0
Net Income Discontinuous Operations,,,,0.0
Net Income From Tax Loss Carryforward,,,,0.0
Minority Interests,-8469000.0,-4668000.0,-4647000.0,-4566000.0
Otherunder Preferred Stock Dividend,545000.0,261000.0,539000.0,1107000.0
Average Dilution Earnings,1190000.0,0.0,1593000.0,
Diluted NI Availto Com Stockholders,304552000.0,123650000.0,220677000.0,155021000.0
Basic EPS,2.97,1.24,2.23,1.63
Diluted EPS,2.96,1.24,2.22,1.63
Basic Average Shares,101999000.0,99385000.0,98460000.0,95208000.0
Diluted Average Shares,102829000.0,99438000.0,99384000.0,95366000.0
Total Expenses,917403000.0,832967000.0,778175000.0,718061000.0
Net Income From Continuing And Discontinued Operation,303907000.0,123911000.0,219623000.0,156128000.0
Normalized Income,130573402.400491,123708111.672833,181900172.777657,156128000.0
Interest Income,1223000.0,2949000.0,3090000.0,2101000.0
Interest Expense,97297000.0,91526000.0,80706000.0,84263000.0
Net Interest Income,-96074000.0,-88577000.0,-77616000.0,-82162000.0
EBIT,411566000.0,222077000.0,306065000.0,246381000.0
Reconciled Cost Of Revenue,447875000.0,422981000.0,397396000.0,373611000.0
Reconciled Depreciation,420692000.0,367162000.0,336274000.0,300946000.0
Net Income From Continuing Operation Net Minority Interest,303907000.0,123911000.0,219623000.0,156128000.0
Total Unusual Items Excluding Goodwill,174384000.0,206000.0,37906000.0,0.0
Total Unusual Items,174384000.0,206000.0,37906000.0,0.0
Normalized EBITDA,657874000.0,589033000.0,604433000.0,547327000.0
Tax Rate For Calcs,0.006024,0.015105,0.004832,0.008784
Tax Effect Of Unusual Items,1050402.400491,3111.672833,183172.777657,0.0
