,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,12522000000.0,10583000000.0,11937000000.0,12250000000.0
Operating Revenue,11778000000.0,10583000000.0,11937000000.0,12250000000.0
Cost Of Revenue,7382000000.0,6221000000.0,7063000000.0,7477000000.0
Gross Profit,5140000000.0,4362000000.0,4874000000.0,4773000000.0
Operating Income,5140000000.0,4362000000.0,4874000000.0,4773000000.0
Net Non Operating Interest Income Expense,-715000000.0,-737000000.0,-689000000.0,-607000000.0
Interest Income Non Operating,7000000.0,17000000.0,48000000.0,32000000.0
Interest Expense Non Operating,722000000.0,754000000.0,737000000.0,639000000.0
Other Income Expense,526000000.0,2000000.0,131000000.0,138000000.0
Earnings From Equity Interest,,,91000000.0,96000000.0
Special Income Charges,454000000.0,-48000000.0,0.0,0.0
Restructuring And Mergern Acquisition,,,0.0,0.0
Other Special Charges,,48000000.0,,
Gain On Sale Of Business,,,,0.0
Gain On Sale Of Ppe,454000000.0,,,
Other Non Operating Income Expenses,72000000.0,50000000.0,40000000.0,42000000.0
Pretax Income,4951000000.0,3627000000.0,4316000000.0,4304000000.0
Tax Provision,1170000000.0,862000000.0,985000000.0,995000000.0
Net Income Common Stockholders,3781000000.0,2765000000.0,3331000000.0,3308000000.0
Net Income,3781000000.0,2765000000.0,3331000000.0,3309000000.0
Net Income Including Noncontrolling Interests,3781000000.0,2765000000.0,3331000000.0,3309000000.0
Net Income Continuous Operations,3781000000.0,2765000000.0,3331000000.0,3309000000.0
Otherunder Preferred Stock Dividend,,0.0,0.0,1000000.0
Diluted NI Availto Com Stockholders,3781000000.0,2765000000.0,3331000000.0,3308000000.0
Basic EPS,1.717075,1.207951,1.436395,1.348411
Diluted EPS,1.68,1.2,1.39,1.28
Basic Average Shares,2202000000.0,2289000000.0,2319000000.0,2454000000.0
Diluted Average Shares,2255000000.0,2304000000.0,2394000000.0,2583000000.0
Total Operating Income As Reported,5594000000.0,4362000000.0,4965000000.0,4869000000.0
Rent Expense Supplemental,364000000.0,338000000.0,408000000.0,395000000.0
Total Expenses,7382000000.0,6221000000.0,7063000000.0,7477000000.0
Net Income From Continuing And Discontinued Operation,3781000000.0,2765000000.0,3331000000.0,3309000000.0
Normalized Income,3434144000.0,2801576000.0,3331000000.0,3309000000.0
Interest Income,7000000.0,17000000.0,48000000.0,32000000.0
Interest Expense,722000000.0,754000000.0,737000000.0,639000000.0
Net Interest Income,-715000000.0,-737000000.0,-689000000.0,-607000000.0
EBIT,5673000000.0,4381000000.0,5053000000.0,4943000000.0
Reconciled Cost Of Revenue,7382000000.0,6221000000.0,7063000000.0,7477000000.0
Reconciled Depreciation,1420000000.0,1383000000.0,1349000000.0,1331000000.0
Net Income From Continuing Operation Net Minority Interest,3781000000.0,2765000000.0,3331000000.0,3309000000.0
Total Unusual Items Excluding Goodwill,454000000.0,-48000000.0,0.0,0.0
Total Unusual Items,454000000.0,-48000000.0,0.0,0.0
Normalized EBITDA,6639000000.0,5812000000.0,6402000000.0,6274000000.0
Tax Rate For Calcs,0.236,0.238,0.228,0.231
Tax Effect Of Unusual Items,107144000.0,-11424000.0,0.0,0.0
