,2022-10-31,2021-10-31,2020-10-31,2019-10-31
Total Revenue,51854000000.0,43582000000.0,35259000000.0,38941000000.0
Operating Revenue,51282000000.0,43033000000.0,34722000000.0,38379000000.0
Cost Of Revenue,36614000000.0,30311000000.0,25112000000.0,28486000000.0
Gross Profit,15240000000.0,13271000000.0,10147000000.0,10455000000.0
Operating Expense,6393000000.0,5775000000.0,6290000000.0,6392000000.0
Selling General And Administration,3912000000.0,3435000000.0,3677000000.0,3694000000.0
General And Administrative Expense,3912000000.0,3435000000.0,3677000000.0,3694000000.0
Salaries And Wages,-218000000.0,-183000000.0,-31000000.0,-67000000.0
Insurance And Claims,267000000.0,235000000.0,231000000.0,210000000.0
Other Gand A,3863000000.0,3383000000.0,3477000000.0,3551000000.0
Research And Development,1912000000.0,1587000000.0,1644000000.0,1783000000.0
Depreciation Amortization Depletion Income Statement,827000000.0,983000000.0,1083000000.0,981000000.0
Depreciation And Amortization In Income Statement,827000000.0,983000000.0,1083000000.0,981000000.0
Depreciation Income Statement,827000000.0,983000000.0,1083000000.0,981000000.0
Other Operating Expenses,-258000000.0,-230000000.0,-114000000.0,-66000000.0
Operating Income,8847000000.0,7496000000.0,3857000000.0,4063000000.0
Other Income Expense,280000000.0,106000000.0,26000000.0,25000000.0
Gain On Sale Of Security,208000000.0,41000000.0,26000000.0,25000000.0
Special Income Charges,72000000.0,65000000.0,,
Gain On Sale Of Ppe,72000000.0,65000000.0,,
Pretax Income,9127000000.0,7602000000.0,3883000000.0,4088000000.0
Tax Provision,2007000000.0,1658000000.0,1082000000.0,852000000.0
Earnings From Equity Interest Net Of Tax,10000000.0,21000000.0,-48000000.0,21000000.0
Net Income Common Stockholders,7131000000.0,5963000000.0,2751000000.0,3253000000.0
Net Income,7131000000.0,5963000000.0,2751000000.0,3253000000.0
Net Income Including Noncontrolling Interests,7130000000.0,5965000000.0,2753000000.0,3257000000.0
Net Income Continuous Operations,7130000000.0,5965000000.0,2753000000.0,3257000000.0
Minority Interests,1000000.0,-2000000.0,-2000000.0,-4000000.0
Diluted NI Availto Com Stockholders,7131000000.0,5963000000.0,2751000000.0,3253000000.0
Basic EPS,23.42,19.14,8.77,10.28
Diluted EPS,23.28,18.99,8.69,10.15
Basic Average Shares,304500000.0,311600000.0,313500000.0,316500000.0
Diluted Average Shares,306300000.0,314000000.0,316600000.0,320600000.0
Total Expenses,43007000000.0,36086000000.0,31402000000.0,34878000000.0
Net Income From Continuing And Discontinued Operation,7131000000.0,5963000000.0,2751000000.0,3253000000.0
Normalized Income,6912571162.484935,5880118652.986056,2732244913.7265,3233210371.819961
EBIT,8847000000.0,7496000000.0,3857000000.0,4063000000.0
Reconciled Cost Of Revenue,35546000000.0,29244000000.0,24077000000.0,27448000000.0
Reconciled Depreciation,1895000000.0,2050000000.0,2118000000.0,2019000000.0
Net Income From Continuing Operation Net Minority Interest,7131000000.0,5963000000.0,2751000000.0,3253000000.0
Total Unusual Items Excluding Goodwill,280000000.0,106000000.0,26000000.0,25000000.0
Total Unusual Items,280000000.0,106000000.0,26000000.0,25000000.0
Normalized EBITDA,10462000000.0,9440000000.0,5949000000.0,6057000000.0
Tax Rate For Calcs,0.219897,0.2181,0.278651,0.208415
Tax Effect Of Unusual Items,61571162.484935,23118652.986056,7244913.7265,5210371.819961
