,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,17881106000.0,15493435000.0,12807684000.0,13621302000.0
Operating Revenue,17881106000.0,15493435000.0,12807684000.0,13621302000.0
Cost Of Revenue,11738283000.0,10033728000.0,9504751000.0,10036056000.0
Gross Profit,6142823000.0,5459707000.0,3302933000.0,3585246000.0
Operating Expense,2939788000.0,2520674000.0,1424057000.0,1437625000.0
Selling General And Administration,2214936000.0,1806122000.0,793480000.0,725601000.0
General And Administrative Expense,,,793480000.0,725601000.0
Other Gand A,,,793480000.0,725601000.0
Depreciation Amortization Depletion Income Statement,724852000.0,714552000.0,630577000.0,712024000.0
Depreciation And Amortization In Income Statement,724852000.0,714552000.0,630577000.0,712024000.0
Depreciation Income Statement,560542000.0,621681000.0,,
Amortization,164310000.0,92871000.0,,
Amortization Of Intangibles Income Statement,164310000.0,92871000.0,,
Operating Income,3203035000.0,2939033000.0,1878876000.0,2147621000.0
Net Non Operating Interest Income Expense,-4836000.0,9760000.0,53527000.0,29753000.0
Interest Income Non Operating,11338000.0,22734000.0,77214000.0,44759000.0
Interest Expense Non Operating,16174000.0,12974000.0,23687000.0,15006000.0
Other Income Expense,20557000.0,-376582000.0,11524000.0,11801000.0
Gain On Sale Of Security,-16137000.0,-21822000.0,4604000.0,8165000.0
Earnings From Equity Interest,-1051000.0,410000.0,-3714000.0,-2110000.0
Special Income Charges,-3587000.0,-356418000.0,-483000.0,3743000.0
Impairment Of Capital Assets,0.0,356418000.0,0.0,0.0
Other Special Charges,3587000.0,,483000.0,3261000.0
Gain On Sale Of Business,,0.0,,7004000.0
Other Non Operating Income Expenses,41332000.0,1248000.0,11117000.0,2003000.0
Pretax Income,3218756000.0,2572211000.0,1943927000.0,2189175000.0
Tax Provision,762810000.0,698275000.0,451358000.0,533684000.0
Net Income Common Stockholders,2410642000.0,1762673000.0,1399512000.0,1575091000.0
Net Income,2410642000.0,1762673000.0,1399512000.0,1575091000.0
Net Income Including Noncontrolling Interests,2455946000.0,1873936000.0,1492569000.0,1655491000.0
Net Income Continuous Operations,2455946000.0,1873936000.0,1492569000.0,1655491000.0
Minority Interests,-45304000.0,-111263000.0,-93057000.0,-80400000.0
Average Dilution Earnings,0.0,0.0,,0.0
Diluted NI Availto Com Stockholders,2410642000.0,1762673000.0,1399512000.0,1575091000.0
Basic EPS,4.57,3.36,2.92,3.356748
Diluted EPS,3.79,3.02,2.6,2.988203
Basic Average Shares,527844000.0,524761000.0,479657000.0,469195097.0
Diluted Average Shares,636063000.0,584360000.0,537964000.0,527907984.0
Total Operating Income As Reported,3203035000.0,2582615000.0,1878876000.0,2147621000.0
Total Expenses,14678071000.0,12554402000.0,10928808000.0,11473681000.0
Net Income From Continuing And Discontinued Operation,2410642000.0,1762673000.0,1399512000.0,1575091000.0
Normalized Income,2425691412.0,2038409960.0,1396347849.88068,1566088552.0
Interest Income,11338000.0,22734000.0,77214000.0,44759000.0
Interest Expense,16174000.0,12974000.0,23687000.0,15006000.0
Net Interest Income,-4836000.0,9760000.0,53527000.0,29753000.0
EBIT,3234930000.0,2585185000.0,1967614000.0,2204181000.0
Reconciled Cost Of Revenue,11738283000.0,10033728000.0,9504751000.0,10036056000.0
Reconciled Depreciation,724852000.0,714552000.0,630577000.0,712024000.0
Net Income From Continuing Operation Net Minority Interest,2410642000.0,1762673000.0,1399512000.0,1575091000.0
Total Unusual Items Excluding Goodwill,-19724000.0,-378240000.0,4121000.0,11908000.0
Total Unusual Items,-19724000.0,-378240000.0,4121000.0,11908000.0
Normalized EBITDA,3979506000.0,3677977000.0,2594070000.0,2904297000.0
Tax Rate For Calcs,0.237,0.271,0.232189,0.244
Tax Effect Of Unusual Items,-4674588.0,-102503040.0,956849.88068,2905552.0
