,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,54968000000.0,38542000000.0,42951000000.0,60278000000.0
Operating Revenue,54968000000.0,38542000000.0,42951000000.0,60278000000.0
Cost Of Revenue,44191000000.0,33346000000.0,36657000000.0,47705000000.0
Gross Profit,10777000000.0,5196000000.0,6294000000.0,12573000000.0
Operating Expense,2890000000.0,2640000000.0,2774000000.0,5004000000.0
Selling General And Administration,1645000000.0,1471000000.0,1590000000.0,2846000000.0
General And Administrative Expense,1645000000.0,1471000000.0,1590000000.0,2846000000.0
Insurance And Claims,,,,0.0
Other Gand A,1645000000.0,1471000000.0,1590000000.0,2846000000.0
Research And Development,857000000.0,768000000.0,765000000.0,1536000000.0
Depreciation Amortization Depletion Income Statement,388000000.0,401000000.0,419000000.0,622000000.0
Depreciation And Amortization In Income Statement,388000000.0,401000000.0,419000000.0,622000000.0
Amortization,388000000.0,401000000.0,419000000.0,622000000.0
Amortization Of Intangibles Income Statement,388000000.0,401000000.0,419000000.0,622000000.0
Operating Income,7887000000.0,2556000000.0,3520000000.0,7569000000.0
Net Non Operating Interest Income Expense,-676000000.0,-789000000.0,-852000000.0,-1009000000.0
Interest Income Non Operating,55000000.0,38000000.0,81000000.0,109000000.0
Interest Expense Non Operating,731000000.0,827000000.0,933000000.0,1118000000.0
Other Income Expense,934000000.0,304000000.0,-3915000000.0,-642000000.0
Gain On Sale Of Security,-8000000.0,-62000000.0,,-115000000.0
Earnings From Equity Interest,975000000.0,-18000000.0,-94000000.0,950000000.0
Special Income Charges,-405000000.0,-331000000.0,-4282000000.0,-1700000000.0
Restructuring And Mergern Acquisition,6000000.0,947000000.0,4282000000.0,1711000000.0
Other Special Charges,520000000.0,149000000.0,,54000000.0
Gain On Sale Of Business,16000000.0,717000000.0,,6000000.0
Gain On Sale Of Ppe,105000000.0,48000000.0,,59000000.0
Other Non Operating Income Expenses,372000000.0,715000000.0,461000000.0,223000000.0
Pretax Income,8145000000.0,2071000000.0,-1247000000.0,5918000000.0
Tax Provision,1740000000.0,777000000.0,470000000.0,1285000000.0
Net Income Common Stockholders,6279000000.0,1225000000.0,-1359000000.0,4499000000.0
Net Income,6311000000.0,1225000000.0,-1359000000.0,4499000000.0
Net Income Including Noncontrolling Interests,6405000000.0,1294000000.0,-1272000000.0,4633000000.0
Net Income Continuous Operations,6405000000.0,1294000000.0,-1717000000.0,4633000000.0
Net Income Discontinuous Operations,0.0,0.0,445000000.0,
Minority Interests,-94000000.0,-69000000.0,-87000000.0,-134000000.0
Otherunder Preferred Stock Dividend,32000000.0,,,
Diluted NI Availto Com Stockholders,6279000000.0,1225000000.0,-1359000000.0,4499000000.0
Basic EPS,8.44,1.64,-1.84,5.999
Diluted EPS,8.38,1.64,-1.84,5.999
Basic Average Shares,743600000.0,740500000.0,742500000.0,750000000.0
Diluted Average Shares,749000000.0,742300000.0,742500000.0,750000000.0
Total Expenses,47081000000.0,35986000000.0,39431000000.0,52709000000.0
Net Income From Continuing And Discontinued Operation,6311000000.0,1225000000.0,-1359000000.0,4499000000.0
Normalized Income,6635618000.0,1470625000.0,1321860000.0,5919901486.988848
Interest Income,55000000.0,38000000.0,81000000.0,109000000.0
Interest Expense,731000000.0,827000000.0,933000000.0,1118000000.0
Net Interest Income,-676000000.0,-789000000.0,-852000000.0,-1009000000.0
EBIT,8876000000.0,2898000000.0,-314000000.0,7036000000.0
Reconciled Cost Of Revenue,41737000000.0,30873000000.0,34138000000.0,44998000000.0
Reconciled Depreciation,2842000000.0,2874000000.0,2938000000.0,3329000000.0
Net Income From Continuing Operation Net Minority Interest,6311000000.0,1225000000.0,-1804000000.0,4499000000.0
Total Unusual Items Excluding Goodwill,-413000000.0,-393000000.0,-4282000000.0,-1815000000.0
Total Unusual Items,-413000000.0,-393000000.0,-4282000000.0,-1815000000.0
Normalized EBITDA,12131000000.0,6165000000.0,6906000000.0,12180000000.0
Tax Rate For Calcs,0.214,0.375,0.27,0.217134
Tax Effect Of Unusual Items,-88382000.0,-147375000.0,-1156140000.0,-394098513.011152
