,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total Revenue,17737000000.0,16215000000.0,14294000000.0,14863000000.0
Operating Revenue,17737000000.0,16215000000.0,14294000000.0,14863000000.0
Cost Of Revenue,4305000000.0,3834000000.0,3552000000.0,3387000000.0
Gross Profit,13432000000.0,12381000000.0,10742000000.0,11476000000.0
Operating Expense,9888000000.0,9371000000.0,8637000000.0,8857000000.0
Selling General And Administration,9888000000.0,9371000000.0,8637000000.0,8857000000.0
Operating Income,3544000000.0,3010000000.0,2105000000.0,2619000000.0
Net Non Operating Interest Income Expense,-137000000.0,-122000000.0,-113000000.0,-75000000.0
Interest Income Non Operating,30000000.0,51000000.0,48000000.0,58000000.0
Interest Expense Non Operating,167000000.0,173000000.0,161000000.0,133000000.0
Other Income Expense,-371000000.0,443000000.0,-946000000.0,-237000000.0
Special Income Charges,-374000000.0,-392000000.0,-1499000000.0,-306000000.0
Restructuring And Mergern Acquisition,133000000.0,204000000.0,73000000.0,216000000.0
Impairment Of Capital Assets,241000000.0,188000000.0,1426000000.0,90000000.0
Other Non Operating Income Expenses,3000000.0,835000000.0,553000000.0,69000000.0
Pretax Income,3036000000.0,3331000000.0,1046000000.0,2307000000.0
Tax Provision,628000000.0,456000000.0,350000000.0,513000000.0
Net Income Common Stockholders,2390000000.0,2870000000.0,684000000.0,1785000000.0
Net Income,2390000000.0,2870000000.0,684000000.0,1785000000.0
Net Income Including Noncontrolling Interests,2408000000.0,2875000000.0,696000000.0,1794000000.0
Net Income Continuous Operations,2408000000.0,2875000000.0,696000000.0,1794000000.0
Minority Interests,-18000000.0,-5000000.0,-12000000.0,-9000000.0
Diluted NI Availto Com Stockholders,2390000000.0,2870000000.0,684000000.0,1785000000.0
Basic EPS,6.64,7.91,1.9,4.91
Diluted EPS,6.55,7.79,1.86,4.82
Basic Average Shares,360000000.0,362900000.0,360600000.0,363500000.0
Diluted Average Shares,364900000.0,368200000.0,366900000.0,370400000.0
Total Operating Income As Reported,3170000000.0,2618000000.0,606000000.0,2313000000.0
Total Expenses,14193000000.0,13205000000.0,12189000000.0,12244000000.0
Net Income From Continuing And Discontinued Operation,2390000000.0,2870000000.0,684000000.0,1785000000.0
Normalized Income,2686582000.0,3208296000.0,1680835000.0,2023068000.0
Interest Income,30000000.0,51000000.0,48000000.0,58000000.0
Interest Expense,167000000.0,173000000.0,161000000.0,133000000.0
Net Interest Income,-137000000.0,-122000000.0,-113000000.0,-75000000.0
EBIT,3203000000.0,3504000000.0,1207000000.0,2440000000.0
Reconciled Cost Of Revenue,4305000000.0,3834000000.0,3552000000.0,3387000000.0
Reconciled Depreciation,727000000.0,651000000.0,611000000.0,557000000.0
Net Income From Continuing Operation Net Minority Interest,2390000000.0,2870000000.0,684000000.0,1785000000.0
Total Unusual Items Excluding Goodwill,-374000000.0,-392000000.0,-1499000000.0,-306000000.0
Total Unusual Items,-374000000.0,-392000000.0,-1499000000.0,-306000000.0
Normalized EBITDA,4304000000.0,4547000000.0,3317000000.0,3303000000.0
Tax Rate For Calcs,0.207,0.137,0.335,0.222
Tax Effect Of Unusual Items,-77418000.0,-53704000.0,-502165000.0,-67932000.0
