,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,3758144000.0,2659478000.0,2293798000.0,1842912000.0
Operating Revenue,3758144000.0,2659478000.0,2293798000.0,1842912000.0
Cost Of Revenue,2483697000.0,1732522000.0,1488198000.0,1186921000.0
Gross Profit,1274447000.0,926956000.0,805600000.0,655991000.0
Operating Expense,732131000.0,547632000.0,502750000.0,410227000.0
Selling General And Administration,648736000.0,484758000.0,457433000.0,373587000.0
Depreciation Amortization Depletion Income Statement,83395000.0,62874000.0,45317000.0,36640000.0
Depreciation And Amortization In Income Statement,83395000.0,62874000.0,45317000.0,36640000.0
Operating Income,542316000.0,379324000.0,302850000.0,245764000.0
Net Non Operating Interest Income Expense,-1727000.0,3822000.0,8725000.0,3522000.0
Interest Income Non Operating,,3822000.0,,
Interest Expense Non Operating,1727000.0,,,
Total Other Finance Cost,1727000.0,-3822000.0,-8725000.0,-3522000.0
Other Income Expense,-7197000.0,-4667000.0,-12049000.0,487000.0
Gain On Sale Of Security,-7197000.0,-4667000.0,-12049000.0,487000.0
Pretax Income,533392000.0,378479000.0,299526000.0,249773000.0
Tax Provision,51740000.0,51319000.0,38469000.0,9517000.0
Net Income Common Stockholders,481652000.0,327160000.0,261057000.0,240256000.0
Net Income,481652000.0,327160000.0,261057000.0,240256000.0
Net Income Including Noncontrolling Interests,481652000.0,327160000.0,261057000.0,240256000.0
Net Income Continuous Operations,481652000.0,327160000.0,261057000.0,240256000.0
Diluted NI Availto Com Stockholders,481652000.0,327160000.0,261057000.0,240256000.0
Basic EPS,8.52,5.87,4.77,4.48
Diluted EPS,8.15,5.6,4.53,4.24
Basic Average Shares,56511000.0,55727000.0,54719000.0,53623000.0
Diluted Average Shares,59064000.0,58446000.0,57668000.0,56673000.0
Total Operating Income As Reported,542316000.0,379324000.0,302850000.0,245764000.0
Total Expenses,3215828000.0,2280154000.0,1990948000.0,1597148000.0
Net Income From Continuing And Discontinued Operation,481652000.0,327160000.0,261057000.0,240256000.0
Normalized Income,488150891.0,331192288.0,271563728.0,239787506.0
Interest Income,,3822000.0,,
Interest Expense,1727000.0,,,
Net Interest Income,-1727000.0,3822000.0,8725000.0,3522000.0
EBIT,542316000.0,379324000.0,302850000.0,245764000.0
Reconciled Cost Of Revenue,2421941000.0,1666153000.0,1432339000.0,1186921000.0
Reconciled Depreciation,145151000.0,129243000.0,101176000.0,36640000.0
Net Income From Continuing Operation Net Minority Interest,481652000.0,327160000.0,261057000.0,240256000.0
Total Unusual Items Excluding Goodwill,-7197000.0,-4667000.0,-12049000.0,487000.0
Total Unusual Items,-7197000.0,-4667000.0,-12049000.0,487000.0
Normalized EBITDA,694664000.0,513234000.0,416075000.0,281917000.0
Tax Rate For Calcs,0.097,0.136,0.128,0.038
Tax Effect Of Unusual Items,-698109.0,-634712.0,-1542272.0,18506.0
