,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,36347000000.0,33039000000.0,34438000000.0,35985000000.0
Operating Revenue,36347000000.0,33039000000.0,34438000000.0,35985000000.0
Cost Of Revenue,26023000000.0,23512000000.0,24112000000.0,26007000000.0
Gross Profit,10324000000.0,9527000000.0,10326000000.0,9978000000.0
Operating Expense,7802000000.0,6728000000.0,5984000000.0,6136000000.0
Depreciation Amortization Depletion Income Statement,6036000000.0,5014000000.0,4252000000.0,4353000000.0
Depreciation And Amortization In Income Statement,6036000000.0,5014000000.0,4252000000.0,4353000000.0
Other Taxes,1766000000.0,1714000000.0,1732000000.0,1783000000.0
Operating Income,2522000000.0,2799000000.0,4342000000.0,3842000000.0
Net Non Operating Interest Income Expense,-1571000000.0,-1635000000.0,-1616000000.0,-1554000000.0
Interest Expense Non Operating,1571000000.0,1635000000.0,1616000000.0,1554000000.0
Total Other Finance Cost,,,1616000000.0,1554000000.0
Other Income Expense,1257000000.0,1169000000.0,1259000000.0,-56000000.0
Special Income Charges,201000000.0,24000000.0,32000000.0,56000000.0
Restructuring And Mergern Acquisition,,,0.0,0.0
Impairment Of Capital Assets,,,0.0,0.0
Gain On Sale Of Business,0.0,0.0,1000000.0,0.0
Gain On Sale Of Ppe,201000000.0,24000000.0,31000000.0,56000000.0
Other Non Operating Income Expenses,1056000000.0,1145000000.0,1227000000.0,-112000000.0
Pretax Income,2208000000.0,2333000000.0,3985000000.0,2232000000.0
Tax Provision,370000000.0,373000000.0,774000000.0,120000000.0
Earnings From Equity Interest Net Of Tax,-9000000.0,-6000000.0,-183000000.0,-28000000.0
Net Income Common Stockholders,1706000000.0,1963000000.0,2936000000.0,2010000000.0
Net Income,1706000000.0,1963000000.0,2936000000.0,2010000000.0
Net Income Including Noncontrolling Interests,1829000000.0,1954000000.0,3028000000.0,2084000000.0
Net Income Continuous Operations,1829000000.0,1954000000.0,3028000000.0,2084000000.0
Net Income Discontinuous Operations,213000000.0,,,
Minority Interests,-123000000.0,9000000.0,-92000000.0,-74000000.0
Diluted NI Availto Com Stockholders,1706000000.0,1963000000.0,2936000000.0,2010000000.0
Basic EPS,1.74,2.01,3.02,2.08
Diluted EPS,1.74,2.01,3.01,2.07
Basic Average Shares,979000000.0,976000000.0,973000000.0,967000000.0
Diluted Average Shares,980000000.0,977000000.0,974000000.0,969000000.0
Total Operating Income As Reported,2723000000.0,2823000000.0,4374000000.0,3898000000.0
Total Expenses,33825000000.0,30240000000.0,30096000000.0,32143000000.0
Net Income From Continuing And Discontinued Operation,1706000000.0,1963000000.0,2936000000.0,2010000000.0
Normalized Income,1509623000.0,1942837119.588513,2910215307.40276,1957010752.688172
Interest Expense,1571000000.0,1635000000.0,1616000000.0,1554000000.0
Net Interest Income,-1571000000.0,-1635000000.0,-1616000000.0,-1554000000.0
EBIT,3779000000.0,3968000000.0,5601000000.0,3786000000.0
Reconciled Cost Of Revenue,24486000000.0,21999000000.0,22584000000.0,24389000000.0
Reconciled Depreciation,7573000000.0,6527000000.0,5780000000.0,5971000000.0
Net Income From Continuing Operation Net Minority Interest,1706000000.0,1963000000.0,2936000000.0,2010000000.0
Total Unusual Items Excluding Goodwill,201000000.0,24000000.0,32000000.0,56000000.0
Total Unusual Items,201000000.0,24000000.0,32000000.0,56000000.0
Normalized EBITDA,11151000000.0,10471000000.0,11349000000.0,9701000000.0
Tax Rate For Calcs,0.023,0.15988,0.194228,0.053763
Tax Effect Of Unusual Items,4623000.0,3837119.588513,6215307.40276,3010752.688172
