,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,951224000.0,835494000.0,935788000.0,915436000.0
Operating Revenue,951224000.0,835494000.0,935788000.0,898847000.0
Cost Of Revenue,316617000.0,290162000.0,298758000.0,287870000.0
Gross Profit,634607000.0,545332000.0,637030000.0,627566000.0
Operating Expense,329832000.0,296707000.0,282512000.0,277845000.0
Selling General And Administration,49856000.0,41680000.0,42754000.0,33600000.0
General And Administrative Expense,49856000.0,41680000.0,42754000.0,33600000.0
Other Gand A,49856000.0,41680000.0,42754000.0,33600000.0
Depreciation Amortization Depletion Income Statement,279976000.0,255027000.0,239758000.0,244245000.0
Depreciation And Amortization In Income Statement,279976000.0,255027000.0,239758000.0,244245000.0
Operating Income,304775000.0,248625000.0,354518000.0,349721000.0
Net Non Operating Interest Income Expense,-126889000.0,-134395000.0,-108357000.0,-109212000.0
Interest Income Non Operating,809000.0,1894000.0,1266000.0,942000.0
Interest Expense Non Operating,127698000.0,136289000.0,109623000.0,110154000.0
Other Income Expense,91195000.0,21658000.0,114381000.0,-3398000.0
Gain On Sale Of Security,89950000.0,98117000.0,116393000.0,
Earnings From Equity Interest,1245000.0,-8062000.0,-2012000.0,-3398000.0
Special Income Charges,0.0,-68397000.0,0.0,0.0
Impairment Of Capital Assets,0.0,57218000.0,,
Other Special Charges,,11179000.0,,
Pretax Income,269081000.0,135888000.0,360542000.0,237111000.0
Net Income Common Stockholders,252245000.0,122672000.0,344817000.0,232935000.0
Net Income,261498000.0,131706000.0,353866000.0,241907000.0
Net Income Including Noncontrolling Interests,269081000.0,135888000.0,360542000.0,249026000.0
Net Income Continuous Operations,269081000.0,135888000.0,360542000.0,237111000.0
Net Income Discontinuous Operations,,,,11915000.0
Minority Interests,-7583000.0,-4182000.0,-6676000.0,-7119000.0
Preferred Stock Dividends,8042000.0,8042000.0,8042000.0,8042000.0
Otherunder Preferred Stock Dividend,1211000.0,992000.0,1007000.0,930000.0
Diluted NI Availto Com Stockholders,252245000.0,122672000.0,344817000.0,232935000.0
Basic EPS,3.26,1.62,4.61,3.18
Diluted EPS,3.26,1.62,4.61,3.18
Basic Average Shares,77336000.0,75515000.0,74766000.0,73274000.0
Diluted Average Shares,77368000.0,75515000.0,74766000.0,73302000.0
Total Operating Income As Reported,394725000.0,289524000.0,470911000.0,349721000.0
Total Expenses,646449000.0,586869000.0,581270000.0,565715000.0
Net Income From Continuing And Discontinued Operation,261498000.0,131706000.0,353866000.0,241907000.0
Normalized Income,195834500.0,110010400.0,268899110.0,229992000.0
Interest Income,809000.0,1894000.0,1266000.0,942000.0
Interest Expense,127698000.0,136289000.0,109623000.0,110154000.0
Net Interest Income,-126889000.0,-134395000.0,-108357000.0,-109212000.0
EBIT,396779000.0,272177000.0,470165000.0,347265000.0
Reconciled Cost Of Revenue,316617000.0,290162000.0,298758000.0,287870000.0
Reconciled Depreciation,279976000.0,255027000.0,239758000.0,244245000.0
Net Income From Continuing Operation Net Minority Interest,261498000.0,131706000.0,353866000.0,229992000.0
Total Unusual Items Excluding Goodwill,89950000.0,29720000.0,116393000.0,0.0
Total Unusual Items,89950000.0,29720000.0,116393000.0,0.0
Normalized EBITDA,586805000.0,497484000.0,593530000.0,591510000.0
Tax Rate For Calcs,0.27,0.27,0.27,0.27
Tax Effect Of Unusual Items,24286500.0,8024400.0,31426110.0,0.0
