,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,27305000000.0,24689000000.0,22449000000.0,22127000000.0
Operating Revenue,27305000000.0,24689000000.0,22449000000.0,22127000000.0
Cost Of Revenue,6601000000.0,4572000000.0,4675000000.0,4853000000.0
Gross Profit,20704000000.0,20117000000.0,17774000000.0,17274000000.0
Operating Expense,10609000000.0,10190000000.0,13487000000.0,9074000000.0
Selling General And Administration,5246000000.0,5151000000.0,4381000000.0,4056000000.0
Research And Development,5363000000.0,5039000000.0,9106000000.0,5018000000.0
Operating Income,10095000000.0,9927000000.0,4287000000.0,8200000000.0
Net Non Operating Interest Income Expense,-1001000000.0,-984000000.0,-995000000.0,-1077000000.0
Interest Expense Non Operating,1001000000.0,984000000.0,995000000.0,1077000000.0
Other Income Expense,-816000000.0,-7274000000.0,1868000000.0,676000000.0
Special Income Charges,-177000000.0,-5856000000.0,,
Other Special Charges,177000000.0,5856000000.0,,
Other Non Operating Income Expenses,-639000000.0,-1418000000.0,1868000000.0,676000000.0
Pretax Income,8278000000.0,1669000000.0,5160000000.0,7799000000.0
Tax Provision,2077000000.0,1580000000.0,-204000000.0,2339000000.0
Net Income Common Stockholders,6225000000.0,123000000.0,5386000000.0,5455000000.0
Net Income,6225000000.0,123000000.0,5386000000.0,5455000000.0
Net Income Including Noncontrolling Interests,6201000000.0,89000000.0,5364000000.0,5460000000.0
Net Income Continuous Operations,6201000000.0,89000000.0,5364000000.0,5460000000.0
Minority Interests,24000000.0,34000000.0,22000000.0,-5000000.0
Diluted NI Availto Com Stockholders,6225000000.0,123000000.0,5386000000.0,5455000000.0
Basic EPS,4.96,0.1,4.24,4.2
Diluted EPS,4.93,0.1,4.22,4.17
Basic Average Shares,1256000000.0,1257000000.0,1270000000.0,1298000000.0
Diluted Average Shares,1262000000.0,1263000000.0,1277000000.0,1308000000.0
Total Operating Income As Reported,9918000000.0,4071000000.0,4287000000.0,8200000000.0
Total Expenses,17210000000.0,14762000000.0,18162000000.0,13927000000.0
Net Income From Continuing And Discontinued Operation,6225000000.0,123000000.0,5386000000.0,5455000000.0
Normalized Income,6357573000.0,4397880000.0,5386000000.0,5455000000.0
Interest Expense,1001000000.0,984000000.0,995000000.0,1077000000.0
Net Interest Income,-1001000000.0,-984000000.0,-995000000.0,-1077000000.0
EBIT,9279000000.0,2653000000.0,6155000000.0,8876000000.0
Reconciled Cost Of Revenue,6601000000.0,4572000000.0,4675000000.0,4853000000.0
Reconciled Depreciation,2050000000.0,1480000000.0,1404000000.0,1429000000.0
Net Income From Continuing Operation Net Minority Interest,6225000000.0,123000000.0,5386000000.0,5455000000.0
Total Unusual Items Excluding Goodwill,-177000000.0,-5856000000.0,,
Total Unusual Items,-177000000.0,-5856000000.0,,
Normalized EBITDA,11506000000.0,9989000000.0,7559000000.0,10305000000.0
Tax Rate For Calcs,0.251,0.27,0.27,0.3
Tax Effect Of Unusual Items,-44427000.0,-1581120000.0,0.0,0.0
