,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,5991000000.0,4815000000.0,4667000000.0,4510000000.0
Operating Revenue,5991000000.0,4815000000.0,4667000000.0,4510000000.0
Selling General And Administration,2293000000.0,1762000000.0,1725000000.0,1675000000.0
General And Administrative Expense,2209000000.0,1724000000.0,1688000000.0,1622000000.0
Salaries And Wages,2158000000.0,1692000000.0,1654000000.0,1559000000.0
Insurance And Claims,51000000.0,32000000.0,34000000.0,63000000.0
Other Gand A,850000000.0,384000000.0,346000000.0,294000000.0
Selling And Marketing Expense,84000000.0,38000000.0,37000000.0,53000000.0
Depreciation Amortization Depletion Income Statement,89000000.0,41000000.0,49000000.0,53000000.0
Depreciation And Amortization In Income Statement,89000000.0,41000000.0,49000000.0,53000000.0
Depreciation Income Statement,41000000.0,,,
Amortization,48000000.0,41000000.0,49000000.0,53000000.0
Amortization Of Intangibles Income Statement,48000000.0,41000000.0,49000000.0,53000000.0
Gain On Sale Of Security,9000000.0,-1000000.0,-24000000.0,-21000000.0
Special Income Charges,-701000000.0,,,
Restructuring And Mergern Acquisition,701000000.0,,,
Pretax Income,1591000000.0,972000000.0,1659000000.0,1628000000.0
Tax Provision,294000000.0,155000000.0,248000000.0,235000000.0
Net Income Common Stockholders,1153000000.0,717000000.0,1337000000.0,1323000000.0
Net Income,1295000000.0,817000000.0,1411000000.0,1393000000.0
Net Income Including Noncontrolling Interests,1297000000.0,817000000.0,1411000000.0,1393000000.0
Net Income Continuous Operations,1297000000.0,817000000.0,1411000000.0,1393000000.0
Minority Interests,-2000000.0,,,
Preferred Stock Dividends,131000000.0,100000000.0,74000000.0,70000000.0
Otherunder Preferred Stock Dividend,11000000.0,,,
Average Dilution Earnings,,,0.0,
Diluted NI Availto Com Stockholders,1153000000.0,717000000.0,1337000000.0,1323000000.0
Basic EPS,0.91,0.71,1.29,1.22
Diluted EPS,0.9,0.69,1.27,1.2
Basic Average Shares,1262000000.0,1017000000.0,1038840000.0,1046767252.0
Diluted Average Shares,1287000000.0,1033000000.0,1056079000.0,1046767252.0
Net Income From Continuing And Discontinued Operation,1295000000.0,817000000.0,1411000000.0,1393000000.0
Normalized Income,1866315000.0,817000000.0,1411000000.0,1393000000.0
Interest Income,4191000000.0,3647000000.0,4201000000.0,3949000000.0
Interest Expense,89000000.0,423000000.0,988000000.0,760000000.0
Net Interest Income,4102000000.0,3224000000.0,3213000000.0,3189000000.0
Reconciled Depreciation,391000000.0,367000000.0,386000000.0,493000000.0
Net Income From Continuing Operation Net Minority Interest,1295000000.0,817000000.0,1411000000.0,1393000000.0
Total Unusual Items Excluding Goodwill,-701000000.0,,,
Total Unusual Items,-701000000.0,,,
Tax Rate For Calcs,0.185,0.159,0.15,0.145
Tax Effect Of Unusual Items,-129685000.0,0.0,0.0,0.0
