,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,58752000000.0,51533000000.0,51336000000.0,46677000000.0
Operating Revenue,55916000000.0,51533000000.0,51336000000.0,46677000000.0
Cost Of Revenue,9481000000.0,8369000000.0,8481000000.0,7724000000.0
Gross Profit,49271000000.0,43164000000.0,42855000000.0,38953000000.0
Operating Expense,39593000000.0,35902000000.0,35637000000.0,32311000000.0
Selling General And Administration,26779000000.0,23874000000.0,23560000000.0,21425000000.0
General And Administrative Expense,26779000000.0,23874000000.0,23560000000.0,21425000000.0
Salaries And Wages,26779000000.0,23874000000.0,23560000000.0,21425000000.0
Depreciation Amortization Depletion Income Statement,2853000000.0,2721000000.0,2596000000.0,2278000000.0
Depreciation And Amortization In Income Statement,2853000000.0,2721000000.0,2596000000.0,2278000000.0
Other Operating Expenses,9961000000.0,9307000000.0,9481000000.0,8608000000.0
Operating Income,9678000000.0,7262000000.0,7218000000.0,6642000000.0
Net Non Operating Interest Income Expense,-1566000000.0,-1584000000.0,-1824000000.0,-1755000000.0
Interest Expense Non Operating,1566000000.0,1584000000.0,1824000000.0,1755000000.0
Other Income Expense,1721000000.0,-248000000.0,-150000000.0,448000000.0
Earnings From Equity Interest,113000000.0,54000000.0,43000000.0,29000000.0
Special Income Charges,1608000000.0,-302000000.0,-193000000.0,419000000.0
Other Special Charges,12000000.0,295000000.0,211000000.0,9000000.0
Gain On Sale Of Ppe,1620000000.0,-7000000.0,18000000.0,428000000.0
Pretax Income,9833000000.0,5430000000.0,5244000000.0,5335000000.0
Tax Provision,2112000000.0,1043000000.0,1099000000.0,946000000.0
Net Income Common Stockholders,6956000000.0,3754000000.0,3505000000.0,3787000000.0
Net Income,6956000000.0,3754000000.0,3505000000.0,3787000000.0
Net Income Including Noncontrolling Interests,7721000000.0,4387000000.0,4145000000.0,4389000000.0
Net Income Continuous Operations,7721000000.0,4387000000.0,4145000000.0,4389000000.0
Minority Interests,-765000000.0,-633000000.0,-640000000.0,-602000000.0
Diluted NI Availto Com Stockholders,6956000000.0,3754000000.0,3505000000.0,3787000000.0
Basic EPS,22.77096,11.059861,10.356169,11.044191
Diluted EPS,21.16,10.93,10.07,10.66
Basic Average Shares,305476800.0,339425600.0,338445600.0,342895200.0
Diluted Average Shares,328752000.0,343605000.0,348226000.0,355303000.0
Total Expenses,49074000000.0,44271000000.0,44118000000.0,40035000000.0
Net Income From Continuing And Discontinued Operation,6956000000.0,3754000000.0,3505000000.0,3787000000.0
Normalized Income,5693720000.0,3998016000.0,3657470000.0,3442163000.0
Interest Expense,1566000000.0,1584000000.0,1824000000.0,1755000000.0
Net Interest Income,-1566000000.0,-1584000000.0,-1824000000.0,-1755000000.0
EBIT,11399000000.0,7014000000.0,7068000000.0,7090000000.0
Reconciled Cost Of Revenue,9481000000.0,8369000000.0,8481000000.0,7724000000.0
Reconciled Depreciation,2853000000.0,2721000000.0,2596000000.0,2278000000.0
Net Income From Continuing Operation Net Minority Interest,6956000000.0,3754000000.0,3505000000.0,3787000000.0
Total Unusual Items Excluding Goodwill,1608000000.0,-302000000.0,-193000000.0,419000000.0
Total Unusual Items,1608000000.0,-302000000.0,-193000000.0,419000000.0
Normalized EBITDA,12644000000.0,10037000000.0,9857000000.0,8949000000.0
Tax Rate For Calcs,0.215,0.192,0.21,0.177
Tax Effect Of Unusual Items,345720000.0,-57984000.0,-40530000.0,74163000.0
