,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,21649000000.0,20320000000.0,20740000000.0,18955000000.0
Operating Revenue,21649000000.0,20320000000.0,20740000000.0,18955000000.0
Depreciation And Amortization In Income Statement,71000000.0,72000000.0,66000000.0,68000000.0
Amortization,71000000.0,72000000.0,66000000.0,68000000.0
Other Operating Expenses,-9000000.0,19000000.0,,
Net Non Operating Interest Income Expense,-234000000.0,-236000000.0,-259000000.0,-298000000.0
Interest Expense Non Operating,234000000.0,236000000.0,259000000.0,298000000.0
Other Income Expense,81000000.0,126000000.0,170000000.0,105000000.0
Special Income Charges,-1000000.0,-104000000.0,-90000000.0,-6000000.0
Restructuring And Mergern Acquisition,1000000.0,104000000.0,,
Other Special Charges,,,90000000.0,6000000.0
Pretax Income,2896000000.0,2120000000.0,2560000000.0,1753000000.0
Tax Provision,531000000.0,383000000.0,475000000.0,268000000.0
Net Income Common Stockholders,2344000000.0,1716000000.0,2064000000.0,1801000000.0
Net Income,2365000000.0,1737000000.0,2085000000.0,1807000000.0
Net Income Including Noncontrolling Interests,2365000000.0,1737000000.0,2085000000.0,1807000000.0
Net Income Continuous Operations,2365000000.0,1737000000.0,2085000000.0,1485000000.0
Net Income Discontinuous Operations,,0.0,0.0,322000000.0
Preferred Stock Dividends,21000000.0,21000000.0,21000000.0,6000000.0
Diluted NI Availto Com Stockholders,2344000000.0,1716000000.0,2064000000.0,1801000000.0
Basic EPS,6.998561,4.79,5.72,5.03
Diluted EPS,1.47,4.76,5.66,4.95
Basic Average Shares,334925984.0,358300000.0,360900000.0,358400000.0
Diluted Average Shares,334925984.0,360600000.0,364900000.0,364100000.0
Total Expenses,18753000000.0,18200000000.0,18180000000.0,17202000000.0
Net Income From Continuing And Discontinued Operation,2365000000.0,1737000000.0,2085000000.0,1807000000.0
Normalized Income,2365816643.646409,1822211320.754717,2158300781.25,1490082715.345123
Interest Expense,234000000.0,236000000.0,259000000.0,298000000.0
Net Interest Income,-234000000.0,-236000000.0,-259000000.0,-298000000.0
EBIT,3130000000.0,2356000000.0,2819000000.0,2051000000.0
Reconciled Depreciation,680000000.0,562000000.0,451000000.0,467000000.0
Net Income From Continuing Operation Net Minority Interest,2365000000.0,1737000000.0,2085000000.0,1485000000.0
Total Unusual Items Excluding Goodwill,-1000000.0,-104000000.0,-90000000.0,-6000000.0
Total Unusual Items,-1000000.0,-104000000.0,-90000000.0,-6000000.0
Tax Rate For Calcs,0.183356,0.18066,0.185547,0.152881
Tax Effect Of Unusual Items,-183356.353591,-18788679.245283,-16699218.75,-917284.654877
