,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,34392000000.0,32637000000.0,36709000000.0,41802000000.0
Operating Revenue,34392000000.0,32637000000.0,36709000000.0,41802000000.0
Cost Of Revenue,23394000000.0,22169000000.0,24339000000.0,29046000000.0
Gross Profit,10998000000.0,10468000000.0,12370000000.0,12756000000.0
Operating Expense,4798000000.0,4772000000.0,5519000000.0,6051000000.0
Selling General And Administration,4798000000.0,4772000000.0,5519000000.0,6051000000.0
Operating Income,6200000000.0,5696000000.0,6851000000.0,6705000000.0
Net Non Operating Interest Income Expense,-241000000.0,-252000000.0,-102000000.0,-150000000.0
Interest Income Non Operating,102000000.0,107000000.0,255000000.0,217000000.0
Interest Expense Non Operating,343000000.0,359000000.0,357000000.0,367000000.0
Other Income Expense,1276000000.0,568000000.0,810000000.0,932000000.0
Gain On Sale Of Security,-25000000.0,68000000.0,120000000.0,63000000.0
Earnings From Equity Interest,67000000.0,66000000.0,52000000.0,50000000.0
Special Income Charges,-58000000.0,-3000000.0,-1000000.0,-321000000.0
Other Special Charges,160000000.0,,,
Gain On Sale Of Business,102000000.0,-3000000.0,-1000000.0,-321000000.0
Other Non Operating Income Expenses,1292000000.0,437000000.0,639000000.0,1140000000.0
Pretax Income,7235000000.0,6012000000.0,7559000000.0,7487000000.0
Tax Provision,1625000000.0,1147000000.0,1329000000.0,659000000.0
Net Income Common Stockholders,5542000000.0,4779000000.0,6143000000.0,6765000000.0
Net Income,5542000000.0,4779000000.0,6143000000.0,6765000000.0
Net Income Including Noncontrolling Interests,5610000000.0,4865000000.0,6230000000.0,6828000000.0
Net Income Continuous Operations,5610000000.0,4865000000.0,6230000000.0,6828000000.0
Minority Interests,-68000000.0,-86000000.0,-87000000.0,-63000000.0
Diluted NI Availto Com Stockholders,5542000000.0,4779000000.0,6143000000.0,6765000000.0
Basic EPS,8.01,6.79,8.52,9.1
Diluted EPS,7.91,6.72,8.41,8.98
Basic Average Shares,692300000.0,704100000.0,721000000.0,743000000.0
Diluted Average Shares,700400000.0,711200000.0,730300000.0,753000000.0
Total Expenses,28192000000.0,26941000000.0,29858000000.0,35097000000.0
Net Income From Continuing And Discontinued Operation,5542000000.0,4779000000.0,6143000000.0,6765000000.0
Normalized Income,5606325000.0,4726415000.0,6044944000.0,7000296000.0
Interest Income,102000000.0,107000000.0,255000000.0,217000000.0
Interest Expense,343000000.0,359000000.0,357000000.0,367000000.0
Net Interest Income,-241000000.0,-252000000.0,-102000000.0,-150000000.0
EBIT,7578000000.0,6371000000.0,7916000000.0,7854000000.0
Reconciled Cost Of Revenue,23394000000.0,22169000000.0,24339000000.0,29046000000.0
Reconciled Depreciation,1223000000.0,1002000000.0,1088000000.0,1116000000.0
Net Income From Continuing Operation Net Minority Interest,5542000000.0,4779000000.0,6143000000.0,6765000000.0
Total Unusual Items Excluding Goodwill,-83000000.0,65000000.0,119000000.0,-258000000.0
Total Unusual Items,-83000000.0,65000000.0,119000000.0,-258000000.0
Normalized EBITDA,8884000000.0,7308000000.0,8885000000.0,9228000000.0
Tax Rate For Calcs,0.225,0.191,0.176,0.088
Tax Effect Of Unusual Items,-18675000.0,12415000.0,20944000.0,-22704000.0
