,2022-10-31,2021-10-31,2020-10-31,2019-10-31
Total Revenue,62983000000.0,63487000000.0,56639000000.0,58756000000.0
Operating Revenue,62983000000.0,63487000000.0,56639000000.0,58756000000.0
Cost Of Revenue,50648000000.0,50070000000.0,46202000000.0,47586000000.0
Gross Profit,12335000000.0,13417000000.0,10437000000.0,11170000000.0
Operating Expense,7086000000.0,7765000000.0,6710000000.0,8169000000.0
Selling General And Administration,5264000000.0,5704000000.0,5120000000.0,5368000000.0
General And Administrative Expense,5264000000.0,5704000000.0,5120000000.0,
Salaries And Wages,0.0,-37000000.0,214000000.0,
Other Gand A,5264000000.0,5741000000.0,4906000000.0,
Research And Development,1593000000.0,1907000000.0,1478000000.0,1499000000.0
Depreciation Amortization Depletion Income Statement,228000000.0,154000000.0,113000000.0,116000000.0
Depreciation And Amortization In Income Statement,228000000.0,154000000.0,113000000.0,116000000.0
Amortization,228000000.0,154000000.0,113000000.0,116000000.0
Amortization Of Intangibles Income Statement,228000000.0,154000000.0,113000000.0,116000000.0
Other Taxes,1000000.0,0.0,-1000000.0,1186000000.0
Operating Income,5249000000.0,5652000000.0,3727000000.0,3001000000.0
Net Non Operating Interest Income Expense,-359000000.0,-254000000.0,-239000000.0,-242000000.0
Interest Expense Non Operating,359000000.0,254000000.0,239000000.0,242000000.0
Total Other Finance Cost,235000000.0,-2209000000.0,231000000.0,1354000000.0
Other Income Expense,-449000000.0,2113000000.0,-257000000.0,-236000000.0
Special Income Charges,-574000000.0,1975000000.0,-518000000.0,-310000000.0
Restructuring And Mergern Acquisition,574000000.0,313000000.0,478000000.0,310000000.0
Other Special Charges,,-2288000000.0,40000000.0,
Other Non Operating Income Expenses,125000000.0,138000000.0,261000000.0,74000000.0
Pretax Income,4441000000.0,7511000000.0,3231000000.0,2523000000.0
Tax Provision,1238000000.0,1008000000.0,387000000.0,-629000000.0
Net Income Common Stockholders,3203000000.0,6503000000.0,2844000000.0,3152000000.0
Net Income,3203000000.0,6503000000.0,2844000000.0,3152000000.0
Net Income Including Noncontrolling Interests,3203000000.0,6503000000.0,2844000000.0,3152000000.0
Net Income Continuous Operations,3203000000.0,6503000000.0,2844000000.0,3152000000.0
Net Income Discontinuous Operations,,,,0.0
Diluted NI Availto Com Stockholders,3203000000.0,6503000000.0,2844000000.0,3152000000.0
Basic EPS,,5.38,2.01,2.08
Diluted EPS,,5.33,2.0,2.07
Basic Average Shares,,1208000000.0,1413000000.0,1515000000.0
Diluted Average Shares,,1220000000.0,1420000000.0,1524000000.0
Total Operating Income As Reported,4676000000.0,5302000000.0,3462000000.0,3877000000.0
Total Expenses,57734000000.0,57835000000.0,52912000000.0,55755000000.0
Net Income From Continuing And Discontinued Operation,3203000000.0,6503000000.0,2844000000.0,3152000000.0
Normalized Income,3616854000.0,4792650000.0,3299840000.0,3378300000.0
Interest Expense,359000000.0,254000000.0,239000000.0,242000000.0
Net Interest Income,-359000000.0,-254000000.0,-239000000.0,-242000000.0
EBIT,4800000000.0,7765000000.0,3470000000.0,2765000000.0
Reconciled Cost Of Revenue,50096000000.0,49439000000.0,45526000000.0,46958000000.0
Reconciled Depreciation,780000000.0,785000000.0,789000000.0,744000000.0
Net Income From Continuing Operation Net Minority Interest,3203000000.0,6503000000.0,2844000000.0,3152000000.0
Total Unusual Items Excluding Goodwill,-574000000.0,1975000000.0,-518000000.0,-310000000.0
Total Unusual Items,-574000000.0,1975000000.0,-518000000.0,-310000000.0
Normalized EBITDA,6154000000.0,6575000000.0,4777000000.0,3819000000.0
Tax Rate For Calcs,0.279,0.134,0.12,0.27
Tax Effect Of Unusual Items,-160146000.0,264650000.0,-62160000.0,-83700000.0
