,2022-10-31,2021-10-31,2020-10-31,2019-10-31
Total Revenue,12458806000.0,11386189000.0,9608462000.0,9497317000.0
Operating Revenue,12458806000.0,11386189000.0,9608462000.0,9497317000.0
Cost Of Revenue,10294120000.0,9458283000.0,7782498000.0,7612669000.0
Gross Profit,2164686000.0,1927906000.0,1825963000.0,1884648000.0
Operating Expense,879265000.0,853071000.0,761315000.0,727584000.0
Selling General And Administration,879265000.0,853071000.0,761315000.0,727584000.0
Operating Income,1285421000.0,1074835000.0,1064648000.0,1157064000.0
Net Non Operating Interest Income Expense,-34503000.0,3571000.0,14527000.0,13450000.0
Interest Income Non Operating,28012000.0,46878000.0,35596000.0,31520000.0
Interest Expense Non Operating,62515000.0,43307000.0,21069000.0,18070000.0
Other Income Expense,27185000.0,47763000.0,35572000.0,39201000.0
Earnings From Equity Interest,27185000.0,47763000.0,35572000.0,39201000.0
Special Income Charges,,,0.0,0.0
Impairment Of Capital Assets,,,0.0,0.0
Pretax Income,1278103000.0,1126170000.0,1114747000.0,1209715000.0
Tax Provision,277877000.0,217029000.0,206393000.0,230567000.0
Net Income Common Stockholders,999987000.0,908839000.0,908082000.0,978806000.0
Net Income,999987000.0,908839000.0,908082000.0,978806000.0
Net Income Including Noncontrolling Interests,1000226000.0,909140000.0,908354000.0,979148000.0
Net Income Continuous Operations,1000226000.0,909140000.0,908354000.0,979148000.0
Minority Interests,-239000.0,-301000.0,-272000.0,-342000.0
Diluted NI Availto Com Stockholders,999987000.0,908839000.0,908082000.0,978806000.0
Basic EPS,1.84,1.68,1.69,1.83
Diluted EPS,1.82,1.66,1.66,1.8
Basic Average Shares,544918000.0,541114000.0,538007000.0,534578000.0
Diluted Average Shares,549566000.0,547580000.0,546592000.0,545232000.0
Total Operating Income As Reported,1312607000.0,1122599000.0,1100220000.0,1196265000.0
Total Expenses,11173385000.0,10311354000.0,8543813000.0,8340253000.0
Net Income From Continuing And Discontinued Operation,999987000.0,908839000.0,908082000.0,978806000.0
Normalized Income,999987000.0,908839000.0,908082000.0,978806000.0
Interest Income,28012000.0,46878000.0,35596000.0,31520000.0
Interest Expense,62515000.0,43307000.0,21069000.0,18070000.0
Net Interest Income,-34503000.0,3571000.0,14527000.0,13450000.0
EBIT,1340618000.0,1169477000.0,1135816000.0,1227785000.0
Reconciled Cost Of Revenue,10294120000.0,9458283000.0,7782498000.0,7612669000.0
Reconciled Depreciation,262753000.0,228406000.0,205781000.0,165209000.0
Net Income From Continuing Operation Net Minority Interest,999987000.0,908839000.0,908082000.0,978806000.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0
Total Unusual Items,,,0.0,0.0
Normalized EBITDA,1603371000.0,1397883000.0,1341597000.0,1392994000.0
Tax Rate For Calcs,0.217,0.193,0.185,0.191
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
