,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,11656000000.0,5084239000.0,5140084000.0,3977539000.0
Operating Revenue,11656000000.0,5084239000.0,5140084000.0,3977539000.0
Cost Of Revenue,7921000000.0,2998373000.0,3027336000.0,2294832000.0
Gross Profit,3735000000.0,2085866000.0,2112748000.0,1682707000.0
Operating Expense,3110000000.0,1498303000.0,1415346000.0,1094923000.0
Selling General And Administration,1749000000.0,948833000.0,876121000.0,707461000.0
Research And Development,629000000.0,356863000.0,346128000.0,311583000.0
Depreciation Amortization Depletion Income Statement,732000000.0,192607000.0,193097000.0,75879000.0
Depreciation And Amortization In Income Statement,732000000.0,192607000.0,193097000.0,75879000.0
Amortization,732000000.0,192607000.0,193097000.0,75879000.0
Amortization Of Intangibles Income Statement,732000000.0,192607000.0,193097000.0,75879000.0
Operating Income,625000000.0,587563000.0,697402000.0,587784000.0
Net Non Operating Interest Income Expense,-289000000.0,-131802000.0,-138221000.0,-132558000.0
Interest Expense Non Operating,289000000.0,131802000.0,138221000.0,132558000.0
Other Income Expense,18000000.0,-14390000.0,-1729000.0,-7469000.0
Special Income Charges,-40000000.0,-21079000.0,-32132000.0,-42712000.0
Restructuring And Mergern Acquisition,41000000.0,17295000.0,29765000.0,5079000.0
Other Special Charges,,,,38810000.0
Gain On Sale Of Ppe,1000000.0,-3784000.0,-2367000.0,1177000.0
Other Non Operating Income Expenses,58000000.0,6689000.0,30403000.0,35243000.0
Pretax Income,354000000.0,441371000.0,557452000.0,447757000.0
Tax Provision,75000000.0,73999000.0,97184000.0,107976000.0
Net Income Common Stockholders,268000000.0,365031000.0,455873000.0,337302000.0
Net Income,268000000.0,365031000.0,455873000.0,337302000.0
Net Income Including Noncontrolling Interests,279000000.0,367372000.0,460268000.0,339781000.0
Net Income Continuous Operations,279000000.0,367372000.0,460268000.0,339781000.0
Minority Interests,-11000000.0,-2341000.0,-4395000.0,-2479000.0
Diluted NI Availto Com Stockholders,268000000.0,365031000.0,455873000.0,337302000.0
Basic EPS,1.11,3.25,4.05,3.81
Diluted EPS,1.1,3.21,4.0,3.79
Basic Average Shares,243000000.0,112162000.0,111966000.0,87551000.0
Diluted Average Shares,243000000.0,113630000.0,113307000.0,88121000.0
Total Operating Income As Reported,585000000.0,566484000.0,665270000.0,583882000.0
Total Expenses,11031000000.0,4496676000.0,4442682000.0,3389755000.0
Net Income From Continuing And Discontinued Operation,268000000.0,365031000.0,455873000.0,337302000.0
Normalized Income,299520000.0,382568728.0,482414032.0,369720408.0
Interest Expense,289000000.0,131802000.0,138221000.0,132558000.0
Net Interest Income,-289000000.0,-131802000.0,-138221000.0,-132558000.0
EBIT,643000000.0,573173000.0,695673000.0,580315000.0
Reconciled Cost Of Revenue,7497000000.0,2865620000.0,2897103000.0,2196919000.0
Reconciled Depreciation,1156000000.0,325360000.0,323330000.0,173792000.0
Net Income From Continuing Operation Net Minority Interest,268000000.0,365031000.0,455873000.0,337302000.0
Total Unusual Items Excluding Goodwill,-40000000.0,-21079000.0,-32132000.0,-42712000.0
Total Unusual Items,-40000000.0,-21079000.0,-32132000.0,-42712000.0
Normalized EBITDA,1839000000.0,919612000.0,1051135000.0,796819000.0
Tax Rate For Calcs,0.212,0.168,0.174,0.241
Tax Effect Of Unusual Items,-8480000.0,-3541272.0,-5590968.0,-10293592.0
