,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,79024000000.0,77867000000.0,71965000000.0,70848000000.0
Operating Revenue,79024000000.0,77867000000.0,71965000000.0,70848000000.0
Cost Of Revenue,35209000000.0,34255000000.0,29825000000.0,27111000000.0
Gross Profit,43815000000.0,43612000000.0,42140000000.0,43737000000.0
Operating Expense,21733000000.0,19736000000.0,19712000000.0,20493000000.0
Selling General And Administration,6543000000.0,6180000000.0,6150000000.0,6750000000.0
Research And Development,15190000000.0,13556000000.0,13362000000.0,13543000000.0
Depreciation Amortization Depletion Income Statement,,,200000000.0,200000000.0
Depreciation And Amortization In Income Statement,,,200000000.0,200000000.0
Amortization,,,200000000.0,200000000.0
Amortization Of Intangibles Income Statement,,,200000000.0,200000000.0
Operating Income,22082000000.0,23876000000.0,22428000000.0,23244000000.0
Net Non Operating Interest Income Expense,-482000000.0,-504000000.0,484000000.0,126000000.0
Interest Income Non Operating,144000000.0,272000000.0,483000000.0,438000000.0
Interest Expense Non Operating,597000000.0,629000000.0,489000000.0,468000000.0
Total Other Finance Cost,29000000.0,147000000.0,-490000000.0,-156000000.0
Other Income Expense,103000000.0,1706000000.0,1146000000.0,-53000000.0
Gain On Sale Of Security,2883000000.0,2207000000.0,1661000000.0,299000000.0
Earnings From Equity Interest,2729000000.0,1904000000.0,1091000000.0,-125000000.0
Special Income Charges,-2780000000.0,-501000000.0,-515000000.0,-352000000.0
Restructuring And Mergern Acquisition,48000000.0,198000000.0,393000000.0,-72000000.0
Write Off,441000000.0,303000000.0,122000000.0,424000000.0
Other Special Charges,2291000000.0,,,
Other Non Operating Income Expenses,,-147000000.0,490000000.0,156000000.0
Pretax Income,21703000000.0,25078000000.0,24058000000.0,23317000000.0
Tax Provision,1835000000.0,4179000000.0,3010000000.0,2264000000.0
Net Income Common Stockholders,19868000000.0,20899000000.0,21048000000.0,21053000000.0
Net Income,19868000000.0,20899000000.0,21048000000.0,21053000000.0
Net Income Including Noncontrolling Interests,19868000000.0,20899000000.0,21048000000.0,21053000000.0
Net Income Continuous Operations,19868000000.0,20899000000.0,21048000000.0,21053000000.0
Diluted NI Availto Com Stockholders,19868000000.0,20899000000.0,21048000000.0,21053000000.0
Basic EPS,4.89,4.98,4.77,4.57
Diluted EPS,4.86,4.94,4.71,4.48
Basic Average Shares,4059000000.0,4199000000.0,4417000000.0,4611000000.0
Diluted Average Shares,4090000000.0,4232000000.0,4473000000.0,4701000000.0
Total Operating Income As Reported,19456000000.0,23678000000.0,22035000000.0,23316000000.0
Total Expenses,56942000000.0,53991000000.0,49537000000.0,47604000000.0
Net Income From Continuing And Discontinued Operation,19868000000.0,20899000000.0,21048000000.0,21053000000.0
Normalized Income,19773755000.0,19477902000.0,20045250000.0,21100859000.0
Interest Income,144000000.0,272000000.0,483000000.0,438000000.0
Interest Expense,597000000.0,629000000.0,489000000.0,468000000.0
Net Interest Income,-482000000.0,-504000000.0,484000000.0,126000000.0
EBIT,22300000000.0,25707000000.0,24547000000.0,23785000000.0
Reconciled Cost Of Revenue,35209000000.0,34255000000.0,19199000000.0,18226000000.0
Reconciled Depreciation,11792000000.0,12239000000.0,10826000000.0,9085000000.0
Net Income From Continuing Operation Net Minority Interest,19868000000.0,20899000000.0,21048000000.0,21053000000.0
Total Unusual Items Excluding Goodwill,103000000.0,1706000000.0,1146000000.0,-53000000.0
Total Unusual Items,103000000.0,1706000000.0,1146000000.0,-53000000.0
Normalized EBITDA,33989000000.0,36240000000.0,34227000000.0,32923000000.0
Tax Rate For Calcs,0.085,0.167,0.125,0.097
Tax Effect Of Unusual Items,8755000.0,284902000.0,143250000.0,-5141000.0
