,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,19363000000.0,20580000000.0,22376000000.0,23306000000.0
Operating Revenue,19363000000.0,20580000000.0,22376000000.0,23306000000.0
Cost Of Revenue,13832000000.0,14373000000.0,15268000000.0,15555000000.0
Gross Profit,5531000000.0,6207000000.0,7108000000.0,7751000000.0
Operating Expense,4065000000.0,4529000000.0,4683000000.0,4789000000.0
Selling General And Administration,2829000000.0,3071000000.0,3207000000.0,3290000000.0
General And Administrative Expense,,1520000000.0,1647000000.0,1723000000.0
Salaries And Wages,,,36000000.0,494000000.0
Other Gand A,,1520000000.0,1647000000.0,1723000000.0
Selling And Marketing Expense,2829000000.0,3071000000.0,3207000000.0,3290000000.0
Depreciation Amortization Depletion Income Statement,1097000000.0,1287000000.0,1306000000.0,1328000000.0
Depreciation And Amortization In Income Statement,1097000000.0,1287000000.0,1306000000.0,1328000000.0
Other Taxes,139000000.0,171000000.0,170000000.0,171000000.0
Operating Income,1466000000.0,1678000000.0,2425000000.0,2962000000.0
Net Non Operating Interest Income Expense,-337000000.0,-444000000.0,-491000000.0,-536000000.0
Interest Income Non Operating,93000000.0,156000000.0,215000000.0,198000000.0
Interest Expense Non Operating,430000000.0,600000000.0,706000000.0,734000000.0
Total Other Finance Cost,,,491000000.0,536000000.0
Other Income Expense,-130000000.0,-584000000.0,-330000000.0,-645000000.0
Gain On Sale Of Security,-32000000.0,,,
Special Income Charges,-290000000.0,-625000000.0,-294000000.0,-151000000.0
Restructuring And Mergern Acquisition,40000000.0,-1000000.0,36000000.0,29000000.0
Impairment Of Capital Assets,,,0.0,0.0
Other Special Charges,461000000.0,196000000.0,53000000.0,
Gain On Sale Of Business,211000000.0,-430000000.0,-205000000.0,-122000000.0
Other Non Operating Income Expenses,192000000.0,41000000.0,-36000000.0,-494000000.0
Pretax Income,999000000.0,650000000.0,1604000000.0,1781000000.0
Tax Provision,188000000.0,245000000.0,634000000.0,445000000.0
Earnings From Equity Interest Net Of Tax,313000000.0,77000000.0,250000000.0,336000000.0
Net Income Common Stockholders,1752000000.0,482000000.0,1225000000.0,2012000000.0
Net Income,1752000000.0,482000000.0,1225000000.0,2012000000.0
Net Income Including Noncontrolling Interests,1754000000.0,482000000.0,1220000000.0,2017000000.0
Net Income Continuous Operations,1124000000.0,482000000.0,1220000000.0,1672000000.0
Net Income Discontinuous Operations,630000000.0,0.0,0.0,345000000.0
Minority Interests,-2000000.0,0.0,5000000.0,-5000000.0
Diluted NI Availto Com Stockholders,1752000000.0,482000000.0,1225000000.0,2012000000.0
Basic EPS,4.5,1.23,3.1,4.91
Diluted EPS,4.47,1.22,3.07,4.85
Basic Average Shares,389333333.0,391869919.0,395161290.0,409775967.0
Diluted Average Shares,392400000.0,395700000.0,398800000.0,414200000.0
Total Expenses,17897000000.0,18902000000.0,19951000000.0,20344000000.0
Net Income From Continuing And Discontinued Operation,1752000000.0,482000000.0,1225000000.0,2012000000.0
Normalized Income,1382820000.0,869500000.0,1401400000.0,1780250000.0
Interest Income,93000000.0,156000000.0,215000000.0,198000000.0
Interest Expense,430000000.0,600000000.0,706000000.0,734000000.0
Net Interest Income,-337000000.0,-444000000.0,-491000000.0,-536000000.0
EBIT,1429000000.0,1250000000.0,2310000000.0,2515000000.0
Reconciled Cost Of Revenue,13719000000.0,14373000000.0,15268000000.0,15555000000.0
Reconciled Depreciation,1210000000.0,1287000000.0,1306000000.0,1328000000.0
Net Income From Continuing Operation Net Minority Interest,1122000000.0,482000000.0,1225000000.0,1667000000.0
Total Unusual Items Excluding Goodwill,-322000000.0,-625000000.0,-294000000.0,-151000000.0
Total Unusual Items,-322000000.0,-625000000.0,-294000000.0,-151000000.0
Normalized EBITDA,2961000000.0,3162000000.0,3910000000.0,3994000000.0
Tax Rate For Calcs,0.19,0.38,0.4,0.25
Tax Effect Of Unusual Items,-61180000.0,-237500000.0,-117600000.0,-37750000.0
