,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,5152400000.0,4910200000.0,2451900000.0,2689800000.0
Operating Revenue,5152400000.0,4910200000.0,2451900000.0,2689800000.0
Cost Of Revenue,3163900000.0,3296800000.0,1540200000.0,1677300000.0
Gross Profit,1988500000.0,1613400000.0,911700000.0,1012500000.0
Operating Expense,1366100000.0,1296700000.0,562600000.0,559500000.0
Selling General And Administration,1028000000.0,894800000.0,436400000.0,432300000.0
General And Administrative Expense,,,,-2300000.0
Salaries And Wages,,,,-2300000.0
Other Gand A,,,,434600000.0
Selling And Marketing Expense,1028000000.0,894800000.0,436400000.0,434600000.0
Depreciation Amortization Depletion Income Statement,332900000.0,395800000.0,124300000.0,125800000.0
Depreciation And Amortization In Income Statement,332900000.0,395800000.0,124300000.0,125800000.0
Amortization,332900000.0,395800000.0,124300000.0,125800000.0
Amortization Of Intangibles Income Statement,332900000.0,395800000.0,124300000.0,125800000.0
Other Operating Expenses,5200000.0,6100000.0,1900000.0,1400000.0
Operating Income,622400000.0,316700000.0,349100000.0,453000000.0
Net Non Operating Interest Income Expense,-87700000.0,-111100000.0,-88900000.0,-99600000.0
Interest Expense Non Operating,87700000.0,111100000.0,88900000.0,99600000.0
Other Income Expense,-21700000.0,-225000000.0,-69300000.0,-3900000.0
Gain On Sale Of Security,12000000.0,-20900000.0,-8100000.0,1900000.0
Special Income Charges,-77700000.0,-212100000.0,-65900000.0,-13000000.0
Restructuring And Mergern Acquisition,68700000.0,190200000.0,70900000.0,22500000.0
Impairment Of Capital Assets,0.0,19900000.0,0.0,0.0
Other Special Charges,9000000.0,2000000.0,-5800000.0,-8400000.0
Gain On Sale Of Ppe,,0.0,-800000.0,1100000.0
Other Non Operating Income Expenses,44000000.0,8000000.0,4700000.0,7200000.0
Pretax Income,513000000.0,-19400000.0,190900000.0,349500000.0
Tax Provision,-21800000.0,13000000.0,31800000.0,80100000.0
Earnings From Equity Interest Net Of Tax,-11400000.0,,,
Net Income Common Stockholders,562500000.0,-33300000.0,159100000.0,269400000.0
Net Income,562500000.0,-33300000.0,159100000.0,269400000.0
Net Income Including Noncontrolling Interests,565000000.0,-32400000.0,159100000.0,269400000.0
Net Income Continuous Operations,523400000.0,-32400000.0,159100000.0,269400000.0
Net Income Discontinuous Operations,41600000.0,,,
Minority Interests,-2500000.0,-900000.0,0.0,0.0
Diluted NI Availto Com Stockholders,562500000.0,-33300000.0,159100000.0,269400000.0
Basic EPS,1.36,-0.09,0.78,1.34
Diluted EPS,1.34,-0.09,0.76,1.29
Basic Average Shares,414800000.0,382800000.0,203500000.0,201044776.0
Diluted Average Shares,421200000.0,382800000.0,208900000.0,208837209.0
Total Operating Income As Reported,565700000.0,85700000.0,275300000.0,443000000.0
Total Expenses,4530000000.0,4593500000.0,2102800000.0,2236800000.0
Net Income From Continuing And Discontinued Operation,562500000.0,-33300000.0,159100000.0,269400000.0
Normalized Income,568861000.0,136790000.0,220742000.0,277958100.0
Interest Expense,87700000.0,111100000.0,88900000.0,99600000.0
Net Interest Income,-87700000.0,-111100000.0,-88900000.0,-99600000.0
EBIT,600700000.0,91700000.0,279800000.0,449100000.0
Reconciled Cost Of Revenue,3074700000.0,3191700000.0,1486400000.0,1622700000.0
Reconciled Depreciation,422100000.0,500900000.0,178100000.0,180400000.0
Net Income From Continuing Operation Net Minority Interest,520900000.0,-33300000.0,159100000.0,269400000.0
Total Unusual Items Excluding Goodwill,-65700000.0,-233000000.0,-74000000.0,-11100000.0
Total Unusual Items,-65700000.0,-233000000.0,-74000000.0,-11100000.0
Normalized EBITDA,1088500000.0,825600000.0,531900000.0,640600000.0
Tax Rate For Calcs,0.27,0.27,0.167,0.229
Tax Effect Of Unusual Items,-17739000.0,-62910000.0,-12358000.0,-2541900.0
