,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,5710100000.0,4358400000.0,4478500000.0,3724200000.0
Operating Revenue,5710100000.0,4358400000.0,4478500000.0,3724200000.0
Cost Of Revenue,1751600000.0,1497200000.0,1368300000.0,1120100000.0
Gross Profit,3958500000.0,2861200000.0,3110200000.0,2604100000.0
Operating Expense,2137500000.0,1811400000.0,1735700000.0,1404700000.0
Selling General And Administration,1466500000.0,1216300000.0,1178400000.0,986600000.0
Research And Development,671000000.0,595100000.0,557300000.0,418100000.0
Operating Income,1821000000.0,1049800000.0,1374500000.0,1199400000.0
Net Non Operating Interest Income Expense,69300000.0,157200000.0,127700000.0,80100000.0
Interest Income Non Operating,69300000.0,157200000.0,,
Total Other Finance Cost,-69300000.0,,-127700000.0,-80100000.0
Pretax Income,1890300000.0,1207000000.0,1502200000.0,1279500000.0
Tax Provision,162200000.0,140200000.0,120400000.0,154500000.0
Net Income Common Stockholders,1704600000.0,1060600000.0,1379300000.0,1127900000.0
Net Income,1704600000.0,1060600000.0,1379300000.0,1127900000.0
Net Income Including Noncontrolling Interests,1728100000.0,1066800000.0,1381800000.0,1125000000.0
Net Income Continuous Operations,1728100000.0,1066800000.0,1381800000.0,1125000000.0
Minority Interests,-23500000.0,-6200000.0,-2500000.0,2900000.0
Diluted NI Availto Com Stockholders,1704600000.0,1060600000.0,1379300000.0,1127900000.0
Basic EPS,4.79,3.02,3.983333,3.306667
Diluted EPS,4.66,2.94,3.846667,3.163333
Basic Average Shares,356100000.0,351000000.0,346200000.0,341100000.0
Diluted Average Shares,365800000.0,360900000.0,358500000.0,356400000.0
Total Operating Income As Reported,1821000000.0,1049800000.0,1374500000.0,1199400000.0
Total Expenses,3889100000.0,3308600000.0,3104000000.0,2524800000.0
Net Income From Continuing And Discontinued Operation,1704600000.0,1060600000.0,1379300000.0,1127900000.0
Normalized Income,1704600000.0,1060600000.0,1379300000.0,1127900000.0
Interest Income,69300000.0,157200000.0,,
Net Interest Income,69300000.0,157200000.0,127700000.0,80100000.0
EBIT,1821000000.0,1049800000.0,1374500000.0,1199400000.0
Reconciled Cost Of Revenue,1751600000.0,1497200000.0,1368300000.0,1120100000.0
Reconciled Depreciation,310200000.0,276200000.0,203000000.0,122800000.0
Net Income From Continuing Operation Net Minority Interest,1704600000.0,1060600000.0,1379300000.0,1127900000.0
Normalized EBITDA,2131200000.0,1326000000.0,1577500000.0,1322200000.0
Tax Rate For Calcs,0.085806,0.116,0.08,0.121
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
