,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,12168302000.0,9636573000.0,9165258000.0,8614874000.0
Operating Revenue,12168302000.0,9636573000.0,9165258000.0,8614874000.0
Cost Of Revenue,10298483000.0,8186697000.0,7659003000.0,7255657000.0
Gross Profit,1869819000.0,1449876000.0,1506255000.0,1359217000.0
Operating Expense,824289000.0,736757000.0,772430000.0,678196000.0
Selling General And Administration,395533000.0,348076000.0,383981000.0,323587000.0
General And Administrative Expense,395533000.0,348076000.0,383981000.0,323587000.0
Insurance And Claims,165052000.0,134482000.0,157251000.0,129406000.0
Other Gand A,230481000.0,213594000.0,226730000.0,194181000.0
Other Taxes,59462000.0,54331000.0,55336000.0,51080000.0
Other Operating Expenses,369294000.0,334350000.0,333113000.0,303529000.0
Operating Income,1045530000.0,713119000.0,733825000.0,681021000.0
Net Non Operating Interest Income Expense,-45758000.0,-47094000.0,-52930000.0,-40203000.0
Interest Income Non Operating,493000.0,486000.0,1754000.0,224000.0
Interest Expense Non Operating,46251000.0,47580000.0,54684000.0,40427000.0
Total Other Finance Cost,,,52930000.0,40203000.0
Pretax Income,999772000.0,666025000.0,680895000.0,640818000.0
Tax Provision,238966000.0,159990000.0,164575000.0,151233000.0
Net Income Common Stockholders,760806000.0,506035000.0,516320000.0,489585000.0
Net Income,760806000.0,506035000.0,516320000.0,489585000.0
Net Income Including Noncontrolling Interests,760806000.0,506035000.0,516320000.0,489585000.0
Net Income Continuous Operations,760806000.0,506035000.0,516320000.0,489585000.0
Diluted NI Availto Com Stockholders,760806000.0,506035000.0,516320000.0,489585000.0
Basic EPS,7.239311,4.789565,4.861179,4.503553
Diluted EPS,7.14,4.74,4.75,4.43
Basic Average Shares,105093706.0,105653644.0,106212908.0,108710825.0
Diluted Average Shares,106593000.0,106766000.0,108599000.0,110428000.0
Total Operating Income As Reported,1045530000.0,713119000.0,733825000.0,681021000.0
Rent Expense Supplemental,6449068000.0,4954123000.0,4528812000.0,4434540000.0
Total Expenses,11122772000.0,8923454000.0,8431433000.0,7933853000.0
Net Income From Continuing And Discontinued Operation,760806000.0,506035000.0,516320000.0,489585000.0
Normalized Income,760806000.0,506035000.0,516320000.0,489585000.0
Interest Income,493000.0,486000.0,1754000.0,224000.0
Interest Expense,46251000.0,47580000.0,54684000.0,40427000.0
Net Interest Income,-45758000.0,-47094000.0,-52930000.0,-40203000.0
EBIT,1046023000.0,713605000.0,735579000.0,681245000.0
Reconciled Cost Of Revenue,10298483000.0,8186697000.0,7659003000.0,7255657000.0
Reconciled Depreciation,557093000.0,527375000.0,499145000.0,435893000.0
Net Income From Continuing Operation Net Minority Interest,760806000.0,506035000.0,516320000.0,489585000.0
Normalized EBITDA,1603116000.0,1240980000.0,1234724000.0,1117138000.0
Tax Rate For Calcs,0.239,0.24,0.242,0.236
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
