,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,38655000000.0,33014000000.0,37266000000.0,31856000000.0
Operating Revenue,38655000000.0,33014000000.0,37266000000.0,31856000000.0
Cost Of Revenue,15357000000.0,13433000000.0,14619000000.0,11770000000.0
Gross Profit,23298000000.0,19581000000.0,22647000000.0,20086000000.0
Operating Expense,12259000000.0,9856000000.0,12378000000.0,10745000000.0
Selling General And Administration,7009000000.0,5541000000.0,7320000000.0,6039000000.0
General And Administrative Expense,337000000.0,126000000.0,201000000.0,225000000.0
Salaries And Wages,337000000.0,126000000.0,201000000.0,225000000.0
Other Gand A,5135000000.0,4190000000.0,4783000000.0,4268000000.0
Selling And Marketing Expense,6672000000.0,5415000000.0,7119000000.0,5814000000.0
Other Operating Expenses,5250000000.0,4315000000.0,5058000000.0,4706000000.0
Operating Income,11039000000.0,9725000000.0,10269000000.0,9341000000.0
Net Non Operating Interest Income Expense,-1321000000.0,-1067000000.0,-383000000.0,-237000000.0
Interest Income Non Operating,276000000.0,370000000.0,563000000.0,682000000.0
Interest Expense Non Operating,1597000000.0,1437000000.0,946000000.0,919000000.0
Other Income Expense,2707000000.0,1091000000.0,900000000.0,-754000000.0
Earnings From Equity Interest,1438000000.0,978000000.0,1049000000.0,1008000000.0
Special Income Charges,-731000000.0,-728000000.0,-183000000.0,-641000000.0
Restructuring And Mergern Acquisition,638000000.0,480000000.0,141000000.0,158000000.0
Impairment Of Capital Assets,78000000.0,215000000.0,42000000.0,
Write Off,,,,450000000.0
Other Special Charges,15000000.0,,,33000000.0
Gain On Sale Of Business,,-33000000.0,,
Other Non Operating Income Expenses,2000000000.0,841000000.0,34000000.0,-1121000000.0
Pretax Income,12425000000.0,9749000000.0,10786000000.0,8350000000.0
Tax Provision,2621000000.0,1981000000.0,1801000000.0,1623000000.0
Net Income Common Stockholders,9771000000.0,7747000000.0,8920000000.0,6434000000.0
Net Income,9771000000.0,7747000000.0,8920000000.0,6434000000.0
Net Income Including Noncontrolling Interests,9804000000.0,7768000000.0,8985000000.0,6476000000.0
Net Income Continuous Operations,9804000000.0,7768000000.0,8985000000.0,6727000000.0
Net Income Discontinuous Operations,,,,-251000000.0
Minority Interests,-33000000.0,-21000000.0,-65000000.0,-42000000.0
Diluted NI Availto Com Stockholders,9771000000.0,7747000000.0,8920000000.0,6434000000.0
Basic EPS,2.26,1.8,2.09,1.51
Diluted EPS,2.25,1.79,2.07,1.5
Basic Average Shares,4315000000.0,4295000000.0,4276000000.0,4259000000.0
Diluted Average Shares,4340000000.0,4323000000.0,4314000000.0,4299000000.0
Total Operating Income As Reported,10308000000.0,8997000000.0,10086000000.0,8700000000.0
Total Expenses,27616000000.0,23289000000.0,26997000000.0,22515000000.0
Net Income From Continuing And Discontinued Operation,9771000000.0,7747000000.0,8920000000.0,6434000000.0
Normalized Income,10347759000.0,8327216000.0,9072439000.0,7201646000.0
Interest Income,276000000.0,370000000.0,563000000.0,682000000.0
Interest Expense,1597000000.0,1437000000.0,946000000.0,919000000.0
Net Interest Income,-1321000000.0,-1067000000.0,-383000000.0,-237000000.0
EBIT,14022000000.0,11186000000.0,11732000000.0,9269000000.0
Reconciled Cost Of Revenue,15357000000.0,13433000000.0,14619000000.0,11770000000.0
Reconciled Depreciation,1452000000.0,1536000000.0,1365000000.0,1086000000.0
Net Income From Continuing Operation Net Minority Interest,9771000000.0,7747000000.0,8920000000.0,6685000000.0
Total Unusual Items Excluding Goodwill,-731000000.0,-728000000.0,-183000000.0,-641000000.0
Total Unusual Items,-731000000.0,-728000000.0,-183000000.0,-641000000.0
Normalized EBITDA,16205000000.0,13450000000.0,13280000000.0,10996000000.0
Tax Rate For Calcs,0.211,0.203,0.167,0.194
Tax Effect Of Unusual Items,-154241000.0,-147784000.0,-30561000.0,-124354000.0
