,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,13737000000.0,12297000000.0,11094000000.0,10194000000.0
Operating Revenue,13737000000.0,12297000000.0,11094000000.0,10194000000.0
Cost Of Revenue,11723000000.0,10560000000.0,9546000000.0,8690000000.0
Gross Profit,2014000000.0,1737000000.0,1548000000.0,1504000000.0
Operating Expense,860000000.0,770000000.0,689000000.0,729000000.0
Selling General And Administration,860000000.0,770000000.0,689000000.0,729000000.0
Operating Income,1154000000.0,967000000.0,859000000.0,775000000.0
Net Non Operating Interest Income Expense,-184000000.0,-179000000.0,-133000000.0,-138000000.0
Interest Income Non Operating,1000000.0,3000000.0,14000000.0,7000000.0
Interest Expense Non Operating,185000000.0,182000000.0,147000000.0,145000000.0
Total Other Finance Cost,,,133000000.0,
Other Income Expense,-3000000.0,-7000000.0,140000000.0,-27000000.0
Gain On Sale Of Security,-1000000.0,-4000000.0,-1000000.0,2000000.0
Earnings From Equity Interest,20000000.0,14000000.0,18000000.0,18000000.0
Special Income Charges,-25000000.0,-19000000.0,123000000.0,-44000000.0
Restructuring And Mergern Acquisition,27000000.0,39000000.0,5000000.0,37000000.0
Impairment Of Capital Assets,,,0.0,7000000.0
Write Off,-5000000.0,-56000000.0,-40000000.0,7000000.0
Other Special Charges,,36000000.0,,
Gain On Sale Of Business,-3000000.0,0.0,88000000.0,
Other Non Operating Income Expenses,3000000.0,2000000.0,87000000.0,-3000000.0
Pretax Income,967000000.0,781000000.0,866000000.0,610000000.0
Tax Provision,208000000.0,152000000.0,196000000.0,28000000.0
Net Income Common Stockholders,753000000.0,628000000.0,667000000.0,581000000.0
Net Income,753000000.0,628000000.0,667000000.0,581000000.0
Net Income Including Noncontrolling Interests,759000000.0,629000000.0,670000000.0,582000000.0
Net Income Continuous Operations,759000000.0,629000000.0,670000000.0,582000000.0
Minority Interests,-6000000.0,-1000000.0,-3000000.0,-1000000.0
Diluted NI Availto Com Stockholders,753000000.0,628000000.0,667000000.0,581000000.0
Basic EPS,5.34,4.42,4.66,3.85
Diluted EPS,5.27,4.36,4.6,3.8
Basic Average Shares,141000000.0,142000000.0,143000000.0,151000000.0
Diluted Average Shares,143000000.0,144000000.0,145000000.0,153000000.0
Total Operating Income As Reported,1152000000.0,998000000.0,912000000.0,749000000.0
Total Expenses,12583000000.0,11330000000.0,10235000000.0,9419000000.0
Net Income From Continuing And Discontinued Operation,753000000.0,628000000.0,667000000.0,581000000.0
Normalized Income,773410000.0,646515000.0,572572000.0,621068000.0
Interest Income,1000000.0,3000000.0,14000000.0,7000000.0
Interest Expense,185000000.0,182000000.0,147000000.0,145000000.0
Net Interest Income,-184000000.0,-179000000.0,-133000000.0,-138000000.0
EBIT,1152000000.0,963000000.0,1013000000.0,755000000.0
Reconciled Cost Of Revenue,11723000000.0,10560000000.0,9546000000.0,8690000000.0
Reconciled Depreciation,325000000.0,282000000.0,234000000.0,257000000.0
Net Income From Continuing Operation Net Minority Interest,753000000.0,628000000.0,667000000.0,581000000.0
Total Unusual Items Excluding Goodwill,-26000000.0,-23000000.0,122000000.0,-42000000.0
Total Unusual Items,-26000000.0,-23000000.0,122000000.0,-42000000.0
Normalized EBITDA,1503000000.0,1268000000.0,1125000000.0,1054000000.0
Tax Rate For Calcs,0.215,0.195,0.226,0.046
Tax Effect Of Unusual Items,-5590000.0,-4485000.0,27572000.0,-1932000.0
