,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,13088504000.0,11628830000.0,12506109000.0,11876674000.0
Operating Revenue,12140516000.0,10963713000.0,11877846000.0,11233407000.0
Cost Of Revenue,7766069000.0,7035559000.0,7654315000.0,7301817000.0
Gross Profit,5322435000.0,4593271000.0,4851794000.0,4574857000.0
Operating Expense,3827724000.0,3538357000.0,3871070000.0,3626944000.0
Selling General And Administration,3567732000.0,3266065000.0,3580300000.0,3352731000.0
General And Administrative Expense,3567732000.0,3266065000.0,3580300000.0,3352731000.0
Other Gand A,3567732000.0,3266065000.0,3580300000.0,3352731000.0
Depreciation Amortization Depletion Income Statement,259992000.0,272292000.0,290770000.0,274213000.0
Depreciation And Amortization In Income Statement,259992000.0,272292000.0,290770000.0,274213000.0
Depreciation Income Statement,155613000.0,153027000.0,150649000.0,137632000.0
Amortization,104379000.0,119265000.0,140121000.0,136581000.0
Amortization Of Intangibles Income Statement,104379000.0,119265000.0,140121000.0,136581000.0
Operating Income,1494711000.0,1054914000.0,980724000.0,947913000.0
Net Non Operating Interest Income Expense,-49920000.0,-89992000.0,-105749000.0,-139878000.0
Interest Income Non Operating,22807000.0,6764000.0,32755000.0,6499000.0
Interest Expense Non Operating,72727000.0,96756000.0,138504000.0,146377000.0
Other Income Expense,-45661000.0,-79927000.0,-83953000.0,-64604000.0
Gain On Sale Of Security,-1758000.0,2161000.0,,
Special Income Charges,-43903000.0,-82088000.0,-83953000.0,-64604000.0
Restructuring And Mergern Acquisition,20311000.0,66163000.0,36979000.0,32428000.0
Impairment Of Capital Assets,,,,30826000.0
Write Off,,,47102000.0,
Other Special Charges,23564000.0,12751000.0,-128000.0,1350000.0
Gain On Sale Of Business,-28000.0,-3174000.0,,
Pretax Income,1399130000.0,884995000.0,791022000.0,743431000.0
Tax Provision,330591000.0,249498000.0,215330000.0,191395000.0
Earnings From Equity Interest Net Of Tax,22937000.0,5012000.0,-32277000.0,-64471000.0
Net Income Common Stockholders,1090873000.0,638423000.0,541260000.0,480118000.0
Net Income,1090873000.0,638423000.0,541260000.0,480118000.0
Net Income Including Noncontrolling Interests,1092124000.0,640414000.0,545034000.0,483168000.0
Net Income Continuous Operations,1091476000.0,640509000.0,543415000.0,487565000.0
Net Income Discontinuous Operations,648000.0,-95000.0,1619000.0,-4397000.0
Minority Interests,-1251000.0,-1991000.0,-3774000.0,-3050000.0
Diluted NI Availto Com Stockholders,1090873000.0,638423000.0,541260000.0,480118000.0
Basic EPS,3.68,2.1,1.76,1.54
Diluted EPS,3.66,2.1,1.75,1.53
Basic Average Shares,296836000.0,304640000.0,310155000.0,314428000.0
Diluted Average Shares,297722000.0,305006000.0,310969000.0,315849000.0
Total Operating Income As Reported,1474372000.0,985577000.0,896643000.0,882241000.0
Total Expenses,11593793000.0,10573916000.0,11525385000.0,10928761000.0
Net Income From Continuing And Discontinued Operation,1090873000.0,638423000.0,541260000.0,480118000.0
Normalized Income,1125110004.0,695905586.0,600758784.0,532515772.0
Interest Income,22807000.0,6764000.0,32755000.0,6499000.0
Interest Expense,72727000.0,96756000.0,138504000.0,146377000.0
Net Interest Income,-49920000.0,-89992000.0,-105749000.0,-139878000.0
EBIT,1471857000.0,981751000.0,929526000.0,889808000.0
Reconciled Cost Of Revenue,7742058000.0,7008354000.0,7630679000.0,7281953000.0
Reconciled Depreciation,284003000.0,299497000.0,314406000.0,294077000.0
Net Income From Continuing Operation Net Minority Interest,1090225000.0,638518000.0,539641000.0,484515000.0
Total Unusual Items Excluding Goodwill,-45661000.0,-79927000.0,-83953000.0,-64604000.0
Total Unusual Items,-45661000.0,-79927000.0,-83953000.0,-64604000.0
Normalized EBITDA,1801521000.0,1361175000.0,1327885000.0,1248489000.0
Tax Rate For Calcs,0.236,0.282,0.272,0.257
Tax Effect Of Unusual Items,-10775996.0,-22539414.0,-22835216.0,-16603228.0
