,2022-01-31,2021-01-31,2020-01-31,2019-01-31
Total Revenue,96250000000.0,89597000000.0,72148000000.0,71309000000.0
Operating Revenue,94719000000.0,87995000000.0,70489000000.0,69736000000.0
Cost Of Revenue,64194000000.0,60025000000.0,49205000000.0,48401000000.0
Gross Profit,32056000000.0,29572000000.0,22943000000.0,22908000000.0
Operating Expense,19963000000.0,19925000000.0,16629000000.0,18890000000.0
Selling General And Administration,18301000000.0,18526000000.0,15367000000.0,17413000000.0
Depreciation Amortization Depletion Income Statement,1662000000.0,1399000000.0,1262000000.0,1477000000.0
Depreciation And Amortization In Income Statement,1662000000.0,1399000000.0,1262000000.0,1477000000.0
Operating Income,12093000000.0,9647000000.0,6314000000.0,4018000000.0
Net Non Operating Interest Income Expense,-885000000.0,-848000000.0,-691000000.0,-624000000.0
Interest Income Non Operating,12000000.0,24000000.0,27000000.0,28000000.0
Interest Expense Non Operating,897000000.0,872000000.0,718000000.0,652000000.0
Total Other Finance Cost,885000000.0,20000000.0,21000000.0,12000000.0
Other Income Expense,,-1060000000.0,,
Special Income Charges,0.0,-1060000000.0,0.0,0.0
Other Special Charges,,1060000000.0,,
Pretax Income,11208000000.0,7739000000.0,5623000000.0,3394000000.0
Tax Provision,2766000000.0,1904000000.0,1342000000.0,1080000000.0
Net Income Common Stockholders,8409000000.0,5811000000.0,4268000000.0,2307000000.0
Net Income,8442000000.0,5835000000.0,4281000000.0,2314000000.0
Net Income Including Noncontrolling Interests,8442000000.0,5835000000.0,4281000000.0,2314000000.0
Net Income Continuous Operations,8442000000.0,5835000000.0,4281000000.0,2314000000.0
Otherunder Preferred Stock Dividend,33000000.0,24000000.0,13000000.0,7000000.0
Diluted NI Availto Com Stockholders,8409000000.0,5811000000.0,4268000000.0,2307000000.0
Basic EPS,12.07,7.77,5.49,2.84
Diluted EPS,12.04,7.75,5.49,2.84
Basic Average Shares,696000000.0,748000000.0,777000000.0,811000000.0
Diluted Average Shares,699000000.0,750000000.0,778000000.0,812000000.0
Total Operating Income As Reported,12093000000.0,9647000000.0,6314000000.0,4018000000.0
Total Expenses,84157000000.0,79950000000.0,65834000000.0,67291000000.0
Net Income From Continuing And Discontinued Operation,8442000000.0,5835000000.0,4281000000.0,2314000000.0
Normalized Income,8442000000.0,6634240000.0,4281000000.0,2314000000.0
Interest Income,12000000.0,24000000.0,27000000.0,28000000.0
Interest Expense,897000000.0,872000000.0,718000000.0,652000000.0
Net Interest Income,-885000000.0,-848000000.0,-691000000.0,-624000000.0
EBIT,12105000000.0,8611000000.0,6341000000.0,4046000000.0
Reconciled Cost Of Revenue,63974000000.0,59830000000.0,49057000000.0,48271000000.0
Reconciled Depreciation,1882000000.0,1594000000.0,1410000000.0,1607000000.0
Net Income From Continuing Operation Net Minority Interest,8442000000.0,5835000000.0,4281000000.0,2314000000.0
Total Unusual Items Excluding Goodwill,0.0,-1060000000.0,0.0,0.0
Total Unusual Items,0.0,-1060000000.0,0.0,0.0
Normalized EBITDA,13987000000.0,11265000000.0,7751000000.0,5653000000.0
Tax Rate For Calcs,0.247,0.246,0.239,0.318
Tax Effect Of Unusual Items,0.0,-260760000.0,0.0,0.0
