,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,19687000000.0,20712000000.0,22401000000.0,23443000000.0
Operating Revenue,19687000000.0,20712000000.0,22401000000.0,23443000000.0
Cost Of Revenue,8488000000.0,8934000000.0,10077000000.0,10862000000.0
Gross Profit,11199000000.0,11778000000.0,12324000000.0,12581000000.0
Operating Expense,6914000000.0,8174000000.0,8544000000.0,9285000000.0
Selling General And Administration,2895000000.0,3464000000.0,3715000000.0,4165000000.0
Depreciation Amortization Depletion Income Statement,4019000000.0,4710000000.0,4829000000.0,5120000000.0
Depreciation And Amortization In Income Statement,4019000000.0,4710000000.0,4829000000.0,5120000000.0
Depreciation Income Statement,2671000000.0,2963000000.0,3089000000.0,3339000000.0
Amortization,1348000000.0,1747000000.0,1740000000.0,1781000000.0
Amortization Of Intangibles Income Statement,1348000000.0,1747000000.0,1740000000.0,1781000000.0
Operating Income,4285000000.0,3604000000.0,3780000000.0,3296000000.0
Net Non Operating Interest Income Expense,-1522000000.0,-1668000000.0,-2021000000.0,-2177000000.0
Interest Expense Non Operating,1522000000.0,1668000000.0,2021000000.0,2177000000.0
Other Income Expense,-62000000.0,-2718000000.0,-6525000000.0,-2682000000.0
Gain On Sale Of Security,110000000.0,,,
Special Income Charges,8000000.0,-2642000000.0,-6506000000.0,-2726000000.0
Impairment Of Capital Assets,0.0,2642000000.0,6506000000.0,2726000000.0
Other Special Charges,-8000000.0,,,
Other Non Operating Income Expenses,-180000000.0,-76000000.0,-19000000.0,44000000.0
Pretax Income,2701000000.0,-782000000.0,-4766000000.0,-1563000000.0
Tax Provision,668000000.0,450000000.0,503000000.0,170000000.0
Net Income Common Stockholders,2033000000.0,-1232000000.0,-5269000000.0,-1733000000.0
Net Income,2033000000.0,-1232000000.0,-5269000000.0,-1733000000.0
Net Income Including Noncontrolling Interests,2033000000.0,-1232000000.0,-5269000000.0,-1733000000.0
Net Income Continuous Operations,2033000000.0,-1232000000.0,-5269000000.0,-1733000000.0
Diluted NI Availto Com Stockholders,2033000000.0,-1232000000.0,-5269000000.0,-1733000000.0
Basic EPS,1.92,-1.14,-4.92,-1.63
Diluted EPS,1.91,-1.14,-4.92,-1.63
Basic Average Shares,1059541000.0,1079130000.0,1071441000.0,1065866000.0
Diluted Average Shares,1066778000.0,1079130000.0,1071441000.0,1065866000.0
Total Operating Income As Reported,4285000000.0,962000000.0,-2726000000.0,570000000.0
Total Expenses,15402000000.0,17108000000.0,18621000000.0,20147000000.0
Net Income From Continuing And Discontinued Operation,2033000000.0,-1232000000.0,-5269000000.0,-1733000000.0
Normalized Income,1944146000.0,696660000.0,-519620000.0,256980000.0
Interest Expense,1522000000.0,1668000000.0,2021000000.0,2177000000.0
Net Interest Income,-1522000000.0,-1668000000.0,-2021000000.0,-2177000000.0
EBIT,4223000000.0,886000000.0,-2745000000.0,614000000.0
Reconciled Cost Of Revenue,8488000000.0,8934000000.0,10077000000.0,10862000000.0
Reconciled Depreciation,4019000000.0,4710000000.0,4829000000.0,5120000000.0
Net Income From Continuing Operation Net Minority Interest,2033000000.0,-1232000000.0,-5269000000.0,-1733000000.0
Total Unusual Items Excluding Goodwill,118000000.0,-2642000000.0,-6506000000.0,-2726000000.0
Total Unusual Items,118000000.0,-2642000000.0,-6506000000.0,-2726000000.0
Normalized EBITDA,8124000000.0,8238000000.0,8590000000.0,8460000000.0
Tax Rate For Calcs,0.247,0.27,0.27,0.27
Tax Effect Of Unusual Items,29146000.0,-713340000.0,-1756620000.0,-736020000.0
