,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,4234000000.0,3612000000.0,13739000000.0,13729000000.0
Operating Revenue,4234000000.0,3612000000.0,13739000000.0,13729000000.0
Cost Of Revenue,2626000000.0,2608000000.0,6832000000.0,6974000000.0
Gross Profit,1608000000.0,1004000000.0,6907000000.0,6755000000.0
Operating Expense,2270000000.0,2612000000.0,3119000000.0,2854000000.0
Selling General And Administration,1042000000.0,1261000000.0,1815000000.0,1685000000.0
General And Administrative Expense,1042000000.0,1261000000.0,1815000000.0,1685000000.0
Other Gand A,1042000000.0,1261000000.0,1815000000.0,1685000000.0
Research And Development,109000000.0,18000000.0,24000000.0,12000000.0
Depreciation Amortization Depletion Income Statement,1097000000.0,1215000000.0,1216000000.0,1146000000.0
Depreciation And Amortization In Income Statement,1097000000.0,1215000000.0,1216000000.0,1146000000.0
Depreciation Income Statement,1097000000.0,1215000000.0,1216000000.0,1146000000.0
Provision For Doubtful Accounts,3000000.0,99000000.0,30000000.0,5000000.0
Other Operating Expenses,19000000.0,19000000.0,34000000.0,6000000.0
Operating Income,-662000000.0,-1608000000.0,3788000000.0,3901000000.0
Net Non Operating Interest Income Expense,-617000000.0,-515000000.0,-481000000.0,-387000000.0
Interest Income Non Operating,4000000.0,21000000.0,74000000.0,59000000.0
Interest Expense Non Operating,621000000.0,536000000.0,555000000.0,446000000.0
Other Income Expense,-195000000.0,-58000000.0,465000000.0,-188000000.0
Special Income Charges,-164000000.0,-80000000.0,442000000.0,-214000000.0
Other Special Charges,137000000.0,,24000000.0,64000000.0
Gain On Sale Of Business,0.0,0.0,556000000.0,
Gain On Sale Of Ppe,-27000000.0,-80000000.0,-90000000.0,-150000000.0
Other Non Operating Income Expenses,-31000000.0,22000000.0,23000000.0,26000000.0
Pretax Income,-1474000000.0,-2181000000.0,3772000000.0,3326000000.0
Tax Provision,-5000000.0,-38000000.0,468000000.0,375000000.0
Net Income Common Stockholders,-961000000.0,-1685000000.0,2698000000.0,2413000000.0
Net Income,-961000000.0,-1685000000.0,2698000000.0,2413000000.0
Net Income Including Noncontrolling Interests,-1276000000.0,-2143000000.0,3304000000.0,2951000000.0
Net Income Continuous Operations,-1469000000.0,-2143000000.0,3304000000.0,2951000000.0
Net Income Discontinuous Operations,193000000.0,,,
Minority Interests,315000000.0,458000000.0,-606000000.0,-538000000.0
Diluted NI Availto Com Stockholders,-961000000.0,-1685000000.0,2698000000.0,2413000000.0
Basic EPS,-1.26,-2.21,3.5,3.07
Diluted EPS,-1.26,-2.21,3.5,3.07
Basic Average Shares,764000000.0,764000000.0,771000000.0,786000000.0
Diluted Average Shares,764000000.0,764000000.0,771000000.0,786000000.0
Total Operating Income As Reported,-689000000.0,-1688000000.0,3698000000.0,3751000000.0
Total Expenses,4896000000.0,5220000000.0,9951000000.0,9828000000.0
Net Income From Continuing And Discontinued Operation,-961000000.0,-1685000000.0,2698000000.0,2413000000.0
Normalized Income,-990556309.36228,-1606360000.0,2310808000.0,2602818000.0
Interest Income,4000000.0,21000000.0,74000000.0,59000000.0
Interest Expense,621000000.0,536000000.0,555000000.0,446000000.0
Net Interest Income,-617000000.0,-515000000.0,-481000000.0,-387000000.0
EBIT,-853000000.0,-1645000000.0,4327000000.0,3772000000.0
Reconciled Cost Of Revenue,2626000000.0,2608000000.0,6832000000.0,6974000000.0
Reconciled Depreciation,1097000000.0,1215000000.0,1216000000.0,1146000000.0
Net Income From Continuing Operation Net Minority Interest,-1154000000.0,-1685000000.0,2698000000.0,2413000000.0
Total Unusual Items Excluding Goodwill,-164000000.0,-80000000.0,442000000.0,-214000000.0
Total Unusual Items,-164000000.0,-80000000.0,442000000.0,-214000000.0
Normalized EBITDA,408000000.0,-350000000.0,5101000000.0,5132000000.0
Tax Rate For Calcs,0.003392,0.017,0.124,0.113
Tax Effect Of Unusual Items,-556309.36228,-1360000.0,54808000.0,-24182000.0
