,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,8375000000.0,7188000000.0,6707000000.0,8359000000.0
Operating Revenue,8375000000.0,7188000000.0,6707000000.0,8359000000.0
Cost Of Revenue,5512000000.0,4601000000.0,4336000000.0,5670000000.0
Gross Profit,2863000000.0,2587000000.0,2371000000.0,2689000000.0
Operating Expense,1413000000.0,1292000000.0,1274000000.0,1478000000.0
Selling General And Administration,1413000000.0,1292000000.0,1274000000.0,1478000000.0
Operating Income,1450000000.0,1295000000.0,1097000000.0,1211000000.0
Net Non Operating Interest Income Expense,-278000000.0,-144000000.0,-159000000.0,-156000000.0
Interest Expense Non Operating,278000000.0,144000000.0,159000000.0,156000000.0
Other Income Expense,-484000000.0,-20000000.0,-24000000.0,-13000000.0
Gain On Sale Of Security,3000000.0,3000000.0,5000000.0,-2000000.0
Earnings From Equity Interest,11000000.0,3000000.0,1000000.0,3000000.0
Special Income Charges,-79000000.0,0.0,-9000000.0,0.0
Restructuring And Mergern Acquisition,16000000.0,,,
Impairment Of Capital Assets,45000000.0,0.0,9000000.0,
Write Off,,,0.0,0.0
Gain On Sale Of Business,-18000000.0,,0.0,0.0
Other Non Operating Income Expenses,-419000000.0,-26000000.0,-21000000.0,-14000000.0
Pretax Income,688000000.0,1131000000.0,914000000.0,1042000000.0
Tax Provision,210000000.0,269000000.0,230000000.0,258000000.0
Net Income Common Stockholders,406000000.0,1215000000.0,929000000.0,727000000.0
Net Income,408000000.0,1224000000.0,935000000.0,734000000.0
Net Income Including Noncontrolling Interests,478000000.0,1276000000.0,980000000.0,784000000.0
Net Income Continuous Operations,478000000.0,862000000.0,684000000.0,784000000.0
Net Income Discontinuous Operations,0.0,414000000.0,296000000.0,
Minority Interests,-70000000.0,-52000000.0,-45000000.0,-50000000.0
Otherunder Preferred Stock Dividend,2000000.0,9000000.0,6000000.0,7000000.0
Diluted NI Availto Com Stockholders,406000000.0,1215000000.0,929000000.0,727000000.0
Basic EPS,1.699834,4.740511,3.392598,2.497448
Diluted EPS,1.62,4.59,3.22,2.37
Basic Average Shares,241200000.0,258200000.0,275600000.0,293900000.0
Diluted Average Shares,251000000.0,264000000.0,288000000.0,307000000.0
Total Operating Income As Reported,1405000000.0,1295000000.0,1088000000.0,1211000000.0
Total Expenses,6925000000.0,5893000000.0,5610000000.0,7148000000.0
Net Income From Continuing And Discontinued Operation,408000000.0,1224000000.0,935000000.0,734000000.0
Normalized Income,460440000.0,807720000.0,642000000.0,735500000.0
Interest Expense,278000000.0,144000000.0,159000000.0,156000000.0
Net Interest Income,-278000000.0,-144000000.0,-159000000.0,-156000000.0
EBIT,966000000.0,1275000000.0,1073000000.0,1198000000.0
Reconciled Cost Of Revenue,5512000000.0,4601000000.0,4336000000.0,5670000000.0
Reconciled Depreciation,151000000.0,133000000.0,159000000.0,156000000.0
Net Income From Continuing Operation Net Minority Interest,408000000.0,810000000.0,639000000.0,734000000.0
Total Unusual Items Excluding Goodwill,-76000000.0,3000000.0,-4000000.0,-2000000.0
Total Unusual Items,-76000000.0,3000000.0,-4000000.0,-2000000.0
Normalized EBITDA,1193000000.0,1405000000.0,1236000000.0,1356000000.0
Tax Rate For Calcs,0.31,0.24,0.25,0.25
Tax Effect Of Unusual Items,-23560000.0,720000.0,-1000000.0,-500000.0
