,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,66037000000.0,67952000000.0,69620000000.0,67941000000.0
Operating Revenue,66037000000.0,67952000000.0,69620000000.0,67941000000.0
Selling General And Administration,5771000000.0,5775000000.0,6554000000.0,6462000000.0
General And Administrative Expense,5771000000.0,5775000000.0,6554000000.0,6462000000.0
Salaries And Wages,5085000000.0,5014000000.0,5653000000.0,5552000000.0
Other Gand A,686000000.0,761000000.0,901000000.0,910000000.0
Other Operating Expenses,629000000.0,764000000.0,674000000.0,758000000.0
Net Non Operating Interest Income Expense,-920000000.0,-913000000.0,-955000000.0,-1122000000.0
Interest Expense Non Operating,920000000.0,913000000.0,955000000.0,1122000000.0
Other Income Expense,545000000.0,1849000000.0,1842000000.0,1880000000.0
Pretax Income,8126000000.0,6927000000.0,6795000000.0,6307000000.0
Tax Provision,1551000000.0,1509000000.0,886000000.0,1179000000.0
Net Income Common Stockholders,6353000000.0,5191000000.0,5721000000.0,4982000000.0
Net Income,6554000000.0,5407000000.0,5899000000.0,5123000000.0
Net Income Including Noncontrolling Interests,6575000000.0,5418000000.0,5909000000.0,5128000000.0
Net Income Continuous Operations,6575000000.0,5418000000.0,5909000000.0,5128000000.0
Net Income Discontinuous Operations,,,0.0,0.0
Minority Interests,-21000000.0,-11000000.0,-10000000.0,-5000000.0
Preferred Stock Dividends,201000000.0,216000000.0,178000000.0,141000000.0
Diluted NI Availto Com Stockholders,6353000000.0,5191000000.0,5721000000.0,4982000000.0
Basic EPS,7.695566,5.813572,6.25015,5.197089
Diluted EPS,7.695566,5.813572,6.25015,5.197089
Basic Average Shares,825540267.0,892910600.0,915338098.0,958613542.0
Diluted Average Shares,825540267.0,892910600.0,915338098.0,958613542.0
Total Expenses,57911000000.0,60915000000.0,62825000000.0,61634000000.0
Net Income From Continuing And Discontinued Operation,6554000000.0,5407000000.0,5899000000.0,5123000000.0
Normalized Income,6554000000.0,5407000000.0,5899000000.0,5123000000.0
Interest Expense,920000000.0,913000000.0,955000000.0,1122000000.0
Net Interest Income,-920000000.0,-913000000.0,-955000000.0,-1122000000.0
EBIT,9046000000.0,7840000000.0,7750000000.0,7429000000.0
Reconciled Depreciation,694000000.0,619000000.0,630000000.0,628000000.0
Net Income From Continuing Operation Net Minority Interest,6554000000.0,5407000000.0,5899000000.0,5123000000.0
Tax Rate For Calcs,0.19,0.22,0.13,0.19
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
