,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,117929000000.0,85965000000.0,70697000000.0,55838000000.0
Operating Revenue,117208000000.0,84169000000.0,69655000000.0,55013000000.0
Cost Of Revenue,22649000000.0,16692000000.0,12770000000.0,9355000000.0
Gross Profit,95280000000.0,69273000000.0,57927000000.0,46483000000.0
Operating Expense,48527000000.0,36602000000.0,33941000000.0,21570000000.0
Selling General And Administration,23872000000.0,18155000000.0,20341000000.0,11297000000.0
General And Administrative Expense,9829000000.0,6564000000.0,10465000000.0,3451000000.0
Other Gand A,9829000000.0,6564000000.0,10465000000.0,3451000000.0
Selling And Marketing Expense,14043000000.0,11591000000.0,9876000000.0,7846000000.0
Research And Development,24655000000.0,18447000000.0,13600000000.0,10273000000.0
Operating Income,46753000000.0,32671000000.0,23986000000.0,24913000000.0
Net Non Operating Interest Income Expense,461000000.0,672000000.0,904000000.0,652000000.0
Interest Income Non Operating,461000000.0,672000000.0,924000000.0,661000000.0
Interest Expense Non Operating,,,20000000.0,9000000.0
Total Other Finance Cost,-461000000.0,-672000000.0,-826000000.0,-448000000.0
Other Income Expense,70000000.0,-163000000.0,-78000000.0,-204000000.0
Gain On Sale Of Security,-140000000.0,-129000000.0,-105000000.0,-213000000.0
Other Non Operating Income Expenses,210000000.0,-34000000.0,27000000.0,9000000.0
Pretax Income,47284000000.0,33180000000.0,24812000000.0,25361000000.0
Tax Provision,7914000000.0,4034000000.0,6327000000.0,3249000000.0
Net Income Common Stockholders,39370000000.0,29146000000.0,18485000000.0,22111000000.0
Net Income,39370000000.0,29146000000.0,18485000000.0,22112000000.0
Net Income Including Noncontrolling Interests,39370000000.0,29146000000.0,18485000000.0,22112000000.0
Net Income Continuous Operations,39370000000.0,29146000000.0,18485000000.0,22112000000.0
Otherunder Preferred Stock Dividend,,0.0,0.0,1000000.0
Average Dilution Earnings,,,0.0,1000000.0
Diluted NI Availto Com Stockholders,39370000000.0,29146000000.0,18485000000.0,22112000000.0
Basic EPS,13.99,10.22,6.48,7.65
Diluted EPS,13.77,10.09,6.43,7.57
Basic Average Shares,2815000000.0,2851000000.0,2854000022.0,2890000023.0
Diluted Average Shares,2859000000.0,2888000000.0,2876000023.0,2921000023.0
Total Operating Income As Reported,46753000000.0,32671000000.0,23986000000.0,24913000000.0
Total Expenses,71176000000.0,53294000000.0,46711000000.0,30925000000.0
Net Income From Continuing And Discontinued Operation,39370000000.0,29146000000.0,18485000000.0,22112000000.0
Normalized Income,39486620000.0,29259262000.0,18563225000.0,22297736000.0
Interest Income,461000000.0,672000000.0,924000000.0,661000000.0
Interest Expense,,,20000000.0,9000000.0
Net Interest Income,461000000.0,672000000.0,904000000.0,652000000.0
EBIT,46753000000.0,32671000000.0,24832000000.0,25370000000.0
Reconciled Cost Of Revenue,22649000000.0,16692000000.0,12770000000.0,9355000000.0
Reconciled Depreciation,7967000000.0,6862000000.0,5741000000.0,4315000000.0
Net Income From Continuing Operation Net Minority Interest,39370000000.0,29146000000.0,18485000000.0,22112000000.0
Total Unusual Items Excluding Goodwill,-140000000.0,-129000000.0,-105000000.0,-213000000.0
Total Unusual Items,-140000000.0,-129000000.0,-105000000.0,-213000000.0
Normalized EBITDA,54860000000.0,39662000000.0,30678000000.0,29898000000.0
Tax Rate For Calcs,0.167,0.122,0.255,0.128
Tax Effect Of Unusual Items,-23380000.0,-15738000.0,-26775000.0,-27264000.0
