,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,9680140000.0,5162082000.0,12899672000.0,11763096000.0
Operating Revenue,9454057000.0,4917133000.0,12462785000.0,11337604000.0
Cost Of Revenue,5030609000.0,3452711000.0,7603489000.0,6918875000.0
Gross Profit,4649531000.0,1709371000.0,5296183000.0,4844221000.0
Operating Expense,4085720000.0,3793121000.0,1199687000.0,3513278000.0
Selling General And Administration,2930016000.0,2582481000.0,2565859000.0,2183842000.0
General And Administrative Expense,2930016000.0,2582481000.0,2565859000.0,2183842000.0
Other Gand A,2930016000.0,2582481000.0,2565859000.0,2183842000.0
Depreciation Amortization Depletion Income Statement,1150610000.0,1210556000.0,1304649000.0,1178044000.0
Depreciation And Amortization In Income Statement,1150610000.0,1210556000.0,1304649000.0,1178044000.0
Other Operating Expenses,5094000.0,84000.0,-2670821000.0,151392000.0
Operating Income,563811000.0,-2083750000.0,4096496000.0,1330943000.0
Net Non Operating Interest Income Expense,-799593000.0,-676380000.0,-847932000.0,-769513000.0
Interest Expense Non Operating,799593000.0,676380000.0,847932000.0,769513000.0
Other Income Expense,1697586000.0,1248651000.0,-401839000.0,72576000.0
Gain On Sale Of Security,,1491945000.0,,
Earnings From Equity Interest,84823000.0,42938000.0,119521000.0,147690000.0
Special Income Charges,1630065000.0,-93567000.0,-275802000.0,-9147000.0
Restructuring And Mergern Acquisition,-1562329000.0,,,0.0
Gain On Sale Of Business,0.0,,-220294000.0,44703000.0
Gain On Sale Of Ppe,67736000.0,-93567000.0,-55508000.0,-53850000.0
Other Non Operating Income Expenses,-17302000.0,-192665000.0,-245558000.0,-65967000.0
Pretax Income,1461804000.0,-1511479000.0,2846725000.0,634006000.0
Tax Provision,253415000.0,-191572000.0,632345000.0,50112000.0
Net Income Common Stockholders,1176072000.0,-997204000.0,2046433000.0,445446000.0
Net Income,1254370000.0,-1032724000.0,2049146000.0,466772000.0
Net Income Including Noncontrolling Interests,1208389000.0,-1319907000.0,2214380000.0,583894000.0
Net Income Continuous Operations,1208389000.0,-1319907000.0,2214380000.0,583894000.0
Minority Interests,45981000.0,287183000.0,-165234000.0,-117122000.0
Otherunder Preferred Stock Dividend,78298000.0,-35520000.0,2713000.0,21326000.0
Average Dilution Earnings,0.0,0.0,-194000.0,-206000.0
Diluted NI Availto Com Stockholders,1176072000.0,-997204000.0,2046239000.0,445240000.0
Basic EPS,2.44,-2.02,3.9,0.82
Diluted EPS,2.41,-2.02,3.88,0.81
Basic Average Shares,481930000.0,494152000.0,524173000.0,544253000.0
Diluted Average Shares,487356000.0,494152000.0,527645000.0,549536000.0
Total Operating Income As Reported,2278699000.0,-642434000.0,3940215000.0,1469486000.0
Total Expenses,9116329000.0,7245832000.0,8803176000.0,10432153000.0
Net Income From Continuing And Discontinued Operation,1254370000.0,-1032724000.0,2049146000.0,466772000.0
Normalized Income,-93693755.0,-2253507994.0,2263719956.0,475196387.0
Interest Expense,799593000.0,676380000.0,847932000.0,769513000.0
Net Interest Income,-799593000.0,-676380000.0,-847932000.0,-769513000.0
EBIT,2261397000.0,-835099000.0,3694657000.0,1403519000.0
Reconciled Cost Of Revenue,5030609000.0,3452711000.0,7603489000.0,6918875000.0
Reconciled Depreciation,1150610000.0,1210556000.0,1304649000.0,1178044000.0
Net Income From Continuing Operation Net Minority Interest,1254370000.0,-1032724000.0,2049146000.0,466772000.0
Total Unusual Items Excluding Goodwill,1630065000.0,1398378000.0,-275802000.0,-9147000.0
Total Unusual Items,1630065000.0,1398378000.0,-275802000.0,-9147000.0
Normalized EBITDA,1781942000.0,-1022921000.0,5275108000.0,2590710000.0
Tax Rate For Calcs,0.173,0.127,0.222,0.079
Tax Effect Of Unusual Items,282001245.0,177594006.0,-61228044.0,-722613.0
