,2021-11-30,2020-11-30,2019-11-30
Total Revenue,6317900000.0,5601300000.0,5347400000.0
Operating Revenue,6317900000.0,5601300000.0,5347400000.0
Cost Of Revenue,3823300000.0,3300900000.0,3202100000.0
Gross Profit,2494600000.0,2300400000.0,2145300000.0
Operating Expense,1404100000.0,1281600000.0,1166800000.0
Selling General And Administration,1404100000.0,1281600000.0,1166800000.0
General And Administrative Expense,,1281600000.0,1166800000.0
Other Gand A,,1281600000.0,1166800000.0
Other Operating Expenses,,,14600000.0
Operating Income,1090500000.0,1018800000.0,978500000.0
Net Non Operating Interest Income Expense,-127300000.0,-127800000.0,-165200000.0
Interest Income Non Operating,9300000.0,7800000.0,
Interest Expense Non Operating,136600000.0,135600000.0,165200000.0
Other Income Expense,-67400000.0,-9500000.0,5900000.0
Special Income Charges,-75400000.0,-19300000.0,-20800000.0
Restructuring And Mergern Acquisition,39500000.0,16500000.0,6200000.0
Other Special Charges,35900000.0,2800000.0,14600000.0
Other Non Operating Income Expenses,8000000.0,9800000.0,26700000.0
Pretax Income,895800000.0,881500000.0,819200000.0
Tax Provision,192700000.0,174900000.0,157400000.0
Earnings From Equity Interest Net Of Tax,52200000.0,40800000.0,40900000.0
Net Income Common Stockholders,755300000.0,747400000.0,702700000.0
Net Income,755300000.0,747400000.0,702700000.0
Net Income Including Noncontrolling Interests,755300000.0,747400000.0,702700000.0
Net Income Continuous Operations,755300000.0,747400000.0,702700000.0
Diluted NI Availto Com Stockholders,755300000.0,747400000.0,702700000.0
Basic EPS,2.83,2.8,2.65
Diluted EPS,2.8,2.78,2.62
Basic Average Shares,267300000.0,266500000.0,265200000.0
Diluted Average Shares,269900000.0,269100000.0,268200000.0
Total Operating Income As Reported,1015100000.0,999500000.0,957700000.0
Total Expenses,5227400000.0,4582500000.0,4368900000.0
Net Income From Continuing And Discontinued Operation,755300000.0,747400000.0,702700000.0
Normalized Income,814489000.0,762878600.0,719506400.0
Interest Income,9300000.0,7800000.0,
Interest Expense,136600000.0,135600000.0,165200000.0
Net Interest Income,-127300000.0,-127800000.0,-165200000.0
EBIT,1032400000.0,1017100000.0,984400000.0
Reconciled Cost Of Revenue,3823300000.0,3300900000.0,3202100000.0
Reconciled Depreciation,186300000.0,165000000.0,158800000.0
Net Income From Continuing Operation Net Minority Interest,755300000.0,747400000.0,702700000.0
Total Unusual Items Excluding Goodwill,-75400000.0,-19300000.0,-20800000.0
Total Unusual Items,-75400000.0,-19300000.0,-20800000.0
Normalized EBITDA,1294100000.0,1201400000.0,1164000000.0
Tax Rate For Calcs,0.215,0.198,0.192
Tax Effect Of Unusual Items,-16211000.0,-3821400.0,-3993600.0
