,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,35355000000.0,32184000000.0,32136000000.0,32765000000.0
Operating Revenue,35355000000.0,32184000000.0,32136000000.0,32765000000.0
Cost Of Revenue,18795000000.0,16605000000.0,17136000000.0,16682000000.0
Gross Profit,16560000000.0,15579000000.0,15000000000.0,16083000000.0
Operating Expense,8894000000.0,8757000000.0,8872000000.0,9350000000.0
Selling General And Administration,6900000000.0,6879000000.0,6961000000.0,7529000000.0
General And Administrative Expense,6900000000.0,6879000000.0,6961000000.0,7529000000.0
Salaries And Wages,-297000000.0,-50000000.0,-68000000.0,-73000000.0
Other Gand A,7197000000.0,6929000000.0,7029000000.0,7602000000.0
Research And Development,1994000000.0,1878000000.0,1911000000.0,1821000000.0
Operating Income,7666000000.0,6822000000.0,6128000000.0,6733000000.0
Net Non Operating Interest Income Expense,-462000000.0,-500000000.0,-368000000.0,-280000000.0
Interest Income Non Operating,26000000.0,29000000.0,80000000.0,70000000.0
Interest Expense Non Operating,488000000.0,529000000.0,448000000.0,350000000.0
Other Income Expense,-165000000.0,389000000.0,-48000000.0,547000000.0
Special Income Charges,0.0,389000000.0,-48000000.0,547000000.0
Gain On Sale Of Business,0.0,389000000.0,-48000000.0,547000000.0
Other Non Operating Income Expenses,-165000000.0,50000000.0,68000000.0,73000000.0
Pretax Income,7204000000.0,6711000000.0,5712000000.0,7000000000.0
Tax Provision,1285000000.0,1318000000.0,1130000000.0,1637000000.0
Earnings From Equity Interest Net Of Tax,10000000.0,-5000000.0,,
Net Income Common Stockholders,5921000000.0,5384000000.0,4570000000.0,5349000000.0
Net Income,5921000000.0,5384000000.0,4570000000.0,5349000000.0
Net Income Including Noncontrolling Interests,5929000000.0,5388000000.0,4582000000.0,5363000000.0
Net Income Continuous Operations,5929000000.0,5388000000.0,4582000000.0,5363000000.0
Minority Interests,-8000000.0,-4000000.0,-12000000.0,-14000000.0
Diluted NI Availto Com Stockholders,5921000000.0,5384000000.0,4570000000.0,5349000000.0
Basic EPS,10.23,9.32,7.92,9.09
Diluted EPS,10.12,9.25,7.81,8.89
Basic Average Shares,579000000.0,577600000.0,577000000.0,588500000.0
Diluted Average Shares,585300000.0,582200000.0,585100000.0,602000000.0
Total Operating Income As Reported,7369000000.0,7161000000.0,6174000000.0,7207000000.0
Total Expenses,27689000000.0,25362000000.0,26008000000.0,26032000000.0
Net Income From Continuing And Discontinued Operation,5921000000.0,5384000000.0,4570000000.0,5349000000.0
Normalized Income,5921000000.0,5071244000.0,4608496000.0,4929998000.0
Interest Income,26000000.0,29000000.0,80000000.0,70000000.0
Interest Expense,488000000.0,529000000.0,448000000.0,350000000.0
Net Interest Income,-462000000.0,-500000000.0,-368000000.0,-280000000.0
EBIT,7692000000.0,7240000000.0,6160000000.0,7350000000.0
Reconciled Cost Of Revenue,18795000000.0,16605000000.0,17136000000.0,16682000000.0
Reconciled Depreciation,1915000000.0,1911000000.0,1593000000.0,1488000000.0
Net Income From Continuing Operation Net Minority Interest,5921000000.0,5384000000.0,4570000000.0,5349000000.0
Total Unusual Items Excluding Goodwill,0.0,389000000.0,-48000000.0,547000000.0
Total Unusual Items,0.0,389000000.0,-48000000.0,547000000.0
Normalized EBITDA,9607000000.0,8762000000.0,7801000000.0,8291000000.0
Tax Rate For Calcs,0.178,0.196,0.198,0.234
Tax Effect Of Unusual Items,0.0,76244000.0,-9504000.0,127998000.0
