,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,17736000000.0,274490000.0,48036000.0,122512000.0
Operating Revenue,17736000000.0,274490000.0,48036000.0,122512000.0
Cost Of Revenue,2617000000.0,7933000.0,,
Gross Profit,15119000000.0,266557000.0,,
Operating Expense,1823000000.0,1029701000.0,593756000.0,535778000.0
Selling General And Administration,567000000.0,188267000.0,109620000.0,94252000.0
General And Administrative Expense,,,109620000.0,94252000.0
Other Gand A,,,109620000.0,94252000.0
Research And Development,1991000000.0,1370339000.0,496309000.0,454082000.0
Other Operating Expenses,-735000000.0,-528905000.0,-12173000.0,-12556000.0
Operating Income,13296000000.0,-763144000.0,-545720000.0,-413266000.0
Net Non Operating Interest Income Expense,0.0,14829000.0,31918000.0,27023000.0
Interest Income Non Operating,18000000.0,24715000.0,38530000.0,27023000.0
Interest Expense Non Operating,18000000.0,9886000.0,6612000.0,
Other Income Expense,-11000000.0,3802000.0,-914000.0,1835000.0
Gain On Sale Of Security,1000000.0,1301000.0,323000.0,
Other Non Operating Income Expenses,-12000000.0,2501000.0,-1237000.0,1835000.0
Pretax Income,13285000000.0,-744513000.0,-514716000.0,-384408000.0
Tax Provision,1083000000.0,2551000.0,-695000.0,326000.0
Net Income Common Stockholders,12202000000.0,-747064000.0,-514021000.0,-401857000.0
Net Income,12202000000.0,-747064000.0,-514021000.0,-384734000.0
Net Income Including Noncontrolling Interests,12202000000.0,-747064000.0,-514021000.0,-384734000.0
Net Income Continuous Operations,12202000000.0,-747064000.0,-514021000.0,-384734000.0
Preferred Stock Dividends,,,,12996000.0
Otherunder Preferred Stock Dividend,,0.0,0.0,4127000.0
Diluted NI Availto Com Stockholders,12202000000.0,-747064000.0,-514021000.0,-401857000.0
Basic EPS,30.31,-1.96,-1.55,-1.170119
Diluted EPS,28.29,-1.96,-1.55,-1.170119
Basic Average Shares,403000000.0,381333059.0,330802136.0,328798904.0
Diluted Average Shares,431000000.0,381333059.0,330802136.0,328798904.0
Total Operating Income As Reported,13296000000.0,-763144000.0,-545720000.0,-413266000.0
Total Expenses,4440000000.0,1037634000.0,593756000.0,535778000.0
Net Income From Continuing And Discontinued Operation,12202000000.0,-747064000.0,-514021000.0,-384734000.0
Normalized Income,12201081000.0,-748013730.0,-514344000.0,-384734000.0
Interest Income,18000000.0,24715000.0,38530000.0,27023000.0
Interest Expense,18000000.0,9886000.0,6612000.0,
Net Interest Income,0.0,14829000.0,31918000.0,27023000.0
EBIT,13303000000.0,-734627000.0,-508104000.0,-413266000.0
Reconciled Cost Of Revenue,2617000000.0,7933000.0,,
Reconciled Depreciation,232000000.0,31251000.0,31021000.0,24862000.0
Net Income From Continuing Operation Net Minority Interest,12202000000.0,-747064000.0,-514021000.0,-384734000.0
Total Unusual Items Excluding Goodwill,1000000.0,1301000.0,323000.0,
Total Unusual Items,1000000.0,1301000.0,323000.0,
Normalized EBITDA,13534000000.0,-704677000.0,-477406000.0,-388404000.0
Tax Rate For Calcs,0.081,0.27,0.0,0.27
Tax Effect Of Unusual Items,81000.0,351270.0,0.0,0.0
