,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,56414000000.0,45269000000.0,38926000000.0,37714000000.0
Operating Revenue,56414000000.0,45269000000.0,38926000000.0,37714000000.0
Selling General And Administration,25169000000.0,21288000000.0,19497000000.0,18323000000.0
General And Administrative Expense,24526000000.0,20854000000.0,18837000000.0,17632000000.0
Salaries And Wages,24526000000.0,20854000000.0,18837000000.0,17632000000.0
Other Gand A,,2465000000.0,2194000000.0,2016000000.0
Selling And Marketing Expense,643000000.0,434000000.0,660000000.0,691000000.0
Gain On Sale Of Security,1376000000.0,986000000.0,1540000000.0,437000000.0
Special Income Charges,-456000000.0,,,
Restructuring And Mergern Acquisition,456000000.0,,,
Pretax Income,19668000000.0,14418000000.0,11301000000.0,11237000000.0
Tax Provision,4548000000.0,3239000000.0,2064000000.0,2350000000.0
Net Income Common Stockholders,14566000000.0,10500000000.0,8512000000.0,8222000000.0
Net Income,15034000000.0,10996000000.0,9042000000.0,8748000000.0
Net Income Including Noncontrolling Interests,15120000000.0,11179000000.0,9237000000.0,8883000000.0
Net Income Continuous Operations,15120000000.0,11179000000.0,9237000000.0,8887000000.0
Net Income Discontinuous Operations,,0.0,0.0,-4000000.0
Minority Interests,-86000000.0,-183000000.0,-195000000.0,-135000000.0
Preferred Stock Dividends,468000000.0,496000000.0,530000000.0,526000000.0
Diluted NI Availto Com Stockholders,14566000000.0,10500000000.0,8512000000.0,8222000000.0
Basic EPS,8.16,6.55,5.26,4.81
Diluted EPS,8.03,6.46,5.19,4.73
Basic Average Shares,1785000000.0,1603000000.0,1617000000.0,1708000000.0
Diluted Average Shares,1814000000.0,1624000000.0,1640000000.0,1738000000.0
Net Income From Continuing And Discontinued Operation,15034000000.0,10996000000.0,9042000000.0,8748000000.0
Normalized Income,15384664000.0,10996000000.0,9042000000.0,8752000000.0
Interest Income,9411000000.0,10162000000.0,17098000000.0,13892000000.0
Interest Expense,1366000000.0,3849000000.0,12404000000.0,10086000000.0
Net Interest Income,8045000000.0,6313000000.0,4694000000.0,3806000000.0
Reconciled Depreciation,4216000000.0,3769000000.0,2643000000.0,1844000000.0
Net Income From Continuing Operation Net Minority Interest,15034000000.0,10996000000.0,9042000000.0,8752000000.0
Total Unusual Items Excluding Goodwill,-456000000.0,,,
Total Unusual Items,-456000000.0,,,
Tax Rate For Calcs,0.231,0.225,0.183,0.209
Tax Effect Of Unusual Items,-105336000.0,0.0,0.0,0.0
