,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,5991772000.0,5954761000.0,6191943000.0,5928302000.0
Operating Revenue,5991772000.0,5954761000.0,6191943000.0,5928302000.0
Selling General And Administration,2179809000.0,2066399000.0,2035804000.0,1906500000.0
General And Administrative Expense,2115381000.0,2004495000.0,1942332000.0,1820790000.0
Salaries And Wages,2045677000.0,1950692000.0,1900797000.0,1752264000.0
Insurance And Claims,69704000.0,53803000.0,41535000.0,68526000.0
Other Gand A,,298349000.0,269624000.0,234683000.0
Selling And Marketing Expense,64428000.0,61904000.0,93472000.0,85710000.0
Depreciation Amortization Depletion Income Statement,10167000.0,14869000.0,19490000.0,24522000.0
Depreciation And Amortization In Income Statement,10167000.0,14869000.0,19490000.0,24522000.0
Amortization,10167000.0,14869000.0,19490000.0,24522000.0
Amortization Of Intangibles Income Statement,10167000.0,14869000.0,19490000.0,24522000.0
Gain On Sale Of Security,-21220000.0,-9421000.0,18037000.0,-6301000.0
Special Income Charges,-43860000.0,,,
Restructuring And Mergern Acquisition,43860000.0,,,
Pretax Income,2455149000.0,1769521000.0,2547261000.0,2508240000.0
Tax Provision,596403000.0,416369000.0,618112000.0,590160000.0
Net Income Common Stockholders,1776977000.0,1279066000.0,1849509000.0,1836028000.0
Net Income,1858746000.0,1353152000.0,1929149000.0,1918080000.0
Net Income Including Noncontrolling Interests,1858746000.0,1353152000.0,1929149000.0,1918080000.0
Net Income Continuous Operations,1858746000.0,1353152000.0,1929149000.0,1918080000.0
Preferred Stock Dividends,72915000.0,68228000.0,69441000.0,72521000.0
Otherunder Preferred Stock Dividend,8854000.0,5858000.0,10199000.0,9531000.0
Average Dilution Earnings,10000.0,2000.0,2000.0,7000.0
Diluted NI Availto Com Stockholders,1776987000.0,1279068000.0,1849511000.0,1836035000.0
Basic EPS,13.81,9.94,13.76,12.75
Diluted EPS,13.8,9.94,13.75,12.74
Basic Average Shares,128673932.0,128678873.0,134412137.0,138509769.0
Diluted Average Shares,128812000.0,128704000.0,134462000.0,138509769.0
Net Income From Continuing And Discontinued Operation,1858746000.0,1353152000.0,1929149000.0,1918080000.0
Normalized Income,1891948020.0,1353152000.0,1929149000.0,1918080000.0
Interest Income,3938784000.0,4192712000.0,4879593000.0,4598711000.0
Interest Expense,114006000.0,326395000.0,749329000.0,526409000.0
Net Interest Income,3824778000.0,3866317000.0,4130264000.0,4072302000.0
Reconciled Depreciation,324208000.0,320288000.0,301315000.0,179005000.0
Net Income From Continuing Operation Net Minority Interest,1858746000.0,1353152000.0,1929149000.0,1918080000.0
Total Unusual Items Excluding Goodwill,-43860000.0,,,
Total Unusual Items,-43860000.0,,,
Tax Rate For Calcs,0.243,0.235,0.243,0.235
Tax Effect Of Unusual Items,-10657980.0,0.0,0.0,0.0
