,2022-05-31,2021-05-31,2020-05-31,2019-05-31
Total Revenue,46710000000.0,44538000000.0,37403000000.0,39117000000.0
Operating Revenue,46710000000.0,44538000000.0,37403000000.0,39117000000.0
Cost Of Revenue,25231000000.0,24576000000.0,21162000000.0,21643000000.0
Gross Profit,21479000000.0,19962000000.0,16241000000.0,17474000000.0
Operating Expense,14804000000.0,13025000000.0,13126000000.0,12702000000.0
Selling General And Administration,14804000000.0,13025000000.0,13126000000.0,12702000000.0
General And Administrative Expense,10954000000.0,9911000000.0,9534000000.0,8949000000.0
Other Gand A,10954000000.0,9911000000.0,9534000000.0,8949000000.0
Selling And Marketing Expense,3850000000.0,3114000000.0,3592000000.0,3753000000.0
Operating Income,6675000000.0,6937000000.0,3115000000.0,4772000000.0
Net Non Operating Interest Income Expense,-205000000.0,-262000000.0,-89000000.0,-49000000.0
Total Other Finance Cost,205000000.0,262000000.0,89000000.0,49000000.0
Other Income Expense,181000000.0,-14000000.0,-139000000.0,78000000.0
Other Non Operating Income Expenses,181000000.0,-14000000.0,-139000000.0,78000000.0
Pretax Income,6651000000.0,6661000000.0,2887000000.0,4801000000.0
Tax Provision,605000000.0,934000000.0,348000000.0,772000000.0
Net Income Common Stockholders,6046000000.0,5727000000.0,2539000000.0,4029000000.0
Net Income,6046000000.0,5727000000.0,2539000000.0,4029000000.0
Net Income Including Noncontrolling Interests,6046000000.0,5727000000.0,2539000000.0,4029000000.0
Net Income Continuous Operations,6046000000.0,5727000000.0,2539000000.0,4029000000.0
Diluted NI Availto Com Stockholders,6046000000.0,5727000000.0,2539000000.0,4029000000.0
Basic EPS,3.83,3.64,1.63,2.55
Diluted EPS,3.75,3.56,1.6,2.49
Basic Average Shares,1578800000.0,1573000000.0,1558800000.0,1579700000.0
Diluted Average Shares,1610800000.0,1609400000.0,1591600000.0,1618400000.0
Total Expenses,40035000000.0,37601000000.0,34288000000.0,34345000000.0
Net Income From Continuing And Discontinued Operation,6046000000.0,5727000000.0,2539000000.0,4029000000.0
Normalized Income,6046000000.0,5727000000.0,2539000000.0,4029000000.0
Net Interest Income,-205000000.0,-262000000.0,-89000000.0,-49000000.0
EBIT,6675000000.0,6937000000.0,3115000000.0,4772000000.0
Reconciled Cost Of Revenue,25231000000.0,24576000000.0,21162000000.0,21643000000.0
Reconciled Depreciation,840000000.0,797000000.0,1119000000.0,720000000.0
Net Income From Continuing Operation Net Minority Interest,6046000000.0,5727000000.0,2539000000.0,4029000000.0
Normalized EBITDA,7515000000.0,7734000000.0,4234000000.0,5492000000.0
Tax Rate For Calcs,0.091,0.14,0.121,0.161
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
