,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,35667000000.0,36799000000.0,33841000000.0,30095000000.0
Operating Revenue,35667000000.0,36799000000.0,33841000000.0,30095000000.0
Cost Of Revenue,28399000000.0,29321000000.0,26582000000.0,23304000000.0
Gross Profit,7268000000.0,7478000000.0,7259000000.0,6791000000.0
Operating Expense,3597000000.0,3413000000.0,3290000000.0,3011000000.0
Selling General And Administration,3597000000.0,3413000000.0,3290000000.0,3011000000.0
General And Administrative Expense,3597000000.0,3413000000.0,3290000000.0,3011000000.0
Other Gand A,3597000000.0,3413000000.0,3290000000.0,3011000000.0
Operating Income,3671000000.0,4065000000.0,3969000000.0,3780000000.0
Net Non Operating Interest Income Expense,-556000000.0,-593000000.0,-528000000.0,-562000000.0
Interest Expense Non Operating,556000000.0,593000000.0,528000000.0,562000000.0
Other Income Expense,5823000000.0,256000000.0,-893000000.0,524000000.0
Special Income Charges,1980000000.0,,,
Gain On Sale Of Business,1980000000.0,,,
Other Non Operating Income Expenses,3843000000.0,256000000.0,-893000000.0,524000000.0
Pretax Income,8938000000.0,3728000000.0,2548000000.0,3742000000.0
Tax Provision,1933000000.0,539000000.0,300000000.0,513000000.0
Net Income Common Stockholders,7005000000.0,3189000000.0,2248000000.0,3229000000.0
Net Income,7005000000.0,3189000000.0,2248000000.0,3229000000.0
Net Income Including Noncontrolling Interests,7005000000.0,3189000000.0,2248000000.0,3229000000.0
Net Income Continuous Operations,7005000000.0,3189000000.0,2248000000.0,3229000000.0
Diluted NI Availto Com Stockholders,7005000000.0,3189000000.0,2248000000.0,3229000000.0
Basic EPS,43.7,19.08,13.28,18.59
Diluted EPS,43.54,19.03,13.22,18.49
Basic Average Shares,160300000.0,167100000.0,169300000.0,173700000.0
Diluted Average Shares,160900000.0,167600000.0,170000000.0,174600000.0
Total Operating Income As Reported,5651000000.0,4065000000.0,3969000000.0,3780000000.0
Total Expenses,31996000000.0,32734000000.0,29872000000.0,26315000000.0
Net Income From Continuing And Discontinued Operation,7005000000.0,3189000000.0,2248000000.0,3229000000.0
Normalized Income,5452680000.0,3189000000.0,2248000000.0,3229000000.0
Interest Expense,556000000.0,593000000.0,528000000.0,562000000.0
Net Interest Income,-556000000.0,-593000000.0,-528000000.0,-562000000.0
EBIT,9494000000.0,4321000000.0,3076000000.0,4304000000.0
Reconciled Cost Of Revenue,28399000000.0,29321000000.0,26582000000.0,23304000000.0
Reconciled Depreciation,1239000000.0,1267000000.0,1018000000.0,800000000.0
Net Income From Continuing Operation Net Minority Interest,7005000000.0,3189000000.0,2248000000.0,3229000000.0
Total Unusual Items Excluding Goodwill,1980000000.0,,,
Total Unusual Items,1980000000.0,,,
Normalized EBITDA,8753000000.0,5588000000.0,4094000000.0,5104000000.0
Tax Rate For Calcs,0.216,0.145,0.118,0.137
Tax Effect Of Unusual Items,427680000.0,0.0,0.0,0.0
